id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|847|cc|7|1|69,0,0,-1.76679e-10,0,0,0,0,0,0,-1.4663e-11,0,0,0,0,False,69.0|69,847
8|847|cc|8|1|69,0,0,-3.90604e-09,0,0,0,0,0,0,1.7909e-12,0,0,0,0,False,69.0|69,847
8|847|sample|10|69,0,0,3.93692e-10,0,0,0,0,0,0,7.11475e-12,0,0,0,0,True,32.0|69,847
8|847|sample|11|69,0,0,2.34889e-09,0,0,0,0,0,0,-1.29998e-11,0,0,0,0,True,22.0|69,847
8|847|sample|12|69,0,0,9.70685e-10,0,0,0,0,0,0,3.50475e-12,0,0,0,0,True,22.0|69,847
8|847|sample|3|69,0,0,1.43751e-09,0,0,0,0,0,0,-6.27698e-12,0,0,0,0,True,55.0|69,847
8|847|sample|4|69,0,0,1.59045e-09,0,0,0,0,0,0,-1.40419e-11,0,0,0,0,True,55.0|69,847
8|847|sample|5|69,0,0,1.11344e-09,0,0,0,0,0,0,-8.93929e-12,0,0,0,0,True,55.0|69,847
8|847|sample|6|69,0,0,1.36035e-10,0,0,0,0,0,0,1.80582e-11,0,0,0,0,True,55.0|69,847
8|847|sample|7|69,0,0,2.04886e-10,0,0,0,0,0,0,2.55715e-11,0,0,0,0,True,32.0|69,847
8|847|sample|8|69,0,0,-2.43821e-09,0,0,0,0,0,0,2.50657e-11,0,0,0,0,True,32.0|69,847
8|847|sample|9|69,0,0,2.07523e-09,0,0,0,0,0,0,-2.12519e-11,0,0,0,0,True,32.0|69,847
8|847|vc|1|2|69,0,0,1.43186e-10,0,0,0,0,0,0,2.01935e-11,0,0,0,0,False,69.0|69,847
8|847|vc|2|2|69,0,0,2.91074e-09,0,0,0,0,0,0,1.90945e-11,0,0,0,0,False,69.0|69,847
8|847|vc|3|2|69,0,0,6.88108e-10,0,0,0,0,0,0,3.58152e-11,0,0,0,0,False,69.0|69,847
8|847|vc|4|2|69,0,0,3.57073e-10,0,0,0,0,0,0,-1.02122e-11,0,0,0,0,False,69.0|69,847
8|847|vc|5|2|69,0,0,-1.4908e-09,0,0,0,0,0,0,1.48261e-11,0,0,0,0,False,69.0|69,847
8|847|vc|6|2|69,0,0,2.59489e-09,0,0,0,0,0,0,-1.17467e-11,0,0,0,0,False,69.0|69,847
8|847|vc|7|2|69,0,0,9.13371e-10,0,0,0,0,0,0,1.67851e-11,0,0,0,0,False,69.0|69,847
8|847|vc|8|2|69,0,0,2.93411e-10,0,0,0,0,0,0,-3.31587e-11,0,0,0,0,False,69.0|69,847
8|474|cc|1|1|276,0,0,2.92897e-09,0,0,0,0,0,0,1.66911e-11,0,0,0,0,False,69.0|276,474
8|474|cc|2|1|276,0,0,1.03488e-09,0,0,0,0,0,0,2.26072e-11,0,0,0,0,False,69.0|276,474
8|474|cc|3|1|276,0,0,-2.72764e-09,0,0,0,0,0,0,1.13793e-11,0,0,0,0,False,69.0|276,474
8|474|cc|4|1|276,0,0,-8.38938e-10,0,0,0,0,0,0,-4.86442e-11,0,0,0,0,False,69.0|276,474
8|474|cc|5|1|276,0,0,-1.888e-09,0,0,0,0,0,0,2.28129e-11,0,0,0,0,False,69.0|276,474
8|474|cc|6|1|276,0,0,-1.31974e-10,0,0,0,0,0,0,-2.37323e-11,0,0,0,0,False,69.0|276,474
8|474|cc|7|1|276,0,0,-2.47438e-09,0,0,0,0,0,0,2.10503e-11,0,0,0,0,False,69.0|276,474
8|474|cc|8|1|276,0,0,-2.46147e-09,0,0,0,0,0,0,-1.47635e-11,0,0,0,0,False,69.0|276,474
8|474|sample|10|276,0,0,1.12398e-10,0,0,0,0,0,0,8.62788e-12,0,0,0,0,True,32.0|276,474
8|474|sample|11|276,0,0,-9.85257e-10,0,0,0,0,0,0,1.26064e-11,0,0,0,0,True,22.0|276,474
8|474|sample|12|276,0,0,3.62731e-09,0,0,0,0,0,0,-6.03737e-11,0,0,0,0,True,22.0|276,474
8|474|sample|3|276,0,0,-6.7103e-10,0,0,0,0,0,0,-1.4714e-11,0,0,0,0,True,55.0|276,474
8|474|sample|4|276,0,0,-1.20252e-09,0,0,0,0,0,0,-1.4738e-11,0,0,0,0,True,55.0|276,474
8|474|sample|5|276,0,0,3.84986e-11,0,0,0,0,0,0,-2.73204e-12,0,0,0,0,True,55.0|276,474
8|474|sample|6|276,0,0,3.30336e-10,0,0,0,0,0,0,2.33764e-11,0,0,0,0,True,55.0|276,474
8|474|sample|7|276,0,0,3.7856e-09,0,0,0,0,0,0,1.0453e-11,0,0,0,0,True,32.0|276,474
8|474|sample|8|276,0,0,-6.59938e-10,0,0,0,0,0,0,8.02856e-11,0,0,0,0,True,32.0|276,474
8|474|sample|9|276,0,0,-3.21792e-09,0,0,0,0,0,0,1.20919e-11,0,0,0,0,True,32.0|276,474
8|474|vc|1|2|276,0,0,-1.39724e-09,0,0,0,0,0,0,-2.23306e-11,0,0,0,0,False,69.0|276,474
8|474|vc|2|2|276,0,0,2.43708e-09,0,0,0,0,0,0,1.19857e-11,0,0,0,0,False,69.0|276,474
8|474|vc|3|2|276,0,0,3.69012e-10,0,0,0,0,0,0,-9.92628e-12,0,0,0,0,False,69.0|276,474
8|474|vc|4|2|276,0,0,1.36671e-09,0,0,0,0,0,0,1.34084e-11,0,0,0,0,False,69.0|276,474
8|474|vc|5|2|276,0,0,2.41916e-10,0,0,0,0,0,0,9.13092e-12,0,0,0,0,False,69.0|276,474
8|474|vc|6|2|276,0,0,-7.15765e-11,0,0,0,0,0,0,-1.20535e-11,0,0,0,0,False,69.0|276,474
8|474|vc|7|2|276,0,0,-1.16861e-09,0,0,0,0,0,0,1.14324e-11,0,0,0,0,False,69.0|276,474
8|474|vc|8|2|276,0,0,-6.44197e-11,0,0,0,0,0,0,4.38212e-11,0,0,0,0,False,69.0|276,474
8|462|cc|1|1|292,0,0,1.47856e-09,0,0,0,0,0,0,9.76097e-12,0,0,0,0,False,69.0|292,462
8|462|cc|2|1|292,0,0,-2.7049e-10,0,0,0,0,0,0,3.10688e-11,0,0,0,0,False,69.0|292,462
8|462|cc|3|1|292,0,0,3.37027e-09,0,0,0,0,0,0,1.3097e-11,0,0,0,0,False,69.0|292,462
8|462|cc|4|1|292,0,0,2.14803e-09,0,0,0,0,0,0,1.04298e-11,0,0,0,0,False,69.0|292,462
8|462|cc|5|1|292,0,0,1.13602e-09,0,0,0,0,0,0,-1.80492e-11,0,0,0,0,False,69.0|292,462
8|462|cc|6|1|292,0,0,-1.23755e-09,0,0,0,0,0,0,8.19511e-12,0,0,0,0,False,69.0|292,462
8|462|cc|7|1|292,0,0,-3.37676e-10,0,0,0,0,0,0,-3.61174e-11,0,0,0,0,False,69.0|292,462
8|462|cc|8|1|292,0,0,3.0237e-09,0,0,0,0,0,0,-1.874e-11,0,0,0,0,False,69.0|292,462
8|462|sample|10|292,0,0,-1.28425e-09,0,0,0,0,0,0,-3.88525e-11,0,0,0,0,True,32.0|292,462
8|462|sample|11|292,0,0,1.32822e-09,0,0,0,0,0,0,-1.35598e-11,0,0,0,0,True,22.0|292,462
8|462|sample|12|292,0,0,-2.55339e-10,0,0,0,0,0,0,-1.32063e-11,0,0,0,0,True,22.0|292,462
8|462|sample|3|292,0,0,-6.45318e-10,0,0,0,0,0,0,3.36606e-11,0,0,0,0,True,55.0|292,462
8|462|sample|4|292,0,0,9.69164e-10,0,0,0,0,0,0,1.29621e-11,0,0,0,0,True,55.0|292,462
8|462|sample|5|292,0,0,1.42544e-09,0,0,0,0,0,0,-3.1477e-12,0,0,0,0,True,55.0|292,462
8|462|sample|6|292,0,0,3.00466e-10,0,0,0,0,0,0,3.46727e-11,0,0,0,0,True,55.0|292,462
8|462|sample|7|292,0,0,-1.17824e-09,0,0,0,0,0,0,-1.919e-11,0,0,0,0,True,32.0|292,462
8|462|sample|8|292,0,0,1.17705e-09,0,0,0,0,0,0,4.67826e-12,0,0,0,0,True,32.0|292,462
8|462|sample|9|292,0,0,5.81122e-10,0,0,0,0,0,0,1.31912e-11,0,0,0,0,True,32.0|292,462
8|462|vc|1|2|292,0,0,1.15562e-10,0,0,0,0,0,0,-1.56321e-11,0,0,0,0,False,69.0|292,462
