id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|462|cc|8|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|sample|10|292,1316.65,0.689608,0.0456076,93.3138,0.115494,0.250105,1316.65,0.689609,0.0456085,93.3137,0.115494,0.250105,True,32.0|292,462
8|462|sample|11|292,1316.65,1.21597,0.0449431,93.3138,0.115494,0.250105,1316.65,1.21597,0.0449431,93.3137,0.115494,0.250105,True,22.0|292,462
8|462|sample|12|292,1316.65,1.21596,0.0449431,93.3138,0.115494,0.250105,1316.65,1.21597,0.0449431,93.3137,0.115494,0.250105,True,22.0|292,462
8|462|sample|3|292,1316.65,5.08007,0.0458836,93.3138,0.115494,0.250105,1316.65,5.08007,0.0458836,93.3137,0.115494,0.250105,True,55.0|292,462
8|462|sample|4|292,1316.65,5.08007,0.0458836,93.3138,0.115494,0.250105,1316.65,5.08007,0.0458836,93.3137,0.115494,0.250105,True,55.0|292,462
8|462|sample|5|292,1316.65,5.08007,0.0458836,93.3138,0.115494,0.250105,1316.65,5.08007,0.0458836,93.3137,0.115494,0.250105,True,55.0|292,462
8|462|sample|6|292,1316.65,5.08007,0.0458836,93.3138,0.115494,0.250105,1316.65,5.08007,0.0458836,93.3137,0.115494,0.250105,True,55.0|292,462
8|462|sample|7|292,1316.65,0.68961,0.0456076,93.3138,0.115494,0.250105,1316.65,0.689609,0.0456085,93.3137,0.115494,0.250105,True,32.0|292,462
8|462|sample|8|292,1316.65,0.68961,0.0456076,93.3138,0.115494,0.250105,1316.65,0.689609,0.0456085,93.3137,0.115494,0.250105,True,32.0|292,462
8|462|sample|9|292,1316.65,0.689609,0.0456076,93.3138,0.115494,0.250105,1316.65,0.689609,0.0456085,93.3137,0.115494,0.250105,True,32.0|292,462
8|462|vc|1|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|2|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|3|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|4|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|5|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|6|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|7|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|vc|8|2|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|75|cc|1|1|65,1316.65,0.794021,0.0464947,93.315,-0.0077601,0.249975,1316.66,0.794021,0.0464947,93.315,-0.00775956,0.249976,False,69.0|65,75
8|75|cc|2|1|65,1316.65,0.794021,0.0464947,93.315,-0.0077601,0.249975,1316.66,0.794021,0.0464947,93.315,-0.00775956,0.249976,False,69.0|65,75
8|75|cc|3|1|65,1316.65,0.79402,0.0464947,93.315,-0.0077601,0.249975,1316.66,0.794021,0.0464947,93.315,-0.00775956,0.249976,False,69.0|65,75
8|75|cc|4|1|65,1316.65,0.79402,0.0464947,93.315,-0.0077601,0.249975,1316.66,0.794021,0.0464947,93.315,-0.00775956,0.249976,False,69.0|65,75
