rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|474|sample|9|276,663.948,0.719998,0.679996,18.7133,-0.0995742,2.26257,True,32.0|276,474
1,8|474|vc|1|2|276,663.948,0.719995,0.0147596,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|2|2|276,663.948,0.719995,0.0147596,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|3|2|276,663.948,0.719995,0.0147594,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|4|2|276,663.948,0.719995,0.0147595,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|5|2|276,663.948,0.719995,0.0147594,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|6|2|276,663.948,0.719995,0.0147594,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|7|2|276,663.948,0.719995,0.0147598,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|vc|8|2|276,663.948,0.719995,0.0147597,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|462|cc|1|1|292,663.948,0.719995,0.192905,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|2|1|292,663.948,0.719995,0.192904,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|3|1|292,663.948,0.719995,0.192911,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|4|1|292,663.948,0.719995,0.1929,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|5|1|292,663.948,0.719995,0.192904,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|6|1|292,663.948,0.719995,0.192905,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|7|1|292,663.948,0.719995,0.192903,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|cc|8|1|292,663.948,0.719995,0.192903,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|sample|10|292,663.948,0.719998,0.608451,18.7133,0.313266,0.877192,True,32.0|292,462
1,8|462|sample|11|292,663.948,0.719998,0.0454197,18.7133,0.313266,0.877192,True,22.0|292,462
1,8|462|sample|12|292,663.948,0.719998,0.0454207,18.7133,0.313266,0.877192,True,22.0|292,462
1,8|462|sample|3|292,663.948,0.719998,0.00120212,18.7133,0.313266,0.877192,True,55.0|292,462
1,8|462|sample|4|292,663.948,0.719998,0.00120212,18.7133,0.313266,0.877192,True,55.0|292,462
1,8|462|sample|5|292,663.948,0.719998,0.00120213,18.7133,0.313266,0.877192,True,55.0|292,462
1,8|462|sample|6|292,663.948,0.719998,0.00120211,18.7133,0.313266,0.877192,True,55.0|292,462
1,8|462|sample|7|292,663.948,0.719998,0.608442,18.7133,0.313266,0.877192,True,32.0|292,462
1,8|462|sample|8|292,663.948,0.719998,0.608456,18.7133,0.313266,0.877192,True,32.0|292,462
1,8|462|sample|9|292,663.948,0.719998,0.608446,18.7133,0.313266,0.877192,True,32.0|292,462
1,8|462|vc|1|2|292,663.948,0.719995,0.1929,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|2|2|292,663.948,0.719995,0.192906,18.7119,0.313266,0.877192,False,69.0|292,462
