rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|474|vc|8|2|276,1,0.00456901,2.49754,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|462|cc|1|1|292,1,0.00456901,1.73075,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|2|1|292,1,0.00456901,2.06962,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|3|1|292,1,0.00456901,2.76377,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|4|1|292,1,0.00456901,1.25403,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|5|1|292,1,0.00456901,1.73987,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|6|1|292,1,0.00456901,1.83952,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|7|1|292,1,0.00456901,2.57192,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|cc|8|1|292,1,0.00456901,1.38324,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|sample|10|292,1,0.00456887,0.749482,0.00242609,1450.9,0.229323,0.000113738,True,32.0|292,462
1,8|462|sample|11|292,1,0.00456887,1.11439,0.00242623,1450.9,0.229323,0.000113738,True,22.0|292,462
1,8|462|sample|12|292,1,0.00456887,1.17925,0.00242623,1450.9,0.229323,0.000113738,True,22.0|292,462
1,8|462|sample|3|292,1,0.00456887,1.57152,0.00242611,1450.9,0.229323,0.000113738,True,55.0|292,462
1,8|462|sample|4|292,1,0.00456887,1.58391,0.00242611,1450.9,0.229323,0.000113738,True,55.0|292,462
1,8|462|sample|5|292,1,0.00456887,2.97788,0.00242611,1450.9,0.229323,0.000113738,True,55.0|292,462
1,8|462|sample|6|292,1,0.00456887,2.98963,0.00242611,1450.9,0.229323,0.000113738,True,55.0|292,462
1,8|462|sample|7|292,1,0.00456887,0.788641,0.00242609,1450.9,0.229323,0.000113738,True,32.0|292,462
1,8|462|sample|8|292,1,0.00456887,0.804762,0.00242609,1450.9,0.229323,0.000113738,True,32.0|292,462
1,8|462|sample|9|292,1,0.00456887,0.745863,0.00242609,1450.9,0.229323,0.000113738,True,32.0|292,462
1,8|462|vc|1|2|292,1,0.00456901,2.05277,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|2|2|292,1,0.00456901,1.60532,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|3|2|292,1,0.00456901,1.39478,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|4|2|292,1,0.00456901,2.80947,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|5|2|292,1,0.00456901,2.28013,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|6|2|292,1,0.00456901,2.30421,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|7|2|292,1,0.00456901,2.37579,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|462|vc|8|2|292,1,0.00456901,3.13307,0.00242614,1450.9,0.229323,0.000113738,False,69.0|292,462
1,8|75|cc|1|1|65,1,0.00456901,1.97681,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|2|1|65,1,0.00456901,1.85734,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|3|1|65,1,0.00456901,1.11542,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|4|1|65,1,0.00456901,2.53815,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|5|1|65,1,0.00456901,1.38636,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|6|1|65,1,0.00456901,2.50736,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|7|1|65,1,0.00456901,2.31098,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|cc|8|1|65,1,0.00456901,2.82003,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|sample|10|65,1,0.00456887,2.39826,0.0024253,1450.9,0.229299,0.000113731,True,32.0|65,75
1,8|75|sample|11|65,1,0.00456887,0.872484,0.00242609,1450.9,0.229299,0.000113731,True,22.0|65,75
1,8|75|sample|12|65,1,0.00456887,0.82761,0.00242609,1450.9,0.229299,0.000113731,True,22.0|65,75
1,8|75|sample|3|65,1,0.00456887,1.36798,0.00242599,1450.9,0.229299,0.000113731,True,55.0|65,75
1,8|75|sample|4|65,1,0.00456887,1.01237,0.00242599,1450.9,0.229299,0.000113731,True,55.0|65,75
1,8|75|sample|5|65,1,0.00456887,1.67342,0.00242599,1450.9,0.229299,0.000113731,True,55.0|65,75
1,8|75|sample|6|65,1,0.00456887,1.58249,0.00242599,1450.9,0.229299,0.000113731,True,55.0|65,75
1,8|75|sample|7|65,1,0.00456887,1.55772,0.0024253,1450.9,0.229299,0.000113731,True,32.0|65,75
1,8|75|sample|8|65,1,0.00456887,1.57023,0.0024253,1450.9,0.229299,0.000113731,True,32.0|65,75
1,8|75|sample|9|65,1,0.00456887,2.39239,0.0024253,1450.9,0.229299,0.000113731,True,32.0|65,75
