id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
8|462|8|462|sample|12|292|12|292|22.0,0.325194,5.24244e-09,0,5.46468,0.303658,-1.15574e-13,0,6.16379,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,-0.116099,-4.71966e-09,0,-0.264893,-4.04388e-07,7.81319e-15,0,-6.98732e-07,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0.106586,1.39657e-09,0,-0.173577,4.97516e-07,-9.78384e-16,0,2.03678e-07,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,-0.0843514,9.3208e-10,0,0.0244294,-3.90775e-08,7.07767e-15,0,1.96802e-07,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0.0391623,3.18258e-09,0,-0.409335,-2.3792e-08,3.76088e-15,0,-4.17526e-07,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,0.00103946,1.00634e-08,0,-0.173207,-1.74573e-07,-1.08073e-14,0,-1.68786e-07,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,0.00961744,-7.25467e-09,0,0.145293,-4.46285e-08,-5.10009e-15,0,2.8353e-07,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,-0.11002,-1.19577e-09,0,0.358868,-3.76924e-07,-4.37844e-15,0,-2.34981e-07,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,0.0472047,4.18475e-09,0,-0.0938195,4.16914e-07,-3.37924e-15,0,3.97997e-07,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,0.116109,4.64267e-09,0,-0.159688,-1.59632e-07,1.03945e-14,0,-2.64139e-07,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,0.0788736,3.76802e-09,0,-0.0938058,1.36287e-07,2.30371e-15,0,-5.1133e-07,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,0.00757211,-1.05614e-09,0,0.0360434,2.8583e-07,-1.06096e-14,0,2.03229e-07,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,0.0776598,-1.47843e-09,0,0.145456,3.60978e-07,-5.19376e-15,0,-7.0857e-07,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,0.0326259,9.98343e-11,0,-0.188882,-2.58962e-07,1.41206e-15,0,1.03931e-07,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,-0.0948058,2.21866e-09,0,0.08073,5.91321e-08,7.42462e-16,0,-1.19469e-07,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,0.0765545,-3.9284e-09,0,-0.197091,-6.4368e-08,-1.3399e-14,0,-3.85093e-07,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,0.0417698,-1.18788e-08,0,0.0686575,-7.43289e-08,5.0307e-15,0,-5.64414e-07,69.0|292,462
8|1159|8|1159|sample|8|292|8|292|65.0,-0.351386,4.62308e-09,0,-0.770896,-0.346508,-2.4647e-14,0,-0.0622472,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,-0.25321,-2.04049e-09,0,-0.283958,-0.263638,1.9984e-14,0,-0.0773294,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,-0.29234,1.2749e-09,0,-0.110816,-0.29467,-1.33227e-15,0,-0.0183122,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,-0.288012,7.15619e-09,0,-0.380466,-0.291619,1.44329e-15,0,-0.00672958,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,-0.985698,2.7275e-09,0,-0.829858,-1.0049,-1.33227e-14,0,-0.0246841,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,-1.16165,1.21292e-08,0,0.541761,-1.17289,-2.19824e-14,0,0.143052,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,-0.45563,-1.14017e-08,0,-0.272371,-0.461901,-8.10463e-15,0,-0.00724742,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,-0.466666,-7.98725e-09,0,-0.492549,-0.481323,-1.41664e-13,0,0.0216979,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,0.630766,-7.32339e-10,0,0.159288,0.61705,-2.26485e-14,0,-0.00660458,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,0.546241,5.94552e-10,0,-0.567695,0.528601,1.09912e-14,0,0.0668147,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,0.0573953,3.01603e-09,0,-0.0364131,-7.53356e-08,-7.86871e-15,0,-5.49131e-07,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,-0.0999101,-3.58719e-09,0,0.0180465,-2.64002e-07,-3.85109e-15,0,4.52314e-07,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,0.166756,-1.45957e-09,0,0.100921,7.18832e-08,1.84922e-15,0,-4.5622e-07,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,-0.0501152,2.72698e-09,0,0.228252,-3.39474e-07,1.0443e-15,0,2.55202e-07,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,-0.179696,-5.45484e-09,0,0.124437,7.20796e-08,2.05391e-15,0,-2.61462e-07,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,0.0451771,6.99099e-09,0,-0.0130977,-5.84554e-08,9.58955e-15,0,2.6175e-07,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,0.0543846,6.63583e-09,0,-0.136515,-3.98609e-07,-1.47798e-15,0,-6.84476e-08,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,-0.0749328,4.62712e-09,0,0.182474,-2.92894e-07,6.41848e-15,0,3.68923e-07,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,0.0403222,3.97166e-09,0,0.187668,2.83866e-07,1.82909e-14,0,-1.4094e-07,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,-0.136473,-4.96418e-10,0,0.111943,-1.5582e-07,-9.83241e-15,0,-2.38729e-07,69.0|292,1159
8|1159|8|1159|vc|3|2|292|2|292|69.0,0.0263868,-5.20531e-09,0,-0.163978,-2.98682e-07,5.55805e-15,0,5.78408e-08,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,0.0259553,7.94064e-09,0,0.178859,-2.26986e-07,1.11924e-14,0,-2.07902e-07,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,-0.117102,7.95894e-10,0,-0.0224979,-1.29567e-07,4.01068e-15,0,1.21738e-07,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,0.14624,-2.4822e-10,0,0.272838,2.11774e-07,5.93969e-15,0,-9.0546e-08,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,0.00736011,2.46729e-09,0,0.037211,-3.94095e-07,-4.73926e-15,0,-1.0652e-07,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,0.155211,-8.99444e-10,0,-0.253092,-2.27377e-08,2.15453e-15,0,3.54947e-07,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,-1.43285,3.83009e-09,0,-1.06171,-1.4314,-8.10463e-14,0,-0.0252654,65.0|103,1197
8|1197|8|1197|sample|8|103|8|103|65.0,-1.42041,-7.39883e-09,0,-0.291211,-1.42425,-9.83658e-14,0,-0.0327328,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,-1.50676,-3.47802e-09,0,-0.900383,-1.50747,-5.50671e-14,0,-0.0110539,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,-1.44538,3.04218e-09,0,-1.24071,-1.4414,2.29816e-14,0,0.0294361,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,-2.8549,-4.73527e-09,0,0.704084,-2.86752,-2.59792e-14,0,0.039389,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,-2.68098,5.59547e-09,0,0.0257083,-2.68364,-3.04201e-14,0,-0.0576101,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,-2.64261,-2.90361e-09,0,-0.513512,-2.65499,6.01741e-14,0,-0.0732467,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,-2.40435,-4.98209e-09,0,-0.302532,-2.43193,-1.11022e-15,0,0.00818488,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,-2.50145,4.04635e-10,0,-0.949441,-2.5253,1.31006e-14,0,-0.0260698,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,-2.92417,2.51253e-09,0,-0.185974,-2.93888,-1.32006e-13,0,0.00236015,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,-0.0430153,2.42544e-09,0,0.194426,-2.70282e-07,-5.55112e-16,0,5.98619e-08,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,-0.138345,8.35572e-11,0,-0.16094,2.18353e-07,5.9952e-15,0,-4.4232e-08,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,0.122104,-2.32886e-09,0,-0.0597745,-8.96597e-08,-5.66214e-15,0,1.02076e-08,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,-0.073166,6.94141e-09,0,0.0494681,-2.13776e-07,-6.32827e-15,0,-7.98681e-08,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,0.141539,-1.23374e-09,0,0.0129971,-5.16933e-07,3.33067e-15,0,6.84779e-08,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,-0.017626,1.40941e-09,0,0.254903,1.34393e-07,3.33067e-15,0,-7.21016e-08,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,0.175118,3.61232e-09,0,-0.00491893,-2.34525e-07,7.32747e-15,0,-4.63096e-07,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,-0.154351,-2.03868e-10,0,0.0657396,9.71611e-08,6.66134e-16,0,4.17796e-07,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,-0.000455676,3.81656e-09,0,-0.0573292,-3.32811e-07,-9.10383e-15,0,-5.15235e-08,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,0.107082,1.84706e-09,0,-0.277324,1.85038e-07,-6.21725e-15,0,6.58062e-08,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,0.0425363,7.35489e-09,0,0.128349,-7.67726e-08,2.55351e-15,0,3.34001e-07,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,-0.0242066,-7.0564e-09,0,-0.0452107,2.38332e-07,7.88258e-15,0,1.24492e-07,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,0.126039,6.26446e-09,0,0.098993,7.83451e-08,-2.33147e-15,0,-1.55036e-07,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,-0.0265713,-2.62893e-09,0,0.0786514,3.25298e-07,6.21725e-15,0,-1.38261e-07,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,0.0591612,4.385e-09,0,-0.0965246,-1.55723e-07,-9.32587e-15,0,-1.22743e-07,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,0.112864,-6.37793e-09,0,0.0675321,2.67868e-07,-7.88258e-15,0,-2.4348e-07,69.0|103,1197
