rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|1099|14|1099|cc|1|1|73|1|73|69.0,0,-1.1023e-08,-0.00446236,32.4771,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|2|1|73|1|73|69.0,0,8.24473e-08,-0.00195699,-10.7448,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|3|1|73|1|73|69.0,0,-4.83424e-08,0.0627552,-12.466,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|4|1|73|1|73|69.0,0,2.71364e-08,0.00546223,0.333245,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|5|1|73|1|73|69.0,0,-4.54038e-08,-0.0072239,43.3405,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|6|1|73|1|73|69.0,0,4.28422e-08,0.0354798,-46.7706,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|7|1|73|1|73|69.0,0,3.70161e-08,0.165512,-28.2175,0,0,False,69.0|73,1099
1,14|1099|14|1099|cc|8|1|73|1|73|69.0,0,4.71487e-08,-0.117461,32.4665,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|1|2|73|2|73|69.0,0,6.34416e-08,0.0654598,-46.6359,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|2|2|73|2|73|69.0,0,1.62231e-08,-0.0055442,-12.6022,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|3|2|73|2|73|69.0,0,-5.79635e-08,0.00721641,44.8107,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|4|2|73|2|73|69.0,0,7.19546e-08,-0.0680088,18.861,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|5|2|73|2|73|69.0,0,-1.79001e-08,0.013493,-23.8963,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|6|2|73|2|73|69.0,0,-6.55619e-08,-0.0075419,-4.43431,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|7|2|73|2|73|69.0,0,-2.30606e-08,-0.019476,60.8796,0,0,False,69.0|73,1099
1,14|1099|14|1099|vc|8|2|73|2|73|69.0,0,2.80863e-09,-0.075354,-17.9935,0,0,False,69.0|73,1099
1,14|611|14|611|sample|4|73|4|73|6.0,0,1.3657e-08,0.100544,-31.0275,0,0,True,6.0|73,611
1,14|611|14|611|sample|3|73|3|73|6.0,0,9.86654e-09,-0.0250352,-47.3652,0,0,True,6.0|73,611
1,14|611|14|611|sample|5|73|5|73|6.0,0,-5.90853e-09,0.135976,-26.5285,0,0,True,6.0|73,611
1,14|611|14|611|sample|6|73|6|73|6.0,0,-2.42062e-09,0.00782082,-10.1024,0,0,True,6.0|73,611
1,14|611|14|611|sample|7|73|7|73|6.0,0,-1.33668e-08,0.112775,-23.5597,0,0,True,6.0|73,611
1,14|611|14|611|sample|8|73|8|73|6.0,0,-1.86287e-08,-0.0140821,-46.0913,0,0,True,6.0|73,611
1,14|611|14|611|sample|9|73|9|73|6.0,0,-7.51133e-08,-0.0871167,-10.7007,0,0,True,6.0|73,611
1,14|611|14|611|sample|10|73|10|73|6.0,0,5.4511e-08,0.0175762,-19.3006,0,0,True,6.0|73,611
1,14|611|14|611|sample|12|73|12|73|6.0,0,7.20285e-08,-0.098839,-16.4377,0,0,True,6.0|73,611
1,14|611|14|611|sample|11|73|11|73|6.0,0,-4.65354e-08,-0.0274294,-35.2908,0,0,True,6.0|73,611
