rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,-6.8263e-08,0,-5.76525e-08,-2.92507e-08,-15.792,0,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,-3.42552e-08,0,5.02769e-08,2.30613e-07,9.59119,0,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,4.1764e-08,0,-1.19224e-07,6.8186e-08,29.5676,0,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,-3.95812e-09,0,-1.40191e-08,1.31278e-07,-5.1467,0,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,-4.46453e-08,0,1.33684e-08,5.45897e-08,0.658119,0,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,2.63535e-08,0,-6.26122e-08,-1.25423e-07,-18.7099,0,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,1.07757e-07,0,8.88259e-08,3.35463e-08,-13.5423,0,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,-1.37108e-07,0,1.44082e-08,1.06329e-07,8.48769,0,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,-6.55127e-08,0,9.54812e-08,-6.99882e-08,37.9556,0,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,-1.83383e-07,0,-8.97992e-09,3.22559e-07,-11.001,0,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,8.06758e-08,0,1.29557e-07,-1.50607e-07,3.11007,0,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,4.48927e-08,0,4.1306e-08,7.18947e-08,-9.02868,0,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,-4.82833e-08,0,1.39511e-07,1.98255e-07,-24.4234,0,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,-2.51312e-08,0,9.86389e-08,7.19813e-07,-13.2581,0,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,-4.97093e-08,0,-1.28198e-07,1.89155e-09,-1.43331,0,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,-5.99684e-08,0,6.44342e-11,8.78647e-07,24.9877,0,False,69.0|103,1197
