rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|719|8|719|sample|3|274|3|274|55.0,0.3271,3.19917e-09,0.291535,0,0,True,55.0|274,719
1,8|719|8|719|sample|4|274|4|274|55.0,0.68579,-1.83478e-08,0.356181,0,0,True,55.0|274,719
1,8|719|8|719|sample|10|274|10|274|32.0,-0.311114,1.79173e-08,-1.77222,0,0,True,32.0|274,719
1,8|719|8|719|sample|9|274|9|274|32.0,0.361806,-7.78101e-09,-1.76905,0,0,True,32.0|274,719
1,8|719|8|719|sample|8|274|8|274|32.0,-1.34505,2.79972e-08,-1.48992,0,0,True,32.0|274,719
1,8|719|8|719|sample|7|274|7|274|32.0,-0.323657,1.53936e-08,-1.67852,0,0,True,32.0|274,719
1,8|719|8|719|sample|12|274|12|274|22.0,0.383009,-6.4546e-08,-1.92637,0,0,True,22.0|274,719
1,8|719|8|719|sample|11|274|11|274|22.0,-0.15583,-2.835e-08,-1.72247,0,0,True,22.0|274,719
1,8|719|8|719|cc|1|1|274|1|274|69.0,-0.883267,-2.36989e-08,1.994,0,0,False,69.0|274,719
1,8|719|8|719|cc|2|1|274|1|274|69.0,-2.21075,2.14625e-08,-3.27556,0,0,False,69.0|274,719
1,8|719|8|719|cc|3|1|274|1|274|69.0,-0.301632,-1.71315e-08,-0.988235,0,0,False,69.0|274,719
1,8|719|8|719|cc|4|1|274|1|274|69.0,-0.0724601,-3.48447e-08,-0.477518,0,0,False,69.0|274,719
1,8|719|8|719|cc|5|1|274|1|274|69.0,0.0928265,1.16746e-08,-6.87465,0,0,False,69.0|274,719
1,8|719|8|719|cc|6|1|274|1|274|69.0,0.295306,4.77069e-08,-0.708757,0,0,False,69.0|274,719
1,8|719|8|719|cc|7|1|274|1|274|69.0,-1.15234,6.96351e-09,0.853293,0,0,False,69.0|274,719
1,8|719|8|719|cc|8|1|274|1|274|69.0,-1.62178,-7.01603e-09,0.454804,0,0,False,69.0|274,719
1,8|719|8|719|vc|1|2|274|2|274|69.0,0.498322,-1.23604e-08,2.8282,0,0,False,69.0|274,719
1,8|719|8|719|vc|2|2|274|2|274|69.0,2.13831,1.9047e-08,0.309501,0,0,False,69.0|274,719
1,8|719|8|719|vc|3|2|274|2|274|69.0,0.114033,1.51533e-09,4.70542,0,0,False,69.0|274,719
1,8|719|8|719|vc|4|2|274|2|274|69.0,1.4013,-1.18994e-09,-1.28385,0,0,False,69.0|274,719
1,8|719|8|719|vc|5|2|274|2|274|69.0,1.04884,1.37912e-08,-3.23785,0,0,False,69.0|274,719
1,8|719|8|719|vc|6|2|274|2|274|69.0,0.329513,-2.44794e-08,5.20608,0,0,False,69.0|274,719
1,8|719|8|719|vc|7|2|274|2|274|69.0,0.184745,-7.46882e-09,0.0646631,0,0,False,69.0|274,719
1,8|719|8|719|vc|8|2|274|2|274|69.0,-0.557194,1.70434e-08,3.47867,0,0,False,69.0|274,719
1,8|863|8|863|sample|7|274|7|274|65.0,-0.996314,1.91839e-08,-1.58469,0,0,True,65.0|274,863
1,8|863|8|863|sample|8|274|8|274|65.0,-0.726547,-4.4784e-08,-1.67169,0,0,True,65.0|274,863
1,8|863|8|863|sample|6|274|6|274|65.0,-1.29572,1.0277e-08,-1.87517,0,0,True,65.0|274,863
1,8|863|8|863|sample|5|274|5|274|65.0,0.0893286,1.04402e-09,-1.74562,0,0,True,65.0|274,863
1,8|863|8|863|sample|11|274|11|274|28.0,-0.915166,1.80006e-09,-2.02878,0,0,True,28.0|274,863
1,8|863|8|863|sample|12|274|12|274|28.0,-1.07906,2.04949e-08,-1.95535,0,0,True,28.0|274,863
1,8|863|8|863|sample|9|274|9|274|28.0,0.0805592,3.70103e-08,-1.92528,0,0,True,28.0|274,863
1,8|863|8|863|sample|10|274|10|274|28.0,0.674786,-3.25042e-08,-1.79689,0,0,True,28.0|274,863
1,8|863|8|863|sample|5|274|5|274|28.0,1.14508,2.26058e-08,-3.67184,0,0,True,28.0|274,863
1,8|863|8|863|sample|3|274|3|274|22.0,-0.194914,3.56408e-09,-1.88604,0,0,True,22.0|274,863
1,8|863|8|863|sample|4|274|4|274|22.0,0.559937,1.64501e-08,-1.56556,0,0,True,22.0|274,863
1,8|863|8|863|sample|10|274|10|274|65.0,0.0654862,-2.69651e-09,-3.73385,0,0,True,65.0|274,863
1,8|863|8|863|cc|1|1|274|1|274|69.0,0.426035,-4.45374e-09,1.08842,0,0,False,69.0|274,863
1,8|863|8|863|cc|2|1|274|1|274|69.0,-0.0916029,-1.27802e-08,0.475283,0,0,False,69.0|274,863
1,8|863|8|863|cc|3|1|274|1|274|69.0,-1.21024,-2.02445e-08,-1.06735,0,0,False,69.0|274,863
1,8|863|8|863|cc|4|1|274|1|274|69.0,-0.98944,-2.00732e-08,-1.61695,0,0,False,69.0|274,863
1,8|863|8|863|cc|5|1|274|1|274|69.0,0.624625,2.62163e-09,2.11545,0,0,False,69.0|274,863
1,8|863|8|863|cc|6|1|274|1|274|69.0,0.858118,-2.82914e-08,1.59986,0,0,False,69.0|274,863
1,8|863|8|863|cc|7|1|274|1|274|69.0,-1.16135,-4.8327e-09,2.32526,0,0,False,69.0|274,863
1,8|863|8|863|cc|8|1|274|1|274|69.0,-1.17133,1.55098e-08,-4.62201,0,0,False,69.0|274,863
1,8|863|8|863|vc|1|2|274|2|274|69.0,1.34722,7.13123e-09,-5.04433,0,0,False,69.0|274,863
1,8|863|8|863|vc|2|2|274|2|274|69.0,-0.67127,3.59942e-08,1.48609,0,0,False,69.0|274,863
1,8|863|8|863|vc|3|2|274|2|274|69.0,1.74,-4.50763e-08,3.49277,0,0,False,69.0|274,863
1,8|863|8|863|vc|4|2|274|2|274|69.0,-0.400492,3.62956e-09,2.64649,0,0,False,69.0|274,863
1,8|863|8|863|vc|5|2|274|2|274|69.0,-0.245225,-7.83477e-09,-1.41261,0,0,False,69.0|274,863
1,8|863|8|863|vc|6|2|274|2|274|69.0,-0.946172,2.57445e-08,0.635519,0,0,False,69.0|274,863
1,8|863|8|863|vc|7|2|274|2|274|69.0,0.223761,1.85535e-08,0.327162,0,0,False,69.0|274,863
1,8|863|8|863|vc|8|2|274|2|274|69.0,-1.17051,1.18328e-08,0.570809,0,0,False,69.0|274,863
1,8|488|8|488|sample|6|322|6|322|55.0,0.773484,2.28488e-08,1.34632,0,0,True,55.0|322,488
1,8|488|8|488|sample|5|322|5|322|55.0,1.17769,5.73763e-09,1.28608,0,0,True,55.0|322,488
1,8|488|8|488|sample|4|322|4|322|55.0,1.2311,5.38034e-09,1.45697,0,0,True,55.0|322,488
1,8|488|8|488|sample|3|322|3|322|55.0,0.191751,-1.97676e-08,0.972306,0,0,True,55.0|322,488
1,8|488|8|488|sample|10|322|10|322|32.0,0.230505,3.00772e-08,-3.00507,0,0,True,32.0|322,488
1,8|488|8|488|sample|9|322|9|322|32.0,-0.645114,-9.95438e-09,-3.15176,0,0,True,32.0|322,488
1,8|488|8|488|sample|8|322|8|322|32.0,1.08325,-8.38644e-09,-3.13518,0,0,True,32.0|322,488
1,8|488|8|488|sample|7|322|7|322|32.0,-0.403672,-6.35575e-09,-2.79552,0,0,True,32.0|322,488
1,8|488|8|488|sample|11|322|11|322|22.0,-0.625877,-9.03234e-09,-2.05638,0,0,True,22.0|322,488
1,8|488|8|488|sample|12|322|12|322|22.0,-0.453069,-3.45727e-08,-2.30386,0,0,True,22.0|322,488
1,8|488|8|488|cc|1|1|322|1|322|69.0,0.466042,2.99576e-09,0.460312,0,0,False,69.0|322,488
1,8|488|8|488|cc|2|1|322|1|322|69.0,0.766649,1.83034e-08,-1.61086,0,0,False,69.0|322,488
1,8|488|8|488|cc|3|1|322|1|322|69.0,-0.00541504,5.96896e-09,1.43322,0,0,False,69.0|322,488
1,8|488|8|488|cc|4|1|322|1|322|69.0,0.701927,4.7055e-08,2.48226,0,0,False,69.0|322,488
1,8|488|8|488|cc|5|1|322|1|322|69.0,0.596074,4.95059e-09,1.02194,0,0,False,69.0|322,488
1,8|488|8|488|cc|6|1|322|1|322|69.0,-0.141848,2.78918e-08,1.21833,0,0,False,69.0|322,488
1,8|488|8|488|cc|7|1|322|1|322|69.0,0.838859,-1.14193e-08,3.33435,0,0,False,69.0|322,488
1,8|488|8|488|cc|8|1|322|1|322|69.0,-1.35706,-1.08597e-08,5.2354,0,0,False,69.0|322,488
1,8|488|8|488|vc|1|2|322|2|322|69.0,-0.29578,2.20559e-08,-2.52392,0,0,False,69.0|322,488
1,8|488|8|488|vc|2|2|322|2|322|69.0,0.7424,-1.59601e-08,-1.28479,0,0,False,69.0|322,488
1,8|488|8|488|vc|3|2|322|2|322|69.0,-1.2078,-1.12016e-08,-2.76496,0,0,False,69.0|322,488
1,8|488|8|488|vc|4|2|322|2|322|69.0,-0.162963,-2.16876e-09,2.51015,0,0,False,69.0|322,488
1,8|488|8|488|vc|5|2|322|2|322|69.0,0.24357,1.21706e-09,-3.9179,0,0,False,69.0|322,488
1,8|488|8|488|vc|6|2|322|2|322|69.0,-0.406966,-2.06332e-08,-2.79424,0,0,False,69.0|322,488
1,8|488|8|488|vc|7|2|322|2|322|69.0,0.981115,-2.54934e-08,-5.1744,0,0,False,69.0|322,488
1,8|488|8|488|vc|8|2|322|2|322|69.0,-0.842036,6.38977e-09,-1.97064,0,0,False,69.0|322,488
1,8|152|8|152|sample|8|322|8|322|65.0,-0.216817,-7.76729e-09,-1.50789,0,0,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-0.467209,2.98475e-08,-1.52825,0,0,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,-1.33657,3.71689e-08,-1.3117,0,0,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,1.71629,-2.96041e-08,-1.44611,0,0,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.497952,-4.41092e-08,-2.9395,0,0,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.0994033,-4.53356e-09,-2.59579,0,0,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,1.13273,-1.2168e-08,-2.60289,0,0,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.601342,2.41951e-08,-2.38673,0,0,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.488326,1.09123e-08,-1.90329,0,0,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.24088,2.57683e-09,-1.83804,0,0,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0.4122,-9.14966e-09,-5.92079,0,0,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,0.966027,7.34763e-09,-1.50919,0,0,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,0.0245947,3.36743e-08,3.12446,0,0,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0.474242,2.85814e-08,-2.13992,0,0,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,-1.69615,1.76609e-08,0.448281,0,0,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,-0.734745,-2.8522e-08,9.11604,0,0,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-0.150805,-1.21696e-08,-0.597387,0,0,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,-0.465251,2.74762e-09,2.60439,0,0,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,-1.23181,-6.00429e-09,-2.19414,0,0,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0.10377,-5.01764e-09,-0.497126,0,0,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,1.45125,-1.24466e-08,-0.33221,0,0,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-0.125562,-4.15841e-08,1.9592,0,0,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,1.51865,-4.69261e-08,-3.40055,0,0,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,0.674381,1.62384e-08,-3.35149,0,0,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,0.0228586,3.56457e-08,-2.87182,0,0,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,-0.644133,-2.33987e-08,-2.32834,0,0,False,69.0|322,152
1,8|847|8|847|sample|6|69|6|69|55.0,0.741669,-1.30675e-08,-1.68257,0,0,True,55.0|69,847
1,8|847|8|847|sample|3|69|3|69|55.0,0.0658241,-2.24659e-09,-1.11479,0,0,True,55.0|69,847
1,8|847|8|847|sample|4|69|4|69|55.0,0.447071,-1.81296e-08,-1.17725,0,0,True,55.0|69,847
1,8|847|8|847|sample|10|69|10|69|32.0,-1.3834,-2.19999e-08,-2.22379,0,0,True,32.0|69,847
1,8|847|8|847|sample|9|69|9|69|32.0,1.13614,1.57054e-08,-2.21818,0,0,True,32.0|69,847
1,8|847|8|847|sample|7|69|7|69|32.0,1.08792,-1.87633e-08,-2.20135,0,0,True,32.0|69,847
1,8|847|8|847|sample|8|69|8|69|32.0,-0.111064,-7.18513e-09,-2.13801,0,0,True,32.0|69,847
1,8|847|8|847|sample|12|69|12|69|22.0,-0.608129,-2.45863e-08,-0.701516,0,0,True,22.0|69,847
1,8|847|8|847|sample|11|69|11|69|22.0,0.115297,3.13358e-08,-0.650641,0,0,True,22.0|69,847
1,8|847|8|847|sample|5|69|5|69|55.0,-0.794028,-4.40594e-09,-0.862184,0,0,True,55.0|69,847
1,8|847|8|847|cc|1|1|69|1|69|69.0,-0.978928,1.68372e-08,0.0435495,0,0,False,69.0|69,847
1,8|847|8|847|cc|2|1|69|1|69|69.0,-0.547442,4.07205e-08,-2.90592,0,0,False,69.0|69,847
