id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|863|8|863|sample|6|274|6|274|65.0,0,0.0761842,0,0,0,0,0.083584,0,0,0,True,65.0|274,863
8|863|8|863|sample|5|274|5|274|65.0,0,0.0339938,0,0,0,0,0.0399136,0,0,0,True,65.0|274,863
8|863|8|863|sample|11|274|11|274|28.0,0,0.0487972,0,0,0,0,0.0649392,0,0,0,True,28.0|274,863
8|863|8|863|sample|12|274|12|274|28.0,0,-0.0311725,0,0,0,0,-0.0051068,0,0,0,True,28.0|274,863
8|863|8|863|sample|9|274|9|274|28.0,0,0.0336049,0,0,0,0,0.0509772,0,0,0,True,28.0|274,863
8|863|8|863|sample|10|274|10|274|28.0,0,-0.0397898,0,0,0,0,-0.0206021,0,0,0,True,28.0|274,863
8|863|8|863|sample|5|274|5|274|28.0,0,0.00438699,0,0,0,0,0.0168254,0,0,0,True,28.0|274,863
8|863|8|863|sample|3|274|3|274|22.0,0,-0.0206267,0,0,0,0,-0.0133709,0,0,0,True,22.0|274,863
8|863|8|863|sample|4|274|4|274|22.0,0,-0.0881719,0,0,0,0,-0.0874345,0,0,0,True,22.0|274,863
8|863|8|863|sample|10|274|10|274|65.0,0,0.0421932,0,0,0,0,0.0348149,0,0,0,True,65.0|274,863
8|863|8|863|cc|1|1|274|1|274|69.0,0,0.0102825,0,0,0,0,-1.35241e-07,0,0,0,False,69.0|274,863
8|863|8|863|cc|2|1|274|1|274|69.0,0,-0.00519853,0,0,0,0,1.32283e-07,0,0,0,False,69.0|274,863
8|863|8|863|cc|3|1|274|1|274|69.0,0,0.0113249,0,0,0,0,-2.37838e-07,0,0,0,False,69.0|274,863
8|863|8|863|cc|4|1|274|1|274|69.0,0,0.00879059,0,0,0,0,-2.03221e-07,0,0,0,False,69.0|274,863
8|863|8|863|cc|5|1|274|1|274|69.0,0,0.0159808,0,0,0,0,-1.1291e-07,0,0,0,False,69.0|274,863
8|863|8|863|cc|6|1|274|1|274|69.0,0,-0.0139368,0,0,0,0,-4.33745e-08,0,0,0,False,69.0|274,863
