rep,id,f,h,s,L_gap,mab_virus,run_id
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,11.6305,0.821027,2.76622,-7.02645,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,11.6305,0.821027,1.77768,7.86128,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,11.6305,0.821027,0.179545,2.44554,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,11.6305,0.821027,0.0288707,-5.40432,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,11.6305,0.821027,17.8227,3.14428,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,11.6305,0.821027,0.0840601,-1.83543,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,11.6305,0.821027,0.0302554,-3.77533,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,2.60476,0.723283,21.4803,-2.38881,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,2.60476,0.723283,22.329,0.729939,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,2.60476,0.723283,24.7504,-2.74494,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,2.60476,0.723283,20.8866,-0.85989,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0.577875,0.722443,11.3552,4.03104,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0.577875,0.722443,10.1601,-0.991911,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0.577875,0.722443,9.58661,-1.7878,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,1.02225,0.821027,14.4324,-0.954842,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,1.02225,0.821027,15.4108,0.835534,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0.577875,0.722443,11.5352,0.478612,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,2.90727,0.822047,0.556295,6.74106,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,2.90727,0.822047,0.766553,-0.982028,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,2.90727,0.822047,0.999618,7.58055,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,2.90727,0.822047,6.45957,-3.67097,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,2.90727,0.822047,0.610241,1.87854,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,2.90727,0.822047,0.0267843,-0.997109,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,2.90727,0.822047,26.0068,-6.02826,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,2.90727,0.822047,3.69763,0.878914,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,2.90727,0.822047,0.080115,-3.08305,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,2.90727,0.822047,0.0189974,4.97886,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,2.90727,0.822047,0.498621,1.67447,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,2.90727,0.822047,0.281514,-0.662386,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,2.90727,0.822047,0.724879,3.02073,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,2.90727,0.822047,1.70895,3.91856,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,2.90727,0.822047,5.56548,4.35126,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,2.90727,0.822047,18.214,9.39022,69.0|103,1197
