id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|719|sample|5|274,1.48197,0.0088357,0.833552,0.0547239,7.13872,0.412454,3.08711e-12,1.48197,0.0088357,0.833552,0.0545307,7.13872,0.411975,2.87665e-12,True,55.0|274,719
8|719|sample|6|274,1.48197,0.0088357,0.833552,0.0685022,7.13872,0.412454,3.08711e-12,1.48197,0.0088357,0.833552,0.0641364,7.13872,0.411975,2.87665e-12,True,55.0|274,719
8|719|sample|7|274,1.52033,0.00826304,0.773528,0.325996,8.59265,0.412454,3.08711e-12,1.52033,0.00826304,0.773528,0.3249,8.59265,0.411975,2.87665e-12,True,32.0|274,719
8|719|sample|8|274,1.52033,0.00826304,0.773528,0.337,8.59265,0.412454,3.08711e-12,1.52033,0.00826304,0.773528,0.330225,8.59265,0.411975,2.87665e-12,True,32.0|274,719
8|719|sample|9|274,1.52033,0.00826304,0.773528,0.331702,8.59265,0.412454,3.08711e-12,1.52033,0.00826304,0.773528,0.337306,8.59265,0.411975,2.87665e-12,True,32.0|274,719
8|719|vc|1|2|274,1.50196,0.00311304,1.4809,36.9365,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|2|2|274,1.50196,0.00311304,1.4809,8.50422,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|3|2|274,1.50196,0.00311304,1.4809,7.72821,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,0.999999,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|4|2|274,1.50196,0.00311304,1.4809,7.94423,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|5|2|274,1.50196,0.00311304,1.4809,9.41359,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,0.999999,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|6|2|274,1.50196,0.00311304,1.4809,6.76664,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|7|2|274,1.50196,0.00311304,1.4809,4.93688,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|vc|8|2|274,1.50196,0.00311304,1.4809,6.32183,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|488|cc|1|1|322,1.51505,0.00303556,0.785642,9.61833,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|2|1|322,1.51505,0.00303556,0.785642,6.45659,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|3|1|322,1.51505,0.00303556,0.785642,9.34454,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|4|1|322,1.51505,0.00303556,0.785642,5.69025,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|5|1|322,1.51505,0.00303556,0.785642,6.24628,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|6|1|322,1.51505,0.00303556,0.785642,4.96872,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,0.999999,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|7|1|322,1.51505,0.00303556,0.785642,7.15868,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|cc|8|1|322,1.51505,0.00303556,0.785642,7.63954,5.858,0.412454,3.08712e-12,1.51505,0.00303556,0.785642,1.0,5.858,0.411974,2.87666e-12,False,69.0|322,488
8|488|sample|10|322,1.67778,0.00299274,0.379947,4.80419,1.69511,0.412454,3.08712e-12,1.67778,0.00299274,0.379947,4.98882,1.69511,0.411974,2.87666e-12,True,32.0|322,488
8|488|sample|11|322,1.47272,0.00241746,0.665398,0.919813,3.57685,0.412454,3.08712e-12,1.47272,0.00241746,0.665398,0.885308,3.57685,0.411974,2.87666e-12,True,22.0|322,488
8|488|sample|12|322,1.47272,0.00241746,0.665398,1.07166,3.57685,0.412454,3.08712e-12,1.47272,0.00241746,0.665398,1.14718,3.57685,0.411974,2.87666e-12,True,22.0|322,488
8|488|sample|3|322,1.47532,5.61256e-05,2.83139,0.104907,6.5729,0.412454,3.08712e-12,1.47532,5.61256e-05,2.83139,0.107045,6.5729,0.411974,2.87666e-12,True,55.0|322,488
8|488|sample|4|322,1.47532,5.61256e-05,2.83139,0.103479,6.5729,0.412454,3.08712e-12,1.47532,5.61256e-05,2.83139,0.103839,6.5729,0.411974,2.87666e-12,True,55.0|322,488
8|488|sample|5|322,1.47532,5.61256e-05,2.83139,0.0167223,6.5729,0.412454,3.08712e-12,1.47532,5.61256e-05,2.83139,0.0174941,6.5729,0.411974,2.87666e-12,True,55.0|322,488
8|488|sample|6|322,1.47532,5.61256e-05,2.83139,0.0173603,6.5729,0.412454,3.08712e-12,1.47532,5.61256e-05,2.83139,0.0173547,6.5729,0.411974,2.87666e-12,True,55.0|322,488
8|488|sample|7|322,1.67778,0.00299274,0.379947,3.39488,1.69511,0.412454,3.08712e-12,1.67778,0.00299274,0.379947,3.70019,1.69511,0.411974,2.87666e-12,True,32.0|322,488
