id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|394|14|394|sample|7|42|7|42|6.0,-5.39694e-09,7.64776e-10,3.20899,0,0,-8.88178e-15,2.02061e-14,2.94217,0,0,True,6.0|42,394
14|394|14|394|sample|8|42|8|42|6.0,5.01889e-09,-1.68886e-09,3.20239,0,0,-3.01981e-14,-7.43849e-15,3.2401,0,0,True,6.0|42,394
14|394|14|394|sample|10|42|10|42|6.0,-1.99256e-09,-1.82645e-09,-3.4002,0,0,8.88178e-15,1.32006e-13,-3.42155,0,0,True,6.0|42,394
14|394|14|394|sample|9|42|9|42|6.0,2.15626e-09,4.727e-09,-3.18966,0,0,-1.77636e-15,-9.448e-14,-3.23975,0,0,True,6.0|42,394
14|394|14|394|sample|12|42|12|42|6.0,-1.09768e-09,-2.97249e-09,-0.185091,0,0,5.86198e-14,7.17204e-14,-0.23949,0,0,True,6.0|42,394
14|394|14|394|sample|11|42|11|42|6.0,-5.04767e-09,8.27141e-09,0.0845635,0,0,3.37508e-14,4.04121e-14,-0.0284155,0,0,True,6.0|42,394
14|394|14|394|sample|3|42|3|42|63.0,-1.81851e-10,-3.14437e-09,-5.22549,0,0,4.44089e-14,-9.30367e-14,-5.21626,0,0,True,63.0|42,394
14|394|14|394|sample|4|42|4|42|63.0,-1.6871e-09,-1.83336e-11,-4.68348,0,0,3.73035e-14,1.55209e-13,-4.66304,0,0,True,63.0|42,394
14|394|14|394|cc|1|1|42|1|42|69.0,1.61129e-10,-3.23234e-09,-0.0904392,0,0,3.55271e-15,6.21725e-15,4.54928e-08,0,0,False,69.0|42,394
14|394|14|394|cc|2|1|42|1|42|69.0,2.02829e-09,5.10397e-10,0.397655,0,0,0,-9.76996e-15,-1.97337e-07,0,0,False,69.0|42,394
14|394|14|394|cc|3|1|42|1|42|69.0,-1.21008e-09,6.47935e-09,-0.198132,0,0,-3.55271e-15,4.66294e-15,3.80411e-08,0,0,False,69.0|42,394
14|394|14|394|cc|4|1|42|1|42|69.0,5.50152e-09,5.71333e-09,0.146946,0,0,5.32907e-15,8.88178e-16,-1.84149e-08,0,0,False,69.0|42,394
14|394|14|394|cc|5|1|42|1|42|69.0,-4.36103e-10,2.28527e-09,-0.430944,0,0,-5.32907e-15,1.55431e-14,9.29275e-08,0,0,False,69.0|42,394
14|394|14|394|cc|6|1|42|1|42|69.0,-5.97101e-10,7.56902e-09,-0.314875,0,0,-7.10543e-15,-2.66454e-15,1.51322e-08,0,0,False,69.0|42,394
14|394|14|394|cc|7|1|42|1|42|69.0,-2.7828e-09,4.27477e-09,-0.0869449,0,0,-5.32907e-15,-1.19904e-14,2.68392e-07,0,0,False,69.0|42,394
14|394|14|394|cc|8|1|42|1|42|69.0,-2.674e-09,-4.152e-10,0.478061,0,0,1.77636e-15,-3.55271e-15,-2.40019e-07,0,0,False,69.0|42,394
14|394|14|394|vc|1|2|42|2|42|69.0,1.40051e-09,8.00245e-09,-0.190845,0,0,0,7.54952e-15,-2.89471e-08,0,0,False,69.0|42,394
14|394|14|394|vc|2|2|42|2|42|69.0,-3.12233e-09,-1.39652e-09,0.0692782,0,0,-1.77636e-15,7.10543e-15,2.26824e-08,0,0,False,69.0|42,394
14|394|14|394|vc|3|2|42|2|42|69.0,2.01046e-09,5.81194e-10,0.319814,0,0,3.55271e-15,9.10383e-15,7.08916e-07,0,0,False,69.0|42,394
14|394|14|394|vc|4|2|42|2|42|69.0,3.20651e-10,1.96913e-10,-0.0422131,0,0,-1.77636e-15,-1.33227e-15,-4.82693e-07,0,0,False,69.0|42,394
14|394|14|394|vc|5|2|42|2|42|69.0,-7.79321e-10,-1.02316e-09,0.218982,0,0,-3.55271e-15,-3.10862e-15,-8.01014e-07,0,0,False,69.0|42,394
14|394|14|394|vc|6|2|42|2|42|69.0,7.97154e-10,-1.2756e-08,-0.0449376,0,0,0,-3.9968e-15,1.56122e-07,0,0,False,69.0|42,394
14|394|14|394|vc|7|2|42|2|42|69.0,-1.4811e-10,-1.35343e-09,-0.166271,0,0,0,-1.77636e-15,-5.04751e-07,0,0,False,69.0|42,394
14|394|14|394|vc|8|2|42|2|42|69.0,-2.19432e-09,-2.44043e-09,0.197274,0,0,0,6.21725e-15,6.00047e-07,0,0,False,69.0|42,394
14|1099|14|1099|sample|3|73|3|73|6.0,-5.40015e-10,1.10106e-08,-0.852385,0,0,-2.66454e-14,-3.43059e-14,-0.955811,0,0,True,6.0|73,1099
14|1099|14|1099|sample|4|73|4|73|6.0,-4.67796e-09,1.08914e-09,-0.834402,0,0,1.59872e-14,1.08247e-13,-0.939956,0,0,True,6.0|73,1099
14|1099|14|1099|sample|5|73|5|73|6.0,-2.88824e-09,7.44116e-09,-0.10115,0,0,-5.32907e-15,-8.32667e-15,-0.137241,0,0,True,6.0|73,1099
14|1099|14|1099|sample|6|73|6|73|6.0,-1.54977e-09,-3.34292e-09,0.467101,0,0,1.24345e-14,4.13003e-14,0.326153,0,0,True,6.0|73,1099
14|1099|14|1099|sample|8|73|8|73|6.0,-1.75311e-09,2.9699e-09,3.36344,0,0,1.77636e-15,5.14033e-14,3.21298,0,0,True,6.0|73,1099
14|1099|14|1099|sample|7|73|7|73|6.0,-3.76364e-09,-1.5409e-08,2.51488,0,0,5.32907e-15,-7.82707e-14,2.52002,0,0,True,6.0|73,1099
14|1099|14|1099|sample|9|73|9|73|6.0,-5.11461e-09,5.59152e-09,-0.835673,0,0,-6.57252e-14,4.69624e-14,-0.910901,0,0,True,6.0|73,1099
14|1099|14|1099|sample|10|73|10|73|6.0,-7.6896e-10,1.49759e-08,-0.626028,0,0,2.66454e-14,-1.08691e-13,-0.670346,0,0,True,6.0|73,1099
14|1099|14|1099|sample|11|73|11|73|6.0,-9.82741e-10,-8.83993e-09,3.39,0,0,1.59872e-14,-1.76525e-14,3.2536,0,0,True,6.0|73,1099
14|1099|14|1099|sample|12|73|12|73|6.0,2.33716e-10,-1.16362e-08,3.50884,0,0,-2.30926e-14,-1.67644e-14,3.38318,0,0,True,6.0|73,1099
14|1099|14|1099|cc|1|1|73|1|73|69.0,1.87206e-09,4.03691e-09,-0.125065,0,0,-1.77636e-15,-1.62093e-14,-2.06344e-07,0,0,False,69.0|73,1099
