rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|291|sample|3|103,0,1.40536e-05,0.0896937,0,0,True,55.0|103,291
1,8|291|sample|4|103,0,7.72559e-06,-1.1453,0,0,True,55.0|103,291
1,8|291|sample|5|103,0,1.54721e-05,-2.45079,0,0,True,55.0|103,291
1,8|291|sample|6|103,0,2.01721e-05,-0.45538,0,0,True,55.0|103,291
1,8|291|sample|7|103,0,-4.14737e-06,-2.33187,0,0,True,32.0|103,291
1,8|291|sample|8|103,0,6.92025e-06,-0.924402,0,0,True,32.0|103,291
1,8|291|sample|9|103,0,-4.4127e-06,4.99381,0,0,True,32.0|103,291
1,8|291|vc|1|2|103,0,-5.84611e-06,-0.545784,0,0,False,69.0|103,291
1,8|291|vc|2|2|103,0,-4.44873e-06,-0.79645,0,0,False,69.0|103,291
1,8|291|vc|3|2|103,0,-1.1821e-05,4.7847,0,0,False,69.0|103,291
1,8|291|vc|4|2|103,0,-1.26514e-05,8.46637,0,0,False,69.0|103,291
1,8|291|vc|5|2|103,0,5.87425e-07,-3.51389,0,0,False,69.0|103,291
1,8|291|vc|6|2|103,0,1.04076e-05,-3.26122,0,0,False,69.0|103,291
1,8|291|vc|7|2|103,0,9.3543e-06,-0.589355,0,0,False,69.0|103,291
1,8|291|vc|8|2|103,0,1.41028e-05,7.80369,0,0,False,69.0|103,291
1,8|77|cc|1|1|218,0,2.95877e-05,1.7159,0,0,False,69.0|218,77
1,8|77|cc|2|1|218,0,-1.40608e-05,-1.98135,0,0,False,69.0|218,77
1,8|77|cc|3|1|218,0,-1.83958e-05,-0.550915,0,0,False,69.0|218,77
1,8|77|cc|4|1|218,0,-1.03242e-05,-1.54603,0,0,False,69.0|218,77
1,8|77|cc|5|1|218,0,-1.37247e-05,7.91106,0,0,False,69.0|218,77
1,8|77|cc|6|1|218,0,-2.14901e-05,2.79312,0,0,False,69.0|218,77
1,8|77|cc|7|1|218,0,-2.36001e-06,-3.35028,0,0,False,69.0|218,77
1,8|77|cc|8|1|218,0,3.29643e-06,-6.66305,0,0,False,69.0|218,77
1,8|77|sample|10|218,0,3.98038e-06,-1.54774,0,0,True,32.0|218,77
1,8|77|sample|11|218,0,-4.16543e-06,3.29552,0,0,True,22.0|218,77
1,8|77|sample|12|218,0,-1.40549e-05,0.195089,0,0,True,22.0|218,77
1,8|77|sample|3|218,0,8.69887e-06,0.000503664,0,0,True,55.0|218,77
1,8|77|sample|4|218,0,6.40582e-06,0.595256,0,0,True,55.0|218,77
1,8|77|sample|5|218,0,-5.42812e-06,3.34375,0,0,True,55.0|218,77
1,8|77|sample|6|218,0,7.03868e-06,-3.86831,0,0,True,55.0|218,77
1,8|77|sample|7|218,0,-1.94179e-05,-1.1745,0,0,True,32.0|218,77
1,8|77|sample|8|218,0,1.94823e-06,3.92081,0,0,True,32.0|218,77
1,8|77|sample|9|218,0,-5.90119e-06,-3.54874,0,0,True,32.0|218,77
1,8|77|vc|1|2|218,0,6.64027e-06,9.09746,0,0,False,69.0|218,77
1,8|77|vc|2|2|218,0,-7.82576e-07,5.10644,0,0,False,69.0|218,77
1,8|77|vc|3|2|218,0,6.95638e-06,5.44727,0,0,False,69.0|218,77
1,8|77|vc|4|2|218,0,-4.07445e-05,-1.54785,0,0,False,69.0|218,77
1,8|77|vc|5|2|218,0,1.31929e-06,-2.98711,0,0,False,69.0|218,77
1,8|77|vc|6|2|218,0,2.22167e-05,-0.497795,0,0,False,69.0|218,77
1,8|77|vc|7|2|218,0,-2.65108e-05,3.57073,0,0,False,69.0|218,77
1,8|77|vc|8|2|218,0,-8.16108e-06,4.05297,0,0,False,69.0|218,77
1,8|322|cc|1|1|174,0,5.71422e-06,4.7658,0,0,False,69.0|174,322
1,8|322|cc|2|1|174,0,1.1292e-05,-1.21787,0,0,False,69.0|174,322
1,8|322|cc|3|1|174,0,-6.11453e-07,-0.392883,0,0,False,69.0|174,322
1,8|322|cc|4|1|174,0,-1.59032e-05,-5.74268,0,0,False,69.0|174,322
1,8|322|cc|5|1|174,0,1.19514e-06,3.39876,0,0,False,69.0|174,322
1,8|322|cc|6|1|174,0,2.0273e-05,-0.747526,0,0,False,69.0|174,322
1,8|322|cc|7|1|174,0,-6.62133e-06,7.68625,0,0,False,69.0|174,322
1,8|322|cc|8|1|174,0,-2.4402e-06,4.27327,0,0,False,69.0|174,322
1,8|322|sample|10|174,0,-1.30195e-05,1.84902,0,0,True,32.0|174,322
1,8|322|sample|11|174,0,4.69506e-06,3.00805,0,0,True,22.0|174,322
1,8|322|sample|12|174,0,-4.71932e-06,-10.1804,0,0,True,22.0|174,322
1,8|322|sample|3|174,0,4.04558e-06,3.89162,0,0,True,55.0|174,322
1,8|322|sample|4|174,0,8.83494e-06,2.34741,0,0,True,55.0|174,322
1,8|322|sample|5|174,0,5.39153e-06,2.58233,0,0,True,55.0|174,322
1,8|322|sample|6|174,0,-5.44529e-06,2.9356,0,0,True,55.0|174,322
1,8|322|sample|7|174,0,4.17695e-06,3.32864,0,0,True,32.0|174,322
1,8|322|sample|8|174,0,-1.12759e-05,-11.7431,0,0,True,32.0|174,322
1,8|322|sample|9|174,0,2.23074e-05,4.77761,0,0,True,32.0|174,322
1,8|322|vc|1|2|174,0,2.25299e-05,-2.41074,0,0,False,69.0|174,322
