id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|75|sample|9|65,0,0,-3.04882,0,0,0,0,-3.08215,0,0,True,32.0|65,75
8|75|vc|1|2|65,0,0,0.222086,0,0,0,0,-3.96591e-07,0,0,False,69.0|65,75
8|75|vc|2|2|65,0,0,-0.0546231,0,0,0,0,9.58569e-08,0,0,False,69.0|65,75
8|75|vc|3|2|65,0,0,-0.00673657,0,0,0,0,3.19523e-07,0,0,False,69.0|65,75
8|75|vc|4|2|65,0,0,-0.347992,0,0,0,0,-2.61151e-07,0,0,False,69.0|65,75
8|75|vc|5|2|65,0,0,0.175994,0,0,0,0,2.2329e-07,0,0,False,69.0|65,75
8|75|vc|6|2|65,0,0,0.0572542,0,0,0,0,-8.94458e-08,0,0,False,69.0|65,75
8|75|vc|7|2|65,0,0,0.1012,0,0,0,0,3.24533e-08,0,0,False,69.0|65,75
8|75|vc|8|2|65,0,0,-0.0555259,0,0,0,0,-2.66823e-08,0,0,False,69.0|65,75
8|291|cc|1|1|103,0,0,0.0965919,0,0,0,0,-2.93293e-07,0,0,False,69.0|103,291
8|291|cc|2|1|103,0,0,0.0861124,0,0,0,0,-1.87231e-07,0,0,False,69.0|103,291
8|291|cc|3|1|103,0,0,-0.110479,0,0,0,0,5.58841e-09,0,0,False,69.0|103,291
8|291|cc|4|1|103,0,0,-0.121897,0,0,0,0,-8.52725e-08,0,0,False,69.0|103,291
8|291|cc|5|1|103,0,0,-0.0439268,0,0,0,0,-2.31703e-07,0,0,False,69.0|103,291
8|291|cc|6|1|103,0,0,-0.180899,0,0,0,0,2.56512e-07,0,0,False,69.0|103,291
8|291|cc|7|1|103,0,0,0.116424,0,0,0,0,2.51749e-07,0,0,False,69.0|103,291
8|291|cc|8|1|103,0,0,-0.206538,0,0,0,0,3.40565e-07,0,0,False,69.0|103,291
8|291|sample|10|103,0,0,1.83577,0,0,0,0,1.85849,0,0,True,32.0|103,291
8|291|sample|11|103,0,0,2.13748,0,0,0,0,2.17369,0,0,True,22.0|103,291
8|291|sample|12|103,0,0,1.57638,0,0,0,0,1.64402,0,0,True,22.0|103,291
8|291|sample|3|103,0,0,-1.28247,0,0,0,0,-1.27243,0,0,True,55.0|103,291
8|291|sample|4|103,0,0,-1.32078,0,0,0,0,-1.27962,0,0,True,55.0|103,291
8|291|sample|5|103,0,0,-1.14818,0,0,0,0,-1.11317,0,0,True,55.0|103,291
8|291|sample|6|103,0,0,-1.15668,0,0,0,0,-1.09388,0,0,True,55.0|103,291
8|291|sample|7|103,0,0,1.75461,0,0,0,0,1.82182,0,0,True,32.0|103,291
8|291|sample|8|103,0,0,1.60273,0,0,0,0,1.66203,0,0,True,32.0|103,291
8|291|sample|9|103,0,0,1.68282,0,0,0,0,1.76501,0,0,True,32.0|103,291
8|291|vc|1|2|103,0,0,-0.200022,0,0,0,0,-1.71023e-07,0,0,False,69.0|103,291
8|291|vc|2|2|103,0,0,-0.0115408,0,0,0,0,6.09079e-08,0,0,False,69.0|103,291
8|291|vc|3|2|103,0,0,0.0928149,0,0,0,0,-3.43111e-07,0,0,False,69.0|103,291
8|291|vc|4|2|103,0,0,-0.29109,0,0,0,0,2.35067e-07,0,0,False,69.0|103,291
8|291|vc|5|2|103,0,0,0.056327,0,0,0,0,-2.14776e-07,0,0,False,69.0|103,291
8|291|vc|6|2|103,0,0,-0.0850996,0,0,0,0,2.1609e-08,0,0,False,69.0|103,291
8|291|vc|7|2|103,0,0,-0.0274411,0,0,0,0,2.20884e-07,0,0,False,69.0|103,291
8|291|vc|8|2|103,0,0,-0.106637,0,0,0,0,-3.84992e-07,0,0,False,69.0|103,291
