id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|462|vc|3|2|292,-0.518004,0.0231082,-0.0613731,0,0,0,-2.7906e-07,1.82754e-09,-1.80485e-07,0,0,0,False,69.0|292,462
8|462|vc|4|2|292,-0.821468,-0.0123107,-0.0451863,0,0,0,-1.19543e-07,-4.91245e-09,1.11533e-07,0,0,0,False,69.0|292,462
8|462|vc|5|2|292,-0.0153045,-0.00118235,-0.145916,0,0,0,-5.34291e-07,-3.79555e-09,1.89089e-08,0,0,0,False,69.0|292,462
8|462|vc|6|2|292,0.342119,-0.00282276,-0.0138638,0,0,0,5.13571e-08,-2.08511e-08,-1.1376e-07,0,0,0,False,69.0|292,462
8|462|vc|7|2|292,1.1157,0.00789406,-0.140885,0,0,0,2.25312e-07,-9.94628e-09,-1.66931e-07,0,0,0,False,69.0|292,462
8|462|vc|8|2|292,-0.986937,-0.0104426,-0.476222,0,0,0,4.8777e-08,-1.93953e-08,1.30698e-07,0,0,0,False,69.0|292,462
8|75|cc|1|1|65,0.587176,0.0323442,0.156106,0,0,0,5.77196e-07,-9.63673e-09,1.92556e-08,0,0,0,False,69.0|65,75
8|75|cc|2|1|65,0.0380714,0.0334844,0.560646,0,0,0,2.84252e-07,1.96493e-09,2.34191e-08,0,0,0,False,69.0|65,75
8|75|cc|3|1|65,-0.271456,-0.0108936,-0.100036,0,0,0,-2.71781e-07,-7.66683e-09,1.91689e-07,0,0,0,False,69.0|65,75
8|75|cc|4|1|65,1.07523,-0.0144533,-0.149948,0,0,0,6.77419e-07,9.16418e-09,2.5948e-07,0,0,0,False,69.0|65,75
8|75|cc|5|1|65,-0.168316,0.029157,-0.277402,0,0,0,2.9941e-07,-1.62574e-09,-1.00878e-07,0,0,0,False,69.0|65,75
8|75|cc|6|1|65,0.0045748,0.0187551,-0.0796438,0,0,0,5.00548e-07,1.14154e-08,3.56066e-11,0,0,0,False,69.0|65,75
8|75|cc|7|1|65,1.03986,-0.00164044,0.029661,0,0,0,1.3521e-07,1.97835e-08,-6.25983e-08,0,0,0,False,69.0|65,75
8|75|cc|8|1|65,-0.00192467,0.0131644,0.2015,0,0,0,2.12361e-07,-8.1785e-09,1.06583e-07,0,0,0,False,69.0|65,75
