rep,id,f,h,L_gap,mab_virus,run_id
6,9|411|9|411|cc|8|1|274|1|274|69.0,0.0867582,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|8|1|274|1|274|69.0,0.124872,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|8|1|274|1|274|69.0,1.0882,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|8|1|274|1|274|69.0,1.38346,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.0662822,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|1|2|274|2|274|69.0,0.16224,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|1|2|274|2|274|69.0,0.131177,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|1|2|274|2|274|69.0,11.826,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|1|2|274|2|274|69.0,8.45159,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|1|2|274|2|274|69.0,0.00171074,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|1|2|274|2|274|69.0,10.4271,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|1|2|274|2|274|69.0,3.19189,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|1|2|274|2|274|69.0,0.443569,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,24.3186,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|2|2|274|2|274|69.0,0.596727,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|2|2|274|2|274|69.0,15.0675,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|2|2|274|2|274|69.0,0.155805,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|2|2|274|2|274|69.0,1.12751,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|2|2|274|2|274|69.0,13.2484,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|2|2|274|2|274|69.0,0.0168326,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|2|2|274|2|274|69.0,4.04044,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|2|2|274|2|274|69.0,2.50188,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.0867014,0.78112,10.0375,69.0|274,411
