rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|847|cc|8|1|69,-12.0906,0,2.58043e-06,0.163566,0,0,False,69.0|69,847
1,8|847|sample|10|69,4.09335,0,-6.21271e-06,0.0846117,0,0,True,32.0|69,847
1,8|847|sample|11|69,5.73184,0,6.62075e-06,0.160589,0,0,True,22.0|69,847
1,8|847|sample|12|69,-6.10246,0,1.31972e-06,0.185449,0,0,True,22.0|69,847
1,8|847|sample|3|69,-4.49388,0,1.42154e-05,0.0867593,0,0,True,55.0|69,847
1,8|847|sample|4|69,-11.5531,0,-9.90818e-06,0.146656,0,0,True,55.0|69,847
1,8|847|sample|5|69,-1.01823,0,-1.11268e-05,-0.155593,0,0,True,55.0|69,847
1,8|847|sample|6|69,-10.9159,0,2.94993e-06,-0.113474,0,0,True,55.0|69,847
1,8|847|sample|7|69,2.4005,0,9.83133e-07,-0.0988262,0,0,True,32.0|69,847
1,8|847|sample|8|69,11.6936,0,5.70383e-07,-0.0333356,0,0,True,32.0|69,847
1,8|847|sample|9|69,8.30425,0,-2.96602e-06,-0.0107884,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,10.9011,0,4.64356e-06,0.0375226,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,-0.300491,0,-1.51488e-07,0.0642553,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,2.75821,0,2.7156e-05,0.0305849,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,-1.73248,0,-5.97197e-06,0.0231762,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,-5.30039,0,2.89964e-05,-0.0864893,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,-0.734121,0,1.18599e-05,0.0942086,0,0,False,69.0|69,847
1,8|847|vc|7|2|69,18.8578,0,1.24472e-05,-0.0381266,0,0,False,69.0|69,847
1,8|847|vc|8|2|69,11.5658,0,-1.44971e-05,0.0207025,0,0,False,69.0|69,847
1,8|474|cc|1|1|276,0.518722,0,1.15879e-05,-0.0246255,0,0,False,69.0|276,474
1,8|474|cc|2|1|276,4.56581,0,-7.39647e-06,0.010249,0,0,False,69.0|276,474
1,8|474|cc|3|1|276,-2.71365,0,1.46751e-07,-0.00612429,0,0,False,69.0|276,474
1,8|474|cc|4|1|276,13.2921,0,1.23791e-05,0.0611203,0,0,False,69.0|276,474
1,8|474|cc|5|1|276,10.1615,0,-6.57043e-06,-0.00934884,0,0,False,69.0|276,474
1,8|474|cc|6|1|276,-4.25993,0,9.07511e-06,0.01532,0,0,False,69.0|276,474
1,8|474|cc|7|1|276,-17.7465,0,-2.76791e-06,-0.0387625,0,0,False,69.0|276,474
1,8|474|cc|8|1|276,-22.8426,0,-1.38915e-05,-0.131959,0,0,False,69.0|276,474
1,8|474|sample|10|276,-7.22823,0,-4.77785e-07,0.0833495,0,0,True,32.0|276,474
1,8|474|sample|11|276,-0.73869,0,-1.6088e-06,0.0157231,0,0,True,22.0|276,474
1,8|474|sample|12|276,0.692778,0,9.95619e-06,-0.0582036,0,0,True,22.0|276,474
1,8|474|sample|3|276,4.28091,0,-1.3164e-05,0.0661534,0,0,True,55.0|276,474
1,8|474|sample|4|276,0.311912,0,2.594e-06,0.0463688,0,0,True,55.0|276,474
1,8|474|sample|5|276,2.41549,0,1.38665e-05,0.0122946,0,0,True,55.0|276,474
1,8|474|sample|6|276,3.37622,0,-8.71111e-06,-0.103717,0,0,True,55.0|276,474
1,8|474|sample|7|276,-8.85163,0,-5.01415e-06,-0.0808679,0,0,True,32.0|276,474
1,8|474|sample|8|276,-3.58808,0,-6.68985e-06,-0.0375202,0,0,True,32.0|276,474
1,8|474|sample|9|276,-11.0966,0,-2.13908e-05,0.114632,0,0,True,32.0|276,474
1,8|474|vc|1|2|276,17.9935,0,1.66824e-05,-0.0453663,0,0,False,69.0|276,474
1,8|474|vc|2|2|276,-9.57892,0,1.68572e-06,-0.0923743,0,0,False,69.0|276,474
1,8|474|vc|3|2|276,0.854154,0,-3.48108e-07,0.102848,0,0,False,69.0|276,474
1,8|474|vc|4|2|276,9.72913,0,1.39705e-05,0.0845978,0,0,False,69.0|276,474
1,8|474|vc|5|2|276,-7.56555,0,2.00998e-06,-0.032034,0,0,False,69.0|276,474
1,8|474|vc|6|2|276,-9.94111,0,5.16378e-06,0.0245607,0,0,False,69.0|276,474
1,8|474|vc|7|2|276,4.10797,0,4.02328e-06,-0.0282734,0,0,False,69.0|276,474
1,8|474|vc|8|2|276,5.0161,0,1.12268e-05,0.0390701,0,0,False,69.0|276,474
1,8|462|cc|1|1|292,-1.68451,0,-2.08301e-05,-0.0333061,0,0,False,69.0|292,462
1,8|462|cc|2|1|292,-10.7197,0,-9.96803e-06,0.0226367,0,0,False,69.0|292,462
1,8|462|cc|3|1|292,2.82386,0,4.84955e-06,-0.0128221,0,0,False,69.0|292,462
1,8|462|cc|4|1|292,-0.131863,0,-1.99654e-06,0.0620477,0,0,False,69.0|292,462
1,8|462|cc|5|1|292,-4.45512,0,-7.46751e-06,0.00650649,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,-8.2239,0,5.67602e-06,-0.0516537,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,-2.4765,0,-1.19837e-05,-0.0775177,0,0,False,69.0|292,462
1,8|462|cc|8|1|292,-5.29765,0,2.74228e-06,0.0724368,0,0,False,69.0|292,462
1,8|462|sample|10|292,1.25385,0,1.4332e-05,0.0605348,0,0,True,32.0|292,462
1,8|462|sample|11|292,9.25674,0,9.64803e-06,0.118693,0,0,True,22.0|292,462
1,8|462|sample|12|292,-15.293,0,1.0112e-05,0.0802811,0,0,True,22.0|292,462
1,8|462|sample|3|292,-3.23097,0,-1.13694e-05,0.0840499,0,0,True,55.0|292,462
1,8|462|sample|4|292,-3.84719,0,-6.84986e-07,-0.0525567,0,0,True,55.0|292,462
1,8|462|sample|5|292,2.48816,0,1.63674e-05,-0.0356786,0,0,True,55.0|292,462
1,8|462|sample|6|292,5.81988,0,-3.0925e-06,0.0536715,0,0,True,55.0|292,462
1,8|462|sample|7|292,13.7505,0,-8.34604e-06,0.000409834,0,0,True,32.0|292,462
1,8|462|sample|8|292,-5.99902,0,5.27798e-06,-0.143659,0,0,True,32.0|292,462
1,8|462|sample|9|292,6.29413,0,-9.68879e-06,0.0623791,0,0,True,32.0|292,462
1,8|462|vc|1|2|292,-6.67764,0,2.42653e-06,-0.0176633,0,0,False,69.0|292,462
1,8|462|vc|2|2|292,-2.69288,0,-4.9808e-06,0.0935662,0,0,False,69.0|292,462
1,8|462|vc|3|2|292,-0.733727,0,-1.02755e-05,-0.0353854,0,0,False,69.0|292,462
1,8|462|vc|4|2|292,-2.34032,0,-3.44097e-05,0.129047,0,0,False,69.0|292,462
1,8|462|vc|5|2|292,-1.24273,0,-1.46438e-06,0.0492668,0,0,False,69.0|292,462
1,8|462|vc|6|2|292,1.0598,0,-1.52893e-05,-0.0540069,0,0,False,69.0|292,462
1,8|462|vc|7|2|292,5.91055,0,-1.75991e-05,0.184403,0,0,False,69.0|292,462
1,8|462|vc|8|2|292,10.8065,0,-4.83248e-06,0.141363,0,0,False,69.0|292,462
1,8|75|cc|1|1|65,-0.731215,0,2.27306e-05,-0.039907,0,0,False,69.0|65,75
1,8|75|cc|2|1|65,-10.026,0,-5.80051e-06,0.0691604,0,0,False,69.0|65,75
1,8|75|cc|3|1|65,-1.01903,0,-2.57245e-07,-0.0687488,0,0,False,69.0|65,75
1,8|75|cc|4|1|65,2.37425,0,-2.08567e-05,-0.0931899,0,0,False,69.0|65,75
1,8|75|cc|5|1|65,2.62829,0,2.088e-06,0.0439366,0,0,False,69.0|65,75
1,8|75|cc|6|1|65,3.67408,0,8.49305e-06,-0.0271205,0,0,False,69.0|65,75
1,8|75|cc|7|1|65,5.72691,0,9.9847e-06,0.00162155,0,0,False,69.0|65,75
