rep,id,f,h,s,L_gap,mab_virus,run_id
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.52197,0.889578,3.51726,-7.80594,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0.442293,0.889578,3.51726,-6.34905,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,0.596506,0.889578,3.51726,-6.74931,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0.810063,0.889578,3.51726,-3.68746,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,0.649002,0.889578,3.51726,-7.13645,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0.56098,0.889578,3.51726,-6.72635,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0.557739,0.889578,3.51726,-7.1926,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0.559637,0.889578,3.51726,-3.87793,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,0.596695,0.889578,3.51726,-5.40487,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0.572446,0.889578,3.51726,-5.39195,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,0.723084,0.889578,3.51726,-6.5444,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,0.63635,0.889578,3.51726,-5.38153,69.0|103,1197
