id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|488|cc|6|1|322,746.093,2.22246,0.00708662,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|7|1|322,746.093,2.22246,0.00708664,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|8|1|322,746.093,2.22246,0.00708665,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|sample|10|322,746.093,0.369236,0.738462,2.37745,0.00506396,-3.1101e-05,746.093,0.369238,0.738462,2.37745,0.00506398,-3.11019e-05,True,32.0|322,488
8|488|sample|11|322,746.093,0.804288,4.03505,1.5987,0.00506396,-3.1101e-05,746.093,0.804287,4.03503,1.5987,0.00506398,-3.11019e-05,True,22.0|322,488
8|488|sample|12|322,746.093,0.804288,4.03505,1.5987,0.00506396,-3.1101e-05,746.093,0.804287,4.03503,1.5987,0.00506398,-3.11019e-05,True,22.0|322,488
8|488|sample|3|322,746.093,2.47909,0.897898,0.286688,0.00506396,-3.1101e-05,746.093,2.47909,0.897894,0.286688,0.00506398,-3.11019e-05,True,55.0|322,488
8|488|sample|4|322,746.093,2.47909,0.897894,0.286688,0.00506396,-3.1101e-05,746.093,2.47909,0.897894,0.286688,0.00506398,-3.11019e-05,True,55.0|322,488
8|488|sample|5|322,746.093,2.47909,0.897897,0.286688,0.00506396,-3.1101e-05,746.093,2.47909,0.897894,0.286688,0.00506398,-3.11019e-05,True,55.0|322,488
8|488|sample|6|322,746.093,2.47909,0.897896,0.286688,0.00506396,-3.1101e-05,746.093,2.47909,0.897894,0.286688,0.00506398,-3.11019e-05,True,55.0|322,488
8|488|sample|7|322,746.093,0.369238,0.738464,2.37745,0.00506396,-3.1101e-05,746.093,0.369238,0.738462,2.37745,0.00506398,-3.11019e-05,True,32.0|322,488
8|488|sample|8|322,746.093,0.369236,0.738462,2.37745,0.00506396,-3.1101e-05,746.093,0.369238,0.738462,2.37745,0.00506398,-3.11019e-05,True,32.0|322,488
8|488|sample|9|322,746.093,0.369233,0.738463,2.37745,0.00506396,-3.1101e-05,746.093,0.369238,0.738462,2.37745,0.00506398,-3.11019e-05,True,32.0|322,488
8|488|vc|1|2|322,746.093,2.22246,0.0070866,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|2|2|322,746.093,2.22247,0.00708664,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|3|2|322,746.093,2.22246,0.00708665,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|4|2|322,746.093,2.22246,0.00708661,7.4456,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|5|2|322,746.093,2.22246,0.00708664,7.4456,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|6|2|322,746.093,2.22246,0.00708664,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|7|2|322,746.093,2.22246,0.00708661,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|vc|8|2|322,746.093,2.22246,0.00708662,7.4456,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|847|cc|1|1|69,746.093,1.54988,0.0634384,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|cc|2|1|69,746.093,1.54989,0.0634386,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|cc|3|1|69,746.093,1.54988,0.0634385,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|cc|4|1|69,746.093,1.54988,0.0634384,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|cc|5|1|69,746.093,1.54989,0.0634384,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
