id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|14|433|vc|4|2|99|2|99|69.0,3.24442,1.65471,71.3901,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,2.90172,1.65471,75.9059,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,3.40887,1.65471,65.3477,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,3.80263,1.65471,73.6249,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,3.61654,1.65471,70.0934,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,6.57263,1.65471,0.790729,0.125278,0.273693,6.45005,1.65435,0.820111,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|4|71|4|71|6.0,6.69085,1.65471,0.881641,0.125278,0.273693,6.28848,1.65435,0.966344,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|5|71|5|71|6.0,4.21581,1.65471,0.0294177,0.125278,0.273693,4.7717,1.65435,0.0261722,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|6|71|6|71|6.0,0.396334,1.65471,0.0300549,0.125278,0.273693,3.68551,1.65435,0.028277,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|8|71|8|71|6.0,2.05635,1.65471,0.0777521,0.125278,0.273693,3.83956,1.65435,0.0751272,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|7|71|7|71|6.0,3.94346,1.65471,0.0677797,0.125278,0.273693,4.74971,1.65435,0.065315,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|9|71|9|71|6.0,0.188851,1.65471,0.0359877,0.125278,0.273693,1.11776,1.65435,0.0342521,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|10|71|10|71|6.0,0.844531,1.65471,0.0331271,0.125278,0.273693,2.80053,1.65435,0.0325406,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|12|71|12|71|6.0,7.50018,1.65471,2.04925,0.125278,0.273693,7.51044,1.65435,2.03316,0.126271,0.276152,True,6.0|71,297
14|297|14|297|sample|11|71|11|71|6.0,5.61099,1.65471,2.90511,0.125278,0.273693,7.05676,1.65435,2.56071,0.126271,0.276152,True,6.0|71,297
14|297|14|297|cc|1|1|71|1|71|69.0,3.46857,1.65471,9.78658,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|2|1|71|1|71|69.0,3.35226,1.65471,10.4328,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|3|1|71|1|71|69.0,3.39829,1.65471,9.51163,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|4|1|71|1|71|69.0,3.4912,1.65471,10.6123,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|5|1|71|1|71|69.0,3.57405,1.65471,10.6819,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|6|1|71|1|71|69.0,3.34675,1.65471,10.2672,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|7|1|71|1|71|69.0,3.65049,1.65471,11.1651,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|cc|8|1|71|1|71|69.0,3.4135,1.65471,9.98465,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|1|2|71|2|71|69.0,2.98123,1.65471,11.0834,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|2|2|71|2|71|69.0,3.44241,1.65471,10.8315,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|3|2|71|2|71|69.0,3.10601,1.65471,10.3455,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|4|2|71|2|71|69.0,3.43908,1.65471,11.4935,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|5|2|71|2|71|69.0,3.5784,1.65471,11.1968,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|6|2|71|2|71|69.0,3.29997,1.65471,9.49122,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|7|2|71|2|71|69.0,3.51396,1.65471,10.3048,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|297|14|297|vc|8|2|71|2|71|69.0,3.68211,1.65471,12.1149,0.125278,0.273693,3.43163,1.65435,7.77489,0.126271,0.276152,False,69.0|71,297
14|183|14|183|sample|4|233|4|233|6.0,5.05809,1.65471,0.314332,-0.00856746,0.273699,5.15899,1.65435,0.28715,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|3|233|3|233|6.0,5.72392,1.65471,0.273573,-0.00856746,0.273699,5.72498,1.65435,0.271109,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|6|233|6|233|6.0,3.35466,1.65471,0.160377,-0.00856746,0.273699,4.49369,1.65435,0.149057,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|5|233|5|233|6.0,3.52034,1.65471,0.16308,-0.00856746,0.273699,4.48977,1.65435,0.149322,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|7|233|7|233|6.0,3.23121,1.65471,0.377737,-0.00856746,0.273699,4.48182,1.65435,0.371994,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|8|233|8|233|6.0,5.01299,1.65471,0.381044,-0.00856746,0.273699,5.0984,1.65435,0.384493,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|10|233|10|233|6.0,2.315,1.65471,0.116381,-0.00856746,0.273699,4.3187,1.65435,0.112241,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|9|233|9|233|6.0,3.1556,1.65471,0.148097,-0.00856746,0.273699,4.43721,1.65435,0.137119,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|12|233|12|233|6.0,3.30165,1.65471,0.765577,-0.00856746,0.273699,4.84155,1.65435,0.671829,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|sample|11|233|11|233|6.0,2.05492,1.65471,1.21894,-0.00856746,0.273699,4.25805,1.65435,1.1566,-0.00833068,0.276156,True,6.0|233,183
14|183|14|183|cc|1|1|233|1|233|69.0,2.98919,1.65471,13.3823,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|2|1|233|1|233|69.0,3.46124,1.65471,13.8251,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|3|1|233|1|233|69.0,2.71326,1.65471,13.6786,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|4|1|233|1|233|69.0,3.87183,1.65471,12.9905,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|5|1|233|1|233|69.0,3.89714,1.65471,14.5819,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|6|1|233|1|233|69.0,3.55627,1.65471,11.3931,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|7|1|233|1|233|69.0,3.53748,1.65471,14.3331,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|cc|8|1|233|1|233|69.0,3.24855,1.65471,13.2939,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|1|2|233|2|233|69.0,3.57532,1.65471,15.5909,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
