rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|322|cc|2|1|174,0,-9.50021e-06,0,-0.367071,0,0,False,69.0|174,322
1,8|322|cc|3|1|174,0,7.64219e-07,0,-0.103069,0,0,False,69.0|174,322
1,8|322|cc|4|1|174,0,-6.15389e-06,0,0.0282853,0,0,False,69.0|174,322
1,8|322|cc|5|1|174,0,7.04455e-06,0,-0.138178,0,0,False,69.0|174,322
1,8|322|cc|6|1|174,0,1.75732e-06,0,-0.140104,0,0,False,69.0|174,322
1,8|322|cc|7|1|174,0,-4.67457e-06,0,-0.238353,0,0,False,69.0|174,322
1,8|322|cc|8|1|174,0,8.50727e-06,0,-0.105631,0,0,False,69.0|174,322
1,8|322|sample|10|174,0,-4.52115e-06,0,-0.0449439,0,0,True,32.0|174,322
1,8|322|sample|11|174,0,7.53306e-06,0,0.175332,0,0,True,22.0|174,322
1,8|322|sample|12|174,0,2.63668e-06,0,0.247543,0,0,True,22.0|174,322
1,8|322|sample|3|174,0,4.03293e-06,0,-0.0722646,0,0,True,55.0|174,322
1,8|322|sample|4|174,0,-1.2245e-05,0,-0.188498,0,0,True,55.0|174,322
1,8|322|sample|5|174,0,-1.24009e-05,0,-0.0860339,0,0,True,55.0|174,322
1,8|322|sample|6|174,0,8.32853e-06,0,-0.156,0,0,True,55.0|174,322
1,8|322|sample|7|174,0,2.01044e-06,0,0.0879991,0,0,True,32.0|174,322
1,8|322|sample|8|174,0,-1.20746e-05,0,0.0821303,0,0,True,32.0|174,322
1,8|322|sample|9|174,0,1.8325e-06,0,-0.0575491,0,0,True,32.0|174,322
1,8|322|vc|1|2|174,0,4.03125e-06,0,0.128749,0,0,False,69.0|174,322
1,8|322|vc|2|2|174,0,2.4726e-06,0,0.0437366,0,0,False,69.0|174,322
1,8|322|vc|3|2|174,0,-5.85352e-07,0,-0.210929,0,0,False,69.0|174,322
1,8|322|vc|4|2|174,0,1.11745e-05,0,-0.196436,0,0,False,69.0|174,322
1,8|322|vc|5|2|174,0,5.10565e-06,0,0.271227,0,0,False,69.0|174,322
1,8|322|vc|6|2|174,0,-1.09593e-05,0,0.00602569,0,0,False,69.0|174,322
1,8|322|vc|7|2|174,0,-8.90585e-06,0,0.18388,0,0,False,69.0|174,322
1,8|322|vc|8|2|174,0,-5.21582e-06,0,0.0605649,0,0,False,69.0|174,322
1,8|963|cc|1|1|319,0,-4.41328e-06,0,-0.0264487,0,0,False,69.0|319,963
1,8|963|cc|2|1|319,0,1.32776e-05,0,-0.0679365,0,0,False,69.0|319,963
1,8|963|cc|3|1|319,0,1.09973e-05,0,0.151641,0,0,False,69.0|319,963
1,8|963|cc|4|1|319,0,1.16688e-05,0,0.157801,0,0,False,69.0|319,963
1,8|963|cc|5|1|319,0,-2.62816e-06,0,-0.00422877,0,0,False,69.0|319,963
1,8|963|cc|6|1|319,0,1.37254e-05,0,0.363686,0,0,False,69.0|319,963
1,8|963|cc|7|1|319,0,5.75962e-06,0,-0.0727622,0,0,False,69.0|319,963
1,8|963|cc|8|1|319,0,9.62322e-06,0,-0.0533805,0,0,False,69.0|319,963
1,8|963|sample|10|319,0,4.95241e-06,0,0.0569173,0,0,True,32.0|319,963
