id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|297|cc|1|1|71,3.34783e-07,0.0747092,-0.161952,0,0,-2.27374e-13,-1.71787e-07,-8.33698e-07,0,0,False,69.0|71,297
14|297|cc|2|1|71,1.01495e-07,0.00224455,0.269841,0,0,-2.27374e-13,-6.15958e-08,-1.10014e-07,0,0,False,69.0|71,297
14|297|cc|3|1|71,-9.55747e-08,0.0218862,0.114119,0,0,9.09495e-13,-2.11028e-08,-1.22094e-07,0,0,False,69.0|71,297
14|297|cc|4|1|71,-8.00631e-08,-0.00674296,-0.0855331,0,0,-7.95808e-13,5.09994e-08,-5.46885e-09,0,0,False,69.0|71,297
14|297|cc|5|1|71,-1.37486e-07,0.000751937,0.0274687,0,0,-7.95808e-13,3.27311e-08,-4.44231e-07,0,0,False,69.0|71,297
14|297|cc|6|1|71,-3.05217e-07,-0.0101312,-0.142098,0,0,4.54747e-13,-3.34308e-08,-5.07744e-08,0,0,False,69.0|71,297
14|297|cc|7|1|71,2.70077e-08,0.0171291,-0.0902484,0,0,6.82121e-13,5.78065e-08,-3.64755e-08,0,0,False,69.0|71,297
14|297|cc|8|1|71,3.53786e-07,0.0417824,0.184762,0,0,-2.27374e-13,-5.1622e-08,1.01958e-07,0,0,False,69.0|71,297
14|297|vc|1|2|71,6.10581e-08,-0.039114,-0.134334,0,0,2.27374e-13,3.31022e-08,1.55594e-07,0,0,False,69.0|71,297
14|297|vc|2|2|71,2.86239e-08,0.0333393,-0.0422817,0,0,-1.36424e-12,-7.77017e-08,-2.05031e-07,0,0,False,69.0|71,297
14|297|vc|3|2|71,-5.55026e-08,0.0588581,0.113338,0,0,-9.09495e-13,7.68617e-08,8.42509e-08,0,0,False,69.0|71,297
14|297|vc|4|2|71,-7.93512e-09,0.0320455,0.00755528,0,0,1.13687e-12,-1.50336e-07,-7.60453e-07,0,0,False,69.0|71,297
14|297|vc|5|2|71,3.61771e-08,-0.00757476,-0.0824658,0,0,2.27374e-13,-2.32577e-08,-3.33e-07,0,0,False,69.0|71,297
