id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|847|vc|6|2|69,1,2.48118e-06,0.458212,817.418,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|7|2|69,1,1.3601e-06,0.467337,865.285,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|8|2|69,1,6.11107e-07,0.455677,569.536,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|474|cc|1|1|276,1,2.05505e-06,0.464774,583.428,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|2|1|276,1,3.67755e-06,0.47927,777.84,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|3|1|276,1,1.22093e-06,0.495458,591.819,0.133481,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|4|1|276,1,4.64643e-06,0.473739,584.859,0.133481,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|5|1|276,1,1.10271e-06,0.496194,782.198,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|6|1|276,1,2.86529e-07,0.473295,698.717,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|7|1|276,1,1.13544e-06,0.495529,703.311,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|cc|8|1|276,1,5.15384e-07,0.479988,310.471,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|sample|10|276,1,1.25296e-05,1.69503,53.8664,0.133481,4.59531e-16,1,1.59793e-06,1.80645,48.3525,0.134429,4.62203e-16,True,32.0|276,474
8|474|sample|11|276,1,2.92251e-05,1.87356,8.45148,0.133481,4.59531e-16,1,1.59246e-06,2.02802,7.76692,0.134429,4.62203e-16,True,22.0|276,474
8|474|sample|12|276,1,2.05794e-05,1.94371,8.70051,0.133481,4.59531e-16,1,1.58985e-06,1.84566,9.17136,0.134429,4.62203e-16,True,22.0|276,474
8|474|sample|3|276,1,1.90869e-05,1.43729,1.60112,0.133481,4.59531e-16,1,1.60104e-06,1.47174,1.54988,0.134429,4.62203e-16,True,55.0|276,474
8|474|sample|4|276,1,0.000108244,1.33439,1.8001,0.133481,4.59531e-16,1,1.60153e-06,1.33083,1.8269,0.134429,4.62203e-16,True,55.0|276,474
8|474|sample|5|276,1,0.00027618,1.23744,1.86693,0.133481,4.59531e-16,1,1.6181e-06,1.19841,2.05377,0.134429,4.62203e-16,True,55.0|276,474
8|474|sample|6|276,1,7.60957e-05,1.20391,1.96079,0.133481,4.59531e-16,1,1.61989e-06,1.19213,2.03572,0.134429,4.62203e-16,True,55.0|276,474
8|474|sample|7|276,1,2.17025e-05,2.00106,37.6814,0.133481,4.59531e-16,1,1.59704e-06,1.87446,40.7152,0.134429,4.62203e-16,True,32.0|276,474
8|474|sample|8|276,1,2.01147e-05,1.8892,37.642,0.133481,4.59531e-16,1,1.59707e-06,1.79943,40.9005,0.134429,4.62203e-16,True,32.0|276,474
8|474|sample|9|276,1,2.25091e-05,1.71606,54.9516,0.133481,4.59531e-16,1,1.60049e-06,1.81922,49.3118,0.134429,4.62203e-16,True,32.0|276,474
8|474|vc|1|2|276,1,6.84966e-07,0.464548,913.17,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|2|2|276,1,7.45546e-07,0.469073,872.14,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|3|2|276,1,2.83265e-06,0.490698,1024.31,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|4|2|276,1,4.6004e-07,0.487782,389.197,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|5|2|276,1,2.22152e-06,0.466787,437.203,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|6|2|276,1,2.40422e-06,0.489752,1208.02,0.133481,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|474|vc|7|2|276,1,4.64664e-06,0.471779,1171.58,0.133481,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
