id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|719|vc|8|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|488|cc|1|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|2|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|3|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|4|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|5|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|6|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|7|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|cc|8|1|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|sample|10|322,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,True,32.0|322,488
8|488|sample|11|322,1,0.00396039,0.648988,0.011118,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.011118,36.1425,0.283341,0.419458,True,22.0|322,488
8|488|sample|12|322,1,0.00396039,0.648988,0.011118,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.011118,36.1425,0.283341,0.419458,True,22.0|322,488
8|488|sample|3|322,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,True,55.0|322,488
