id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|75|cc|6|1|65,-1.25788e-06,0,0,0,0,-1.67946e-08,0,0,0,0,False,69.0|65,75
8|75|cc|7|1|65,-1.26696e-06,0,0,0,0,2.46446e-08,0,0,0,0,False,69.0|65,75
8|75|cc|8|1|65,2.93952e-06,0,0,0,0,-1.24618e-08,0,0,0,0,False,69.0|65,75
8|75|sample|10|65,-1.02534e-06,0,0,0,0,1.87885e-08,0,0,0,0,True,32.0|65,75
8|75|sample|11|65,-1.99332e-08,0,0,0,0,1.16736e-08,0,0,0,0,True,22.0|65,75
8|75|sample|12|65,2.19426e-06,0,0,0,0,6.13414e-09,0,0,0,0,True,22.0|65,75
8|75|sample|3|65,-2.25045e-07,0,0,0,0,-1.59662e-08,0,0,0,0,True,55.0|65,75
8|75|sample|4|65,-5.60997e-07,0,0,0,0,2.00669e-07,0,0,0,0,True,55.0|65,75
8|75|sample|5|65,-6.78917e-07,0,0,0,0,-1.77217e-08,0,0,0,0,True,55.0|65,75
8|75|sample|6|65,3.99206e-07,0,0,0,0,-4.47726e-08,0,0,0,0,True,55.0|65,75
8|75|sample|7|65,2.18296e-06,0,0,0,0,1.77145e-08,0,0,0,0,True,32.0|65,75
8|75|sample|8|65,1.07282e-07,0,0,0,0,4.81863e-08,0,0,0,0,True,32.0|65,75
8|75|sample|9|65,-6.91801e-07,0,0,0,0,-4.88466e-08,0,0,0,0,True,32.0|65,75
8|75|vc|1|2|65,-1.70407e-06,0,0,0,0,-8.31437e-09,0,0,0,0,False,69.0|65,75
8|75|vc|2|2|65,2.65421e-06,0,0,0,0,5.33987e-09,0,0,0,0,False,69.0|65,75
8|75|vc|3|2|65,-1.93688e-06,0,0,0,0,1.14751e-08,0,0,0,0,False,69.0|65,75
8|75|vc|4|2|65,6.3135e-07,0,0,0,0,3.23928e-09,0,0,0,0,False,69.0|65,75
8|75|vc|5|2|65,2.23459e-06,0,0,0,0,-1.01292e-08,0,0,0,0,False,69.0|65,75
8|75|vc|6|2|65,-1.37962e-06,0,0,0,0,-1.22402e-08,0,0,0,0,False,69.0|65,75
8|75|vc|7|2|65,4.86078e-07,0,0,0,0,9.52292e-09,0,0,0,0,False,69.0|65,75
