id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|491|14|491|sample|3|99|3|99|44.0,0,1.52221e-09,-8.33506,-1.8491e-09,0,0,0,1.13687e-13,-1.86875,-1.77636e-15,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,-3.44367e-09,-8.57901,1.53755e-09,0,0,0,0,-2.09288,0,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,-5.28842e-09,-8.08077,-1.04048e-09,0,0,0,0,-2.15416,2.9754e-14,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,-9.22253e-09,9.22193,-4.531e-10,0,0,0,0,1.64788,1.24345e-14,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,-8.45767e-10,5.99685,3.58756e-09,0,0,0,0,1.64787,4.44089e-15,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,8.24015e-09,-0.113872,-1.45924e-10,0,0,0,0,-4.25828e-07,-6.66134e-16,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,-3.9669e-09,1.23478,2.04115e-09,0,0,0,0,-1.04968e-06,8.88178e-16,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,-3.53837e-09,-1.36261,-1.54556e-09,0,0,0,0,4.60358e-07,8.88178e-16,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,-1.92035e-09,0.819229,1.83681e-10,0,0,0,0,4.3393e-07,4.44089e-16,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,-1.5384e-09,0.151375,-1.76095e-09,0,0,0,0,-5.94223e-07,6.66134e-16,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,-8.97955e-09,-0.211906,-3.78829e-09,0,0,0,0,-8.73839e-07,4.44089e-16,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,7.38517e-10,-1.14704,-2.77038e-09,0,0,0,0,2.01989e-07,1.33227e-15,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,-4.13925e-10,1.02811,9.95361e-10,0,0,0,0,4.12923e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,0,-5.34702e-09,1.17208,7.40098e-10,0,0,0,0,4.59033e-07,-8.88178e-16,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,-1.92322e-09,-0.410305,-6.41533e-10,0,0,0,0,1.02436e-07,1.77636e-15,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,2.22169e-09,-0.0409965,-2.70521e-09,0,0,0,-2.04636e-12,-0.0417018,-1.80145e-12,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,-2.95829e-09,-0.212148,1.46698e-09,0,0,0,0,1.791e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,-2.19536e-09,0.503777,6.86263e-10,0,0,0,0,3.81752e-07,8.88178e-16,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,5.52478e-10,-0.54447,2.42968e-10,0,0,0,0,-4.37519e-07,-8.88178e-16,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,-1.06886e-08,-0.139319,1.96151e-09,0,0,0,0,9.90087e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,5.16162e-09,-1.3165,1.02422e-09,0,0,0,0,-6.65948e-07,0,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,-1.87187e-09,-7.18656,1.38633e-09,0,0,0,0,-2.11081,7.10543e-15,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,2.36809e-09,-9.73644,-1.01682e-09,0,0,0,0,-2.42895,-2.30926e-14,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,-2.66331e-09,-8.60063,2.77607e-09,0,0,0,-1.13687e-13,-0.739498,3.55271e-15,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,2.41366e-09,-9.08397,-1.37347e-09,0,0,0,0,-0.612356,-3.90799e-14,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,9.67192e-10,-11.0067,1.13415e-09,0,0,0,1.13687e-13,-2.65475,-8.88178e-16,0,0,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,0,-3.98761e-10,-9.87243,6.89012e-10,0,0,0,0,-2.73805,-1.77636e-14,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,-5.84221e-09,-9.08625,-2.89562e-09,0,0,0,0,-1.66519,-1.42109e-14,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,6.85401e-10,-9.78086,8.22416e-10,0,0,0,0,-1.60238,2.30926e-14,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,-1.05023e-08,-8.42142,-1.52326e-11,0,0,0,0,-0.796078,-5.32907e-15,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,-4.30965e-09,-9.56769,8.43537e-10,0,0,0,1.13687e-13,-1.1436,-5.32907e-15,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,8.29236e-09,-1.89821,3.05423e-09,0,0,0,0,2.7623e-07,-2.22045e-15,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,4.34842e-09,2.15769,-6.82953e-10,0,0,0,0,6.00129e-07,-4.44089e-16,0,0,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,0,-6.7028e-09,-1.71594,-2.97393e-09,0,0,0,0,6.60164e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,0,-1.13615e-08,1.35407,-4.30812e-10,0,0,0,0,-2.18361e-07,6.66134e-16,0,0,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,0,6.03304e-09,0.585162,-2.31767e-09,0,0,0,0,4.04601e-07,8.88178e-16,0,0,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,0,1.37211e-09,0.381237,-1.01228e-10,0,0,0,0,-4.51614e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,0,3.14054e-09,0.277542,-9.27465e-10,0,0,0,0,-3.4967e-07,2.22045e-15,0,0,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,0,1.16455e-08,1.14529,-3.72057e-09,0,0,0,0,3.04355e-07,-8.88178e-16,0,0,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,0,9.84801e-10,1.04262,-1.2674e-10,0,0,0,0,6.81165e-07,2.22045e-16,0,0,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,0,-3.16429e-09,0.525812,-1.88203e-09,0,0,0,0,-4.35267e-07,-6.66134e-16,0,0,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,0,2.60318e-09,1.29539,-3.32936e-09,0,0,0,0,1.10359e-07,1.11022e-15,0,0,False,69.0|99,433
14|433|14|433|vc|4|2|99|2|99|69.0,0,-1.41998e-09,-0.0904266,-8.84673e-10,0,0,0,0,2.33015e-07,-1.33227e-15,0,0,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,0,4.81097e-09,1.25526,2.61015e-09,0,0,0,0,-1.08802e-07,-1.33227e-15,0,0,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,0,2.44232e-09,0.767757,6.59306e-10,0,0,0,0,1.84139e-07,-2.22045e-15,0,0,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,0,2.51557e-09,0.350413,2.24048e-11,0,0,0,0,-8.91861e-08,1.33227e-15,0,0,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,0,-4.91767e-09,-0.558585,6.03778e-10,0,0,0,0,1.43576e-07,1.77636e-15,0,0,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,0,1.71707e-08,-8.31989,-2.29169e-09,0,0,0,0,-1.9195,8.88178e-16,0,0,True,6.0|71,297
14|297|14|297|sample|4|71|4|71|6.0,0,4.86433e-09,-8.69968,8.61711e-10,0,0,0,1.13687e-13,-1.92701,8.88178e-15,0,0,True,6.0|71,297
14|297|14|297|sample|5|71|5|71|6.0,0,5.00949e-09,-11.1001,-2.73236e-09,0,0,0,0,-3.42504,0,0,0,True,6.0|71,297
14|297|14|297|sample|6|71|6|71|6.0,0,1.58519e-09,-9.33092,-2.22094e-09,0,0,0,1.13687e-13,-3.31789,-2.66454e-15,0,0,True,6.0|71,297
14|297|14|297|sample|8|71|8|71|6.0,0,8.57907e-09,-10.0694,4.0013e-09,0,0,0,0,-2.56962,1.86517e-14,0,0,True,6.0|71,297
14|297|14|297|sample|7|71|7|71|6.0,0,-1.08811e-08,-9.36865,-1.66696e-09,0,0,0,0,-2.60436,3.9968e-15,0,0,True,6.0|71,297
14|297|14|297|sample|9|71|9|71|6.0,0,-4.06306e-09,-10.302,1.92984e-09,0,0,0,0,-2.98408,7.10543e-15,0,0,True,6.0|71,297
14|297|14|297|sample|10|71|10|71|6.0,0,6.55949e-09,-10.3872,-2.52618e-09,0,0,0,0,-3.12919,8.88178e-15,0,0,True,6.0|71,297
14|297|14|297|sample|12|71|12|71|6.0,0,-2.31698e-09,-7.21683,-5.37212e-11,0,0,0,-1.13687e-13,-0.887124,8.88178e-15,0,0,True,6.0|71,297
14|297|14|297|sample|11|71|11|71|6.0,0,1.76452e-09,-7.42153,6.56981e-10,0,0,0,0,-0.68797,-2.22045e-14,0,0,True,6.0|71,297
14|297|14|297|cc|1|1|71|1|71|69.0,0,-5.13367e-09,0.132999,1.44435e-09,0,0,0,0,-3.13479e-06,-2.66454e-15,0,0,False,69.0|71,297
14|297|14|297|cc|2|1|71|1|71|69.0,0,1.80768e-09,1.01378,-5.21874e-10,0,0,0,0,-2.91903e-05,1.33227e-15,0,0,False,69.0|71,297
14|297|14|297|cc|3|1|71|1|71|69.0,0,1.64225e-09,0.235204,3.32777e-10,0,0,0,0,6.27985e-06,-3.4639e-14,0,0,False,69.0|71,297
14|297|14|297|cc|4|1|71|1|71|69.0,0,-1.48017e-09,1.12014,2.11682e-09,0,0,0,0,-1.16021e-05,1.24345e-14,0,0,False,69.0|71,297
14|297|14|297|cc|5|1|71|1|71|69.0,0,-7.36073e-09,-0.0685156,1.32814e-09,0,0,0,0,7.39547e-06,-2.4869e-14,0,0,False,69.0|71,297
14|297|14|297|cc|6|1|71|1|71|69.0,0,-1.97499e-09,1.21086,-3.41667e-09,0,0,0,0,-9.62294e-06,-8.88178e-15,0,0,False,69.0|71,297
14|297|14|297|cc|7|1|71|1|71|69.0,0,1.14734e-08,0.924033,-5.55235e-10,0,0,0,0,-2.23064e-05,3.19744e-14,0,0,False,69.0|71,297
14|297|14|297|cc|8|1|71|1|71|69.0,0,-1.59822e-09,-1.64427,2.65251e-09,0,0,0,0,6.85886e-06,-6.21725e-15,0,0,False,69.0|71,297
14|297|14|297|vc|1|2|71|2|71|69.0,0,-1.39675e-09,1.03495,-1.76515e-09,0,0,0,0,3.44481e-06,-4.44089e-15,0,0,False,69.0|71,297
14|297|14|297|vc|2|2|71|2|71|69.0,0,-7.88881e-09,-0.351561,1.04865e-09,0,0,0,0,1.29687e-05,1.33227e-14,0,0,False,69.0|71,297
14|297|14|297|vc|3|2|71|2|71|69.0,0,-5.11627e-09,-0.148571,-3.15157e-09,0,0,0,0,-9.2892e-06,-7.99361e-15,0,0,False,69.0|71,297
14|297|14|297|vc|4|2|71|2|71|69.0,0,-9.43333e-10,-1.74378,-2.74916e-09,0,0,0,0,-9.14165e-06,5.50671e-14,0,0,False,69.0|71,297
14|297|14|297|vc|5|2|71|2|71|69.0,0,1.50352e-09,-0.655277,1.26111e-09,0,0,0,0,4.92472e-06,-1.37668e-14,0,0,False,69.0|71,297
14|297|14|297|vc|6|2|71|2|71|69.0,0,-5.50557e-09,-0.203946,-9.0096e-10,0,0,0,0,-1.70907e-06,-2.66454e-15,0,0,False,69.0|71,297
14|297|14|297|vc|7|2|71|2|71|69.0,0,-6.71104e-09,-0.770014,5.78624e-10,0,0,0,0,3.50574e-06,1.06581e-14,0,0,False,69.0|71,297
14|297|14|297|vc|8|2|71|2|71|69.0,0,1.10592e-08,1.97532,2.02085e-09,0,0,0,0,-2.59902e-06,1.15463e-14,0,0,False,69.0|71,297
14|183|14|183|sample|4|233|4|233|6.0,0,4.94553e-09,8.67063,-1.53804e-09,0,0,0,0,0.714314,5.32907e-15,0,0,True,6.0|233,183
14|183|14|183|sample|3|233|3|233|6.0,0,-1.05974e-08,8.94054,-4.14834e-09,0,0,0,0,0.714331,2.13163e-14,0,0,True,6.0|233,183
14|183|14|183|sample|6|233|6|233|6.0,0,-1.46657e-09,8.82805,-1.31431e-11,0,0,0,1.13687e-13,0.714534,0,0,0,True,6.0|233,183
14|183|14|183|sample|5|233|5|233|6.0,0,-1.17586e-09,9.41908,-7.96638e-10,0,0,0,-1.13687e-13,0.714538,0,0,0,True,6.0|233,183
14|183|14|183|sample|7|233|7|233|6.0,0,5.37751e-09,9.72415,1.11722e-09,0,0,0,0,0.714185,1.77636e-15,0,0,True,6.0|233,183
14|183|14|183|sample|8|233|8|233|6.0,0,2.84874e-09,7.10219,-3.08376e-09,0,0,0,0,0.714178,0,0,0,True,6.0|233,183
14|183|14|183|sample|10|233|10|233|6.0,0,-5.27722e-09,10.4087,-1.852e-09,0,0,0,0,0.714641,-1.77636e-14,0,0,True,6.0|233,183
14|183|14|183|sample|9|233|9|233|6.0,0,1.00964e-09,9.57519,-2.90662e-09,0,0,0,0,0.714566,1.77636e-14,0,0,True,6.0|233,183
