rep,id,U,L,L_gap,h,f,alpha,goes_down,mab_virus,run_id
1,8|1159|8|1159|sample|12|292|12|292|28.0,52966.8,517.632,0.664175,2.21298,0.0689729,-2.34566,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,52966.8,517.632,0.612426,2.21298,0.200348,-2.34566,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,52966.8,517.632,0.563786,2.21298,0.264927,-2.34566,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,52967,517.632,0.56217,2.05603,0.571684,-2.34566,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,52967,517.632,0.975667,2.05603,0.49003,-2.34566,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,52967,517.632,0.448933,1.57852,10.8709,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,52967,517.632,1.78073,1.57852,3.98222,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,52967,517.632,0.418789,1.57852,58.3022,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,52967,517.632,1.38042,1.57852,0.104219,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,52967,517.632,0.860441,1.57852,0.243258,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,52967,517.632,0.369237,1.57852,0.627919,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,52967,517.632,1.36218,1.57852,0.285824,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,52967,517.632,0.844904,1.57852,3.81405,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,52967,517.632,0.764149,1.57852,920.953,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,52967,517.632,1.8125,1.57852,1.83407,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,52967,517.632,0.355247,1.57852,0.753879,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,52967,517.632,0.274014,1.57852,1.4924,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,52967,517.632,1.62467,1.57852,0.864184,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,52967,517.632,0.897255,1.57852,5.23165,-2.34566,False,69.0|292,1159
