rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|462|sample|5|292,275.944,-0.139429,23959.8,2414810.0,17.3662,True,55.0|292,462
1,8|462|sample|6|292,271.538,-0.139448,23960.3,2414810.0,17.3662,True,55.0|292,462
1,8|462|sample|7|292,268.38,1.40219,69.0388,2414810.0,17.3662,True,32.0|292,462
1,8|462|sample|8|292,269.835,1.40219,69.0382,2414810.0,17.3662,True,32.0|292,462
1,8|462|sample|9|292,278.722,1.4022,69.0396,2414810.0,17.3662,True,32.0|292,462
1,8|462|vc|1|2|292,264.49,1.79701,0.434451,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|2|2|292,276.331,1.797,0.43445,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|3|2|292,276.074,1.79701,0.434457,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|4|2|292,276.241,1.79701,0.434458,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|5|2|292,264.53,1.79701,0.434452,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|6|2|292,278.802,1.79702,0.434461,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|7|2|292,274.087,1.79702,0.434453,2414810.0,17.3662,False,69.0|292,462
1,8|462|vc|8|2|292,267.935,1.79701,0.434448,2414810.0,17.3662,False,69.0|292,462
1,8|75|cc|1|1|65,273.936,1.0168,27.0882,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|2|1|65,277.935,1.01681,27.0884,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|3|1|65,278.546,1.01681,27.0891,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|4|1|65,277.136,1.01683,27.0884,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|5|1|65,275.473,1.01682,27.0883,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|6|1|65,276.972,1.01681,27.0875,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|7|1|65,262.787,1.01681,27.0883,2414810.0,16.661,False,69.0|65,75
1,8|75|cc|8|1|65,277.813,1.01681,27.0883,2414810.0,16.661,False,69.0|65,75
1,8|75|sample|10|65,272.101,0.23482,0.0135841,2414810.0,16.661,True,32.0|65,75
1,8|75|sample|11|65,270.777,0.7632,44.9029,2414810.0,16.661,True,22.0|65,75
1,8|75|sample|12|65,273.753,0.76322,44.9028,2414810.0,16.661,True,22.0|65,75
1,8|75|sample|3|65,277.888,0.519384,120.431,2414810.0,16.661,True,55.0|65,75
1,8|75|sample|4|65,281.349,0.519385,120.431,2414810.0,16.661,True,55.0|65,75
1,8|75|sample|5|65,267.914,0.519402,120.429,2414810.0,16.661,True,55.0|65,75
