rep,id,U,L,h,f,alpha,k,goes_down,mab_virus,run_id
1,8|84|8|84|sample|9|162|9|162|32.0,75428.5,792.929,0.771045,0.776385,1.1866e-11,0.122992,True,32.0|162,84
1,8|84|8|84|sample|10|162|10|162|32.0,75428.5,792.929,1.23658,0.633527,1.1866e-11,0.122992,True,32.0|162,84
1,8|84|8|84|sample|7|162|7|162|32.0,75428.5,792.929,0.326449,0.793514,1.1866e-11,0.122992,True,32.0|162,84
1,8|84|8|84|sample|8|162|8|162|32.0,75428.5,792.929,2.0035,2.332,1.1866e-11,0.122992,True,32.0|162,84
1,8|84|8|84|sample|12|162|12|162|22.0,75428.5,788.765,0.199897,3.11264,1.1866e-11,0.122992,True,22.0|162,84
1,8|84|8|84|sample|11|162|11|162|22.0,75428.5,788.765,2.66436,0.0998408,1.1866e-11,0.122992,True,22.0|162,84
1,8|84|8|84|cc|1|1|162|1|162|69.0,75428.5,786.472,-1.68757,2.80173,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|2|1|162|1|162|69.0,75428.5,786.472,-0.360141,0.179574,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|3|1|162|1|162|69.0,75428.5,786.472,3.64531,0.171019,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|4|1|162|1|162|69.0,75428.5,786.472,-1.28371,0.629059,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|5|1|162|1|162|69.0,75428.5,786.472,0.118478,0.275552,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|6|1|162|1|162|69.0,75428.5,786.472,0.154749,0.295268,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|7|1|162|1|162|69.0,75428.5,786.472,1.96469,1.65051,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|cc|8|1|162|1|162|69.0,75428.5,786.472,-0.310974,0.237078,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|1|2|162|2|162|69.0,75428.5,786.472,0.645053,153.297,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|2|2|162|2|162|69.0,75428.5,786.472,-0.683389,0.133519,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|3|2|162|2|162|69.0,75428.5,786.472,3.68745,0.0924758,1.1866e-11,0.122992,False,69.0|162,84
