id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|75|vc|2|2|65,0,0,0.00631234,0,0,0,0,0,3.86953e-07,0,0,0,False,69.0|65,75
8|75|vc|3|2|65,0,0,-0.126032,0,0,0,0,0,-1.15232e-07,0,0,0,False,69.0|65,75
8|75|vc|4|2|65,0,0,0.0433119,0,0,0,0,0,-3.83776e-07,0,0,0,False,69.0|65,75
8|75|vc|5|2|65,0,0,0.107912,0,0,0,0,0,3.54634e-07,0,0,0,False,69.0|65,75
8|75|vc|6|2|65,0,0,0.0479815,0,0,0,0,0,-2.15068e-07,0,0,0,False,69.0|65,75
8|75|vc|7|2|65,0,0,-0.141532,0,0,0,0,0,1.60859e-08,0,0,0,False,69.0|65,75
8|75|vc|8|2|65,0,0,-0.150749,0,0,0,0,0,-2.18975e-07,0,0,0,False,69.0|65,75
8|291|cc|1|1|103,0,0,0.129766,0,0,0,0,0,4.41529e-09,0,0,0,False,69.0|103,291
8|291|cc|2|1|103,0,0,0.0810309,0,0,0,0,0,6.08014e-08,0,0,0,False,69.0|103,291
8|291|cc|3|1|103,0,0,-0.0500841,0,0,0,0,0,-2.90054e-07,0,0,0,False,69.0|103,291
8|291|cc|4|1|103,0,0,0.0211366,0,0,0,0,0,2.6969e-07,0,0,0,False,69.0|103,291
8|291|cc|5|1|103,0,0,-0.242117,0,0,0,0,0,5.62539e-08,0,0,0,False,69.0|103,291
8|291|cc|6|1|103,0,0,0.0450671,0,0,0,0,0,2.96432e-07,0,0,0,False,69.0|103,291
8|291|cc|7|1|103,0,0,0.183884,0,0,0,0,0,-1.74901e-07,0,0,0,False,69.0|103,291
8|291|cc|8|1|103,0,0,-0.159232,0,0,0,0,0,-1.14443e-07,0,0,0,False,69.0|103,291
8|291|sample|10|103,0,0,1.71767,0,0,0,0,0,2.00321,0,0,0,True,32.0|103,291
8|291|sample|11|103,0,0,1.89877,0,0,0,0,0,1.99547,0,0,0,True,22.0|103,291
8|291|sample|12|103,0,0,1.66728,0,0,0,0,0,1.88782,0,0,0,True,22.0|103,291
8|291|sample|3|103,0,0,-1.08116,0,0,0,0,0,-0.992822,0,0,0,True,55.0|103,291
8|291|sample|4|103,0,0,-1.11334,0,0,0,0,0,-1.00817,0,0,0,True,55.0|103,291
8|291|sample|5|103,0,0,-0.843128,0,0,0,0,0,-0.831123,0,0,0,True,55.0|103,291
