rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|474|vc|5|2|276,790.603,1.50803,0.0857193,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|6|2|276,790.603,1.47407,0.0857195,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|7|2|276,790.603,1.23588,0.0857199,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|8|2|276,790.603,1.45587,0.0857198,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|462|cc|1|1|292,790.603,1.37876,0.00991274,5.8216,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|2|1|292,790.603,1.41961,0.00991277,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|3|1|292,790.603,1.32295,0.00991274,5.82154,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|4|1|292,790.603,1.50755,0.00991281,5.82159,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|5|1|292,790.603,1.49938,0.00991271,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|6|1|292,790.603,1.44607,0.00991281,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|7|1|292,790.603,1.50186,0.00991265,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|cc|8|1|292,790.603,1.27302,0.00991273,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|sample|10|292,790.603,0.864984,0.103825,154.181,0.0405218,-8.45252e-06,True,32.0|292,462
1,8|462|sample|11|292,790.603,1.03269,0.693088,3.90249,0.0405218,-8.45252e-06,True,22.0|292,462
1,8|462|sample|12|292,790.603,0.666225,0.693089,3.9025,0.0405218,-8.45252e-06,True,22.0|292,462
1,8|462|sample|3|292,790.603,0.703672,0.420882,1.28571,0.0405218,-8.45252e-06,True,55.0|292,462
1,8|462|sample|4|292,790.603,0.714818,0.420883,1.28571,0.0405218,-8.45252e-06,True,55.0|292,462
1,8|462|sample|5|292,790.603,0.490764,0.420879,1.28572,0.0405218,-8.45252e-06,True,55.0|292,462
1,8|462|sample|6|292,790.603,0.477853,0.420884,1.28571,0.0405218,-8.45252e-06,True,55.0|292,462
1,8|462|sample|7|292,790.603,0.908026,0.103825,154.18,0.0405218,-8.45252e-06,True,32.0|292,462
1,8|462|sample|8|292,790.603,0.93995,0.103824,154.18,0.0405218,-8.45252e-06,True,32.0|292,462
1,8|462|sample|9|292,790.603,0.908583,0.103824,154.182,0.0405218,-8.45252e-06,True,32.0|292,462
1,8|462|vc|1|2|292,790.603,1.49248,0.00991271,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|2|2|292,790.603,1.53188,0.00991278,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|3|2|292,790.603,1.53416,0.00991277,5.82158,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|4|2|292,790.603,1.43624,0.00991273,5.82156,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|5|2|292,790.603,1.39261,0.00991275,5.82156,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|6|2|292,790.603,1.35948,0.00991269,5.82159,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|7|2|292,790.603,1.27586,0.0099128,5.82156,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|462|vc|8|2|292,790.603,1.42574,0.00991271,5.82161,0.0405218,-8.45252e-06,False,69.0|292,462
1,8|75|cc|1|1|65,790.603,1.16611,0.0513614,60.5399,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|2|1|65,790.603,1.02221,0.051361,60.5403,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|3|1|65,790.603,1.17855,0.0513615,60.5402,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|4|1|65,790.603,1.49588,0.051361,60.5399,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|5|1|65,790.603,1.47447,0.0513612,60.5401,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|6|1|65,790.603,1.45787,0.0513616,60.54,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|7|1|65,790.603,1.36088,0.051361,60.5398,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|cc|8|1|65,790.603,1.59087,0.0513609,60.5401,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|sample|10|65,790.603,1.05744,0.537342,1.25446,-0.0561051,5.15907e-08,True,32.0|65,75
1,8|75|sample|11|65,790.603,0.994963,0.175646,53.1456,-0.0561051,5.15907e-08,True,22.0|65,75
1,8|75|sample|12|65,790.603,0.8189,0.175646,53.1459,-0.0561051,5.15907e-08,True,22.0|65,75
1,8|75|sample|3|65,790.603,0.879717,0.394094,26.2219,-0.0561051,5.15907e-08,True,55.0|65,75
1,8|75|sample|4|65,790.603,0.95428,0.394096,26.2219,-0.0561051,5.15907e-08,True,55.0|65,75
1,8|75|sample|5|65,790.603,0.813702,0.394093,26.2217,-0.0561051,5.15907e-08,True,55.0|65,75
1,8|75|sample|6|65,790.603,0.840784,0.394094,26.2218,-0.0561051,5.15907e-08,True,55.0|65,75
1,8|75|sample|7|65,790.603,0.877607,0.537342,1.25446,-0.0561051,5.15907e-08,True,32.0|65,75
1,8|75|sample|8|65,790.603,1.01751,0.537339,1.25446,-0.0561051,5.15907e-08,True,32.0|65,75
1,8|75|sample|9|65,790.603,0.806908,0.537342,1.25446,-0.0561051,5.15907e-08,True,32.0|65,75
1,8|75|vc|1|2|65,790.603,1.54319,0.0513612,60.5403,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|2|2|65,790.603,1.52481,0.0513609,60.5403,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|3|2|65,790.603,1.29476,0.0513609,60.5399,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|4|2|65,790.603,1.21976,0.051361,60.5401,-0.0561051,5.15907e-08,False,69.0|65,75
