id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|vc|5|2|274|2|274|69.0,-9.99571e-10,-1.93514e-09,-4.47268e-10,-1.38315e-09,1.05563,0,0,-3.63798e-12,4.44089e-16,1.9984e-15,-3.61182e-07,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-1.35819e-09,1.19024e-09,1.66508e-10,2.92973e-09,-0.0466236,0,0,0,-5.49782e-13,3.93685e-13,-0.0475521,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,-5.10173e-09,3.1087e-09,8.21906e-10,-3.52005e-10,0.823344,0,0,0,8.88178e-16,1.11022e-15,-1.13955e-06,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-3.84171e-11,1.49464e-09,1.04575e-09,-2.83525e-10,0.475926,0,-8.73115e-11,1.63709e-11,1.6954e-11,1.01244e-11,-0.015997,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,-6.50753e-09,6.3433e-09,-2.59178e-09,2.61809e-10,-46.3844,0,0,0,-9.76996e-15,1.03056e-13,-45.3061,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,-5.43584e-09,-7.53877e-10,2.26063e-09,-2.85387e-09,-48.3302,0,0,0,-7.10543e-15,1.07969e-13,-47.032,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,8.78965e-10,2.18713e-09,2.2402e-09,3.94125e-10,-49.7523,0,0,0,-7.10543e-15,1.06887e-13,-47.6798,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,-8.33068e-10,7.33169e-10,1.1921e-09,-1.24395e-09,-49.9218,0,0,0,-5.77316e-15,1.12715e-13,-47.8605,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,9.457e-10,-3.42054e-10,1.05934e-09,1.46427e-09,-49.1025,0,0,0,-5.32907e-15,1.07858e-13,-47.8488,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,-2.62581e-09,-2.35069e-09,3.10217e-09,1.07115e-09,-48.6425,0,0,0,-7.10543e-15,1.12715e-13,-47.5637,0,False,6.0|233,705
