rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|183|14|183|vc|4|2|233|2|233|69.0,6.80704,1.71643,0.305174,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|5|2|233|2|233|69.0,3.63083,1.71643,0.0528033,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|6|2|233|2|233|69.0,4.48787,1.71643,0.302631,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|7|2|233|2|233|69.0,4.97316,1.71643,0.702844,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|8|2|233|2|233|69.0,-5.42282,1.71643,0.00683178,0.0806944,1.22882,False,69.0|233,183
1,14|705|14|705|sample|3|233|3|233|6.0,9.20568,1.71629,2.4145,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,1.92014,1.71629,53.4955,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,-1.6286,1.71629,49.9045,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,1.22442,1.71629,42.4267,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,7.98049,1.71629,40.3331,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,9.25126,1.71629,0.271636,-0.0512514,0.00694727,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,1.19334,1.71629,0.178871,-0.0512514,0.00694727,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,-5.00506,1.71629,0.215132,-0.0512514,0.00694727,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,1.36104,1.71629,0.194408,-0.0512514,0.00694727,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,3.55646,1.71629,0.240126,-0.0512514,0.00694727,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,1.67732,1.71643,0.635256,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,-1.05351,1.71643,0.122513,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,1.78461,1.71643,0.240962,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,5.08167,1.71643,1.32224,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,9.1718,1.71643,7.86802,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,4.05636,1.71643,4.42786,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,7.50294,1.71643,0.0746876,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,1.49704,1.71643,0.0322857,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,3.84536,1.71643,0.0503914,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,5.80857,1.71643,0.100007,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,8.00459,1.71643,0.451198,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,2.12837,1.71643,0.0369938,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,4.3242,1.71643,1.36248,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,3.25902,1.71643,0.114725,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,-1.72166,1.71643,0.200408,-0.0512514,0.00694727,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,-1.27994,1.71643,0.0196165,-0.0512514,0.00694727,False,69.0|233,705
