id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|183|sample|8|233,-0.146437,0.0112922,-2.12551e-07,0,0,0,-0.145162,0.000129967,-3.06971e-11,0,0,0,True,6.0|233,183
14|183|sample|10|233,-0.145366,0.0312741,-5.25129e-07,0,0,0,-0.145162,-0.000125353,8.99884e-11,0,0,0,True,6.0|233,183
14|183|sample|9|233,-0.145186,0.0144016,3.80299e-08,0,0,0,-0.145162,-0.00465179,8.62631e-08,0,0,0,True,6.0|233,183
14|183|sample|12|233,-0.146577,0.00189092,-5.01124e-07,0,0,0,-0.146596,0.000211788,-1.48402e-09,0,0,0,True,6.0|233,183
14|183|sample|11|233,-0.147154,0.0752372,4.85845e-07,0,0,0,-0.146596,5.22237e-06,-3.64569e-12,0,0,0,True,6.0|233,183
14|183|cc|1|1|233,0.00653073,-0.0226449,-2.03647e-07,0,0,0,-1.8217e-08,1.05164e-07,9.9738e-12,0,0,0,False,69.0|233,183
14|183|cc|2|1|233,-0.00237809,-0.014724,9.49115e-08,0,0,0,-3.01975e-08,-5.1847e-07,-7.51887e-12,0,0,0,False,69.0|233,183
14|183|cc|3|1|233,0.00573867,0.0125905,6.12031e-08,0,0,0,-1.45996e-07,2.33652e-07,-3.92308e-12,0,0,0,False,69.0|233,183
14|183|cc|4|1|233,-0.00643561,-0.0211108,5.37543e-08,0,0,0,1.4437e-07,-2.22835e-07,-4.84324e-12,0,0,0,False,69.0|233,183
14|183|cc|5|1|233,0.0116347,-0.0117784,8.31779e-08,0,0,0,1.9336e-07,-2.97052e-08,1.44196e-12,0,0,0,False,69.0|233,183
14|183|cc|6|1|233,0.000175469,-0.00235451,-1.70859e-07,0,0,0,-2.8808e-07,-2.41424e-08,3.28049e-12,0,0,0,False,69.0|233,183
14|183|cc|7|1|233,0.00502877,0.0155685,-1.37949e-07,0,0,0,-1.70159e-07,1.51324e-07,-5.28555e-12,0,0,0,False,69.0|233,183
14|183|cc|8|1|233,0.00911576,0.00204392,-1.20875e-07,0,0,0,2.3571e-07,-3.48701e-07,3.08953e-12,0,0,0,False,69.0|233,183
