rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|vc|7|2|274|2|274|69.0,-0.137088,3.45045e-08,2.76811e-08,-1.37088,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.122957,-2.75141e-08,-5.6369e-09,-0.433788,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,-0.645253,-5.85399e-08,-5.36211e-08,0.0690677,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-0.571286,1.62771e-09,9.08315e-09,3.19042,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,-0.659886,-9.91498e-10,2.40249e-08,1.69977,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,-0.722118,-9.48375e-08,1.35256e-07,-1.40028,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.515185,8.48995e-08,7.53282e-08,-0.834947,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.753369,-1.98562e-08,-4.61601e-08,0.0512813,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0.488748,1.41693e-08,-1.72386e-08,1.84451,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.889187,4.45731e-08,-2.65523e-08,0.926714,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,-1.73913,1.68712e-08,7.52078e-09,2.25235,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,-1.62129,-6.23697e-09,1.76202e-08,1.13494,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,3.18494,1.97674e-08,-1.49697e-07,-2.09462,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,-0.811172,7.88035e-09,-3.12207e-08,0.512681,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,-0.0164213,6.44549e-08,4.74906e-08,0.727422,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,-0.153865,1.56497e-08,-1.83632e-08,-2.95465,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,-1.79196,3.22607e-09,-1.04258e-07,0.0166616,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,-1.93192,-3.01512e-08,7.60399e-08,0.666896,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-1.90356,1.73351e-08,1.11499e-08,-1.21792,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,-0.414138,2.3598e-08,-2.06901e-08,-1.59059,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0.598763,-1.23938e-08,-8.36327e-08,-0.920138,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0.581203,1.19202e-08,1.88998e-07,1.71453,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,1.28125,6.89337e-08,7.56695e-08,1.73188,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-2.3101,-2.72485e-08,7.82879e-10,-1.56097,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,-0.414059,6.59528e-08,2.86155e-08,2.75328,69.0|322,152
