id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
14|705|14|705|cc|2|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,8.2518e+20,1.88742,125886,10893.3,3.92642,0.0949411,1.49496,1.88462,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,125886,10893.3,3.92642,0.094941,9.28102e+20,1.88742,125886,10893.3,3.92642,0.094941,0.012684,1.88462,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,7.80677e+18,1.88742,125886,10893.3,3.92642,0.0949411,0.999998,1.88462,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,3.19471e+22,1.88742,125886,10893.3,3.92642,0.0949411,1,1.88462,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,1.32173e+22,1.88742,125886,10893.3,3.92642,0.0949411,0.998721,1.88462,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,2.75396e+28,1.88742,125886,10893.3,3.92642,0.0949411,2.50603,1.88462,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,125886,10893.3,3.92642,0.0949411,1.90455e+22,1.88742,125886,10893.3,3.92642,0.0949411,0.991767,1.88462,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,125886,10893.3,3.92642,0.0949411,1.04568e+36,1.88742,125886,10893.3,3.92642,0.0949411,1.61266,1.88462,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,125886,10893.3,3.92642,0.0949411,9.22555e+22,1.88742,125886,10893.3,3.92642,0.0949411,0.999999,1.88462,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,125886,10893.3,3.92642,0.0949411,3.01748e+24,1.88742,125886,10893.3,3.92642,0.0949411,0.999999,1.88462,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,125886,10893.3,3.92642,0.094941,1.41625e+23,1.88742,125886,10893.3,3.92642,0.0949411,0.15746,1.88462,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,125886,10893.3,3.92642,0.094941,2.43052e+23,1.88742,125886,10893.3,3.92642,0.0949411,1.00051,1.88462,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,125886,10893.3,3.92642,0.094941,2.88446e+27,1.88742,125886,10893.3,3.92642,0.0949411,1,1.88462,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,125886,10893.3,3.92642,0.0949411,2.50931e+31,1.88742,125886,10893.3,3.92642,0.0949411,0.999999,1.88462,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,125886,10893.3,3.92642,0.0949411,2.77657e+18,1.88742,125886,10893.3,3.92642,0.0949411,0.98243,1.88462,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,125886,10895.9,0.0939702,0.094941,3.07767,0.660985,125886,10895.9,0.0939702,0.0949411,1.23062e-05,0.596627,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,125886,10895.9,0.0939702,0.0949411,1.89207,0.660985,125886,10895.9,0.0939702,0.0949411,1.31215e-05,0.596627,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,125886,10895.9,0.0939702,0.094941,19.5077,0.660985,125886,10895.9,0.0939702,0.0949411,2.92839e-05,0.596627,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,125886,10895.9,0.0939702,0.094941,3.26752,0.660985,125886,10895.9,0.0939702,0.0949411,3.72022e-05,0.596627,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,125886,10896,3.25916,0.0949411,1.4122e+06,0.660985,125886,10896,3.25916,0.0949411,1.50372e-05,0.596627,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,125886,10896,3.25916,0.094941,44.3378,0.660985,125886,10896,3.25916,0.0949411,4.87547e-06,0.596627,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,125886,10896,3.25916,0.0949411,2.10895,0.660985,125886,10896,3.25916,0.0949411,6.51798e-06,0.596627,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,125886,10896,3.25916,0.094941,6.76878e+07,0.660985,125886,10896,3.25916,0.0949411,4.43268e-06,0.596627,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,125886,10896.2,1.69396,0.094941,7.91657e+06,0.660985,125886,10896.2,1.69396,0.0949411,9.14557e-06,0.596627,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,125886,10896.2,1.69396,0.0949411,0.292495,0.660985,125886,10896.2,1.69396,0.0949411,1.08002e-05,0.596627,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,125886,10893.3,2.75583,0.0949411,4.25595e+22,0.660985,125886,10893.3,2.75583,0.0949411,0.650021,0.596627,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,125886,10893.3,2.75583,0.0949411,6.44698e+21,0.660985,125886,10893.3,2.75583,0.0949411,0.994806,0.596627,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,125886,10893.3,2.75583,0.094941,1.74723e+28,0.660985,125886,10893.3,2.75583,0.0949411,1.26964,0.596627,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,125886,10893.3,2.75583,0.094941,2.53154e+26,0.660985,125886,10893.3,2.75583,0.0949411,0.512753,0.596627,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,125886,10893.3,2.75583,0.094941,4.18699e+26,0.660985,125886,10893.3,2.75583,0.0949411,1.00813,0.596627,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,125886,10893.3,2.75583,0.094941,5.36124e+20,0.660985,125886,10893.3,2.75583,0.0949411,1,0.596627,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,125886,10893.3,2.75583,0.0949411,1.41718e+23,0.660985,125886,10893.3,2.75583,0.0949411,1.01287,0.596627,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,125886,10893.3,2.75583,0.0949411,4.63952e+32,0.660985,125886,10893.3,2.75583,0.0949411,0.997662,0.596627,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,125886,10893.3,2.75583,0.0949411,3.23484e+33,0.660985,125886,10893.3,2.75583,0.0949411,0.685059,0.596627,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,125886,10893.3,2.75583,0.0949411,7.11783e+24,0.660985,125886,10893.3,2.75583,0.0949411,3.24296,0.596627,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,125886,10893.3,2.75583,0.094941,6.04367e+25,0.660985,125886,10893.3,2.75583,0.0949411,2.58815,0.596627,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,125886,10893.3,2.75583,0.094941,3.73055e+22,0.660985,125886,10893.3,2.75583,0.0949411,1.00312,0.596627,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,125886,10893.3,2.75583,0.094941,1.47738e+20,0.660985,125886,10893.3,2.75583,0.0949411,1.00067,0.596627,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,125886,10893.3,2.75583,0.094941,9.93143e+27,0.660985,125886,10893.3,2.75583,0.0949411,0.998289,0.596627,False,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,125886,10893.3,2.75583,0.0949411,9.91141e+25,0.660985,125886,10893.3,2.75583,0.0949411,1.82064,0.596627,False,69.0|322,152
