id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|sample|9|99,0.0140518,833.417,0.641476,0.520832,6.72323,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,6.65908,-10.7021,316687,True,6.0|99,433
14|433|sample|11|99,0.0140518,833.417,0.641476,0.520831,3.08154,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,3.16246,-10.7021,316687,True,6.0|99,433
14|433|sample|12|99,0.0140518,833.417,0.641476,0.520832,3.72266,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,3.68226,-10.7021,316687,True,6.0|99,433
14|433|cc|1|1|99,0.0140518,835.174,0.838868,1.54698,4.34445,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|2|1|99,0.0140518,835.174,0.838868,1.54698,3.27648,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|3|1|99,0.0140518,835.174,0.838868,1.54698,5.52995,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587416,-10.7021,316687,False,69.0|99,433
14|433|cc|4|1|99,0.0140518,835.174,0.838868,1.54698,6.90937,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|5|1|99,0.0140518,835.174,0.838868,1.54698,4.00746,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|6|1|99,0.0140518,835.174,0.838868,1.54698,3.67605,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|7|1|99,0.0140518,835.174,0.838868,1.54698,3.85215,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|cc|8|1|99,0.0140518,835.174,0.838868,1.54698,4.94264,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|1|2|99,0.0140518,835.174,0.838868,1.54698,3.56148,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
