id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|433|sample|7|99,0,1.56478e-07,0,3.916e-07,1.30866,0,0,0,-1.13687e-12,0,4.77085e-12,1.32003,0,0,True,6.0|99,433
14|433|sample|10|99,0,1.70321e-08,0,-1.57439e-07,-0.0384528,0,0,0,-8.18545e-12,0,-1.77811e-11,-0.0132851,0,0,True,6.0|99,433
14|433|sample|9|99,0,1.06175e-08,0,1.83903e-07,-0.0010537,0,0,0,1.38698e-11,0,-7.98439e-12,0.0176834,0,0,True,6.0|99,433
14|433|sample|11|99,0,4.09726e-07,0,-5.39985e-07,-0.779957,0,0,0,-5.00222e-12,0,1.03615e-11,-0.726947,0,0,True,6.0|99,433
14|433|sample|12|99,0,-1.60953e-07,0,7.3349e-08,-0.594128,0,0,0,-6.59384e-12,0,-1.23279e-12,-0.574771,0,0,True,6.0|99,433
14|433|cc|1|1|99,0,-2.12419e-07,0,1.9388e-07,0.159957,0,0,0,1.13687e-13,0,9.69891e-13,-1.51636e-07,0,0,False,69.0|99,433
14|433|cc|2|1|99,0,1.82016e-07,0,-1.81184e-07,0.0520357,0,0,0,-4.54747e-13,0,-6.72129e-13,4.70861e-07,0,0,False,69.0|99,433
14|433|cc|3|1|99,0,2.08179e-07,0,-1.28779e-08,0.129188,0,0,0,-1.36424e-12,0,1.15324e-12,-9.41507e-07,0,0,False,69.0|99,433
14|433|cc|4|1|99,0,-1.7618e-07,0,6.32404e-08,0.174961,0,0,0,-1.13687e-12,0,-8.884e-13,6.50618e-07,0,0,False,69.0|99,433
14|433|cc|5|1|99,0,-1.10741e-07,0,-5.25977e-08,-0.0798877,0,0,0,0.0,0,-9.65894e-15,3.83338e-07,0,0,False,69.0|99,433
14|433|cc|6|1|99,0,2.45798e-07,0,1.3286e-07,0.0384795,0,0,0,0.0,0,2.09832e-14,-2.13179e-07,0,0,False,69.0|99,433
14|433|cc|7|1|99,0,-2.95096e-08,0,3.79154e-07,-0.00646648,0,0,0,4.54747e-13,0,1.31561e-13,3.80177e-08,0,0,False,69.0|99,433
14|433|cc|8|1|99,0,1.48924e-07,0,4.33838e-07,0.11234,0,0,0,-1.13687e-12,0,-1.67749e-12,-1.19742e-07,0,0,False,69.0|99,433
14|433|vc|1|2|99,0,-6.9245e-09,0,-5.25549e-08,0.116308,0,0,0,-5.68434e-13,0,-2.29483e-13,-3.97682e-07,0,0,False,69.0|99,433
14|433|vc|2|2|99,0,-2.3586e-07,0,-1.30365e-07,0.120519,0,0,0,6.82121e-13,0,9.18265e-13,1.39809e-07,0,0,False,69.0|99,433
14|433|vc|3|2|99,0,2.46335e-07,0,-7.16069e-08,-0.00309813,0,0,0,0.0,0,2.71505e-13,2.25072e-07,0,0,False,69.0|99,433
14|433|vc|4|2|99,0,1.79575e-07,0,-4.83943e-08,-0.0837934,0,0,0,1.13687e-13,0,1.72085e-15,4.71193e-07,0,0,False,69.0|99,433
14|433|vc|5|2|99,0,4.4513e-08,0,4.102e-08,0.117671,0,0,0,4.54747e-13,0,2.28539e-13,-1.00153e-07,0,0,False,69.0|99,433
14|433|vc|6|2|99,0,-1.71314e-08,0,-7.71869e-08,-0.180445,0,0,0,-2.27374e-13,0,5.76983e-13,-5.90826e-07,0,0,False,69.0|99,433
14|433|vc|7|2|99,0,1.72701e-08,0,-2.31701e-07,0.0255628,0,0,0,-1.13687e-13,0,1.14697e-12,-5.55782e-07,0,0,False,69.0|99,433
14|433|vc|8|2|99,0,1.43419e-07,0,-4.65925e-08,-0.176485,0,0,0,1.36424e-12,0,6.99996e-14,3.31712e-07,0,0,False,69.0|99,433
14|297|sample|3|71,0,3.14355e-07,0,-3.429e-07,-1.36087,0,0,0,-5.68434e-13,0,6.85774e-12,-1.43354,0,0,True,6.0|71,297
14|297|sample|4|71,0,1.27588e-07,0,-1.38903e-07,-1.40254,0,0,0,2.4329e-11,0,2.78352e-11,-1.46309,0,0,True,6.0|71,297
14|297|sample|5|71,0,1.79204e-07,0,-1.04717e-07,0.581557,0,0,0,-9.43601e-12,0,1.49715e-11,0.552344,0,0,True,6.0|71,297
14|297|sample|6|71,0,-3.38552e-07,0,4.45475e-07,0.541829,0,0,0,-6.36646e-12,0,1.27967e-11,0.486308,0,0,True,6.0|71,297
14|297|sample|8|71,0,-3.15484e-07,0,4.64786e-07,-0.181049,0,0,0,7.95808e-12,0,-2.92633e-12,-0.238337,0,0,True,6.0|71,297
14|297|sample|7|71,0,4.18217e-08,0,2.2847e-07,-0.111981,0,0,0,-3.62661e-11,0,-2.34568e-11,-0.161758,0,0,True,6.0|71,297
14|297|sample|9|71,0,-2.66535e-08,0,-1.78342e-07,0.355931,0,0,0,0.0,0,-2.54761e-11,0.298563,0,0,True,6.0|71,297
14|297|sample|10|71,0,3.0737e-07,0,1.91765e-08,0.443968,0,0,0,2.27374e-13,0,2.75394e-11,0.360704,0,0,True,6.0|71,297
14|297|sample|12|71,0,-1.33825e-07,0,-8.4746e-07,-1.86378,0,0,0,-6.82121e-13,0,-5.69172e-12,-1.94017,0,0,True,6.0|71,297
14|297|sample|11|71,0,-5.66216e-08,0,5.98585e-07,-2.02441,0,0,0,8.75389e-12,0,-2.35956e-11,-2.10587,0,0,True,6.0|71,297
14|297|cc|1|1|71,0,3.06099e-07,0,-3.79954e-08,0.0275587,0,0,0,-4.54747e-13,0,-5.19765e-13,5.85148e-07,0,0,False,69.0|71,297
14|297|cc|2|1|71,0,-2.39888e-07,0,-8.68651e-08,-0.0722855,0,0,0,1.13687e-13,0,5.68594e-13,-7.59712e-07,0,0,False,69.0|71,297
14|297|cc|3|1|71,0,-3.4778e-07,0,2.26659e-07,0.0942934,0,0,0,-5.68434e-13,0,4.01349e-13,7.15477e-08,0,0,False,69.0|71,297
14|297|cc|4|1|71,0,-3.52793e-07,0,-2.30923e-07,-0.00607783,0,0,0,4.54747e-13,0,8.34291e-13,-2.73916e-07,0,0,False,69.0|71,297
14|297|cc|5|1|71,0,-9.10619e-08,0,-1.39778e-07,-0.0987851,0,0,0,2.04636e-12,0,1.33098e-12,6.59394e-07,0,0,False,69.0|71,297
14|297|cc|6|1|71,0,1.53226e-07,0,-6.44418e-08,-0.140696,0,0,0,4.54747e-13,0,5.09509e-13,1.66388e-07,0,0,False,69.0|71,297
