id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|847|cc|1|1|69,0,1.2169e-07,0.0234277,-0.0651177,0,0,0,-1.86584e-12,1.30985e-09,9.41637e-08,0,0,False,69.0|69,847
8|847|cc|2|1|69,0,8.46668e-07,0.110207,0.0724379,0,0,0,1.67755e-12,-1.42177e-07,-5.32184e-08,0,0,False,69.0|69,847
8|847|cc|3|1|69,0,-1.03314e-07,0.0490468,0.278073,0,0,0,-2.73781e-13,2.49152e-08,-1.02245e-07,0,0,False,69.0|69,847
8|847|cc|4|1|69,0,2.778e-08,0.0211304,-0.0255821,0,0,0,2.07856e-12,-3.01587e-09,5.85794e-08,0,0,False,69.0|69,847
8|847|cc|5|1|69,0,7.0942e-07,-0.0920353,-0.214858,0,0,0,8.93952e-13,-4.129e-07,9.8808e-08,0,0,False,69.0|69,847
8|847|cc|6|1|69,0,-3.25824e-07,0.0621716,-0.0090852,0,0,0,-7.57838e-13,-2.26478e-07,-1.24371e-07,0,0,False,69.0|69,847
8|847|cc|7|1|69,0,1.21072e-07,0.0689005,-0.0158464,0,0,0,-1.09135e-12,-2.15211e-07,-5.27527e-08,0,0,False,69.0|69,847
8|847|cc|8|1|69,0,-3.92629e-07,-0.0157834,-0.0459968,0,0,0,-4.93827e-13,-2.78377e-09,-2.15509e-07,0,0,False,69.0|69,847
8|847|sample|10|69,0,2.03846e-07,0.58074,0.234006,0,0,0,-9.74651e-11,0.279944,0.425298,0,0,True,32.0|69,847
8|847|sample|11|69,0,7.2775e-07,-0.0686162,-0.481949,0,0,0,-1.2156e-10,0.130781,-0.611585,0,0,True,22.0|69,847
8|847|sample|12|69,0,-4.81974e-07,-0.337311,-0.272753,0,0,0,-1.17492e-10,0.0291371,-0.543714,0,0,True,22.0|69,847
8|847|sample|3|69,0,5.55256e-07,-0.73699,-0.686708,0,0,0,2.47324e-10,-0.300101,-0.829452,0,0,True,55.0|69,847
8|847|sample|4|69,0,-1.90454e-07,-0.265342,-0.840048,0,0,0,1.63503e-10,-0.0251808,-0.908538,0,0,True,55.0|69,847
8|847|sample|5|69,0,-4.49166e-07,0.867967,-1.35125,0,0,0,-4.95464e-11,0.979562,-1.36169,0,0,True,55.0|69,847
8|847|sample|6|69,0,-6.17292e-07,1.37226,-1.39448,0,0,0,-1.1403e-10,1.54252,-1.43657,0,0,True,55.0|69,847
