id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mean,eta_L_mean,eta_L_gap_mean,eta_h_mean,eta_f_mean,eta_alpha_mean,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_U_sd,eta_L_sd,eta_L_gap_sd,eta_h_sd,eta_f_sd,eta_alpha_sd,goes_down,mab_virus,run_id
8|152|8|152|sample|5|322|5|322|65.0,-8.38292e-09,4.79225e-09,-5.33689e-09,1.92953e-10,-2.68975,0,9.66442e-10,-8.2687e-10,7.6725e-10,-9.93076e-10,-2.68983,0,0,1.81899e-12,-7.32747e-14,3.55271e-14,-2.71621,0,4.66923e-08,3.93698e-08,2.95568e-08,3.91946e-08,0.40304,0,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-1.63767e-09,-3.27543e-09,-2.08362e-10,-2.08533e-09,-3.24143,0,-2.97926e-10,1.25697e-09,4.60322e-10,6.44349e-11,-3.1821,0,0,0,6.72573e-13,5.26024e-13,-3.29948,0,4.68149e-08,3.83139e-08,3.04382e-08,4.17828e-08,0.471491,0,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-1.47099e-09,4.64619e-09,-1.9406e-09,-1.53427e-09,-3.40136,0,2.98563e-09,5.83726e-10,-3.59073e-10,-8.06554e-10,-3.44162,0,0,0,-4.74509e-13,-4.32543e-13,-3.4901,0,4.72037e-08,3.72226e-08,3.0221e-08,4.20006e-08,0.395417,0,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,2.37784e-09,-2.66862e-09,4.99156e-09,-6.00525e-09,-3.61691,0,-1.75786e-10,-2.5581e-09,-2.39717e-10,1.05066e-09,-3.59296,0,0,0,-5.12923e-14,1.03251e-12,-3.65255,0,4.73772e-08,3.92958e-08,2.90199e-08,4.33319e-08,0.441037,0,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,-1.35374e-09,-4.07372e-09,2.45063e-09,-1.25792e-09,-3.43978,0,1.99951e-09,1.27712e-09,-4.13354e-10,2.30233e-10,-3.5221,0,0,1.81899e-12,5.32907e-15,3.4861e-14,-3.58139,0,4.60365e-08,3.83257e-08,2.96887e-08,4.28766e-08,0.419775,0,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-8.47795e-10,-5.39376e-09,-1.74765e-09,-3.48307e-10,-2.97358,0,1.30937e-09,-7.04575e-10,1.42137e-09,2.273e-09,-2.93316,0,0,0,-7.77156e-13,4.52527e-13,-3.01578,0,4.65297e-08,3.96003e-08,2.97057e-08,3.96174e-08,0.407282,0,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-1.47393e-09,2.44908e-09,2.99656e-09,3.40884e-09,-2.8004,0,-3.56173e-10,3.45735e-10,-1.66036e-09,2.68825e-09,-2.86294,0,-2.91038e-11,1.81899e-12,-3.61933e-14,-1.37668e-14,-2.92789,0,4.65593e-08,3.95391e-08,2.86714e-08,4.11778e-08,0.422086,0,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,2.16806e-09,3.0551e-10,9.55296e-10,3.89789e-09,-0.361786,0,1.54538e-09,2.78055e-10,-8.46177e-10,9.86535e-10,-0.0181848,0,0,0,8.88178e-16,1.77636e-15,-8.51208e-07,0,4.66429e-08,3.83196e-08,2.99575e-08,4.13301e-08,18.5109,0,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,4.29194e-10,1.88807e-10,-2.96561e-10,-7.35099e-10,-0.974673,0,-1.18063e-10,1.61299e-09,-1.31618e-10,7.68194e-10,-0.134587,0,0,-1.81899e-12,-2.46025e-13,3.90799e-14,0.00124337,0,4.48764e-08,3.84694e-08,2.9886e-08,4.2133e-08,18.5322,0,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,3.49813e-09,-1.18718e-10,-8.6768e-10,-6.1079e-10,-0.111772,0,2.11992e-10,5.2085e-10,1.33883e-10,-5.38283e-10,0.18105,0,-1.45519e-11,-1.09139e-11,2.13451e-12,1.58276e-11,0.183674,0,4.62592e-08,3.80806e-08,2.96696e-08,4.04899e-08,18.5448,0,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,-5.76838e-11,-5.91874e-10,1.11474e-09,2.15276e-09,-1.28489,0,1.67708e-09,1.90049e-10,5.71399e-11,-2.85101e-10,-0.149932,0,2.91038e-11,-3.63798e-12,-3.8106e-11,-9.79837e-11,-0.126643,0,4.66899e-08,3.90961e-08,2.97716e-08,4.14407e-08,18.4723,0,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-3.00381e-10,3.34912e-10,1.09298e-10,1.19102e-09,-0.35651,0,-1.026e-09,-1.74224e-10,1.4162e-10,3.86327e-10,0.369269,0,0,0,-1.77636e-15,8.88178e-16,-9.34225e-07,0,4.57691e-08,3.66379e-08,2.96882e-08,4.17905e-08,18.9489,0,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-2.12059e-09,-2.82125e-11,1.13208e-09,-8.6004e-10,1.26725,0,6.65328e-10,5.46403e-10,-1.69771e-11,1.11289e-10,0.44357,0,0,0,-1.55431e-15,8.88178e-16,2.0022e-06,0,4.52375e-08,3.78983e-08,2.92155e-08,4.02087e-08,18.6118,0,False,69.0|322,152
