id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|491|vc|6|2|99,756.597,2.36785,973.946,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|7|2|99,756.597,2.35005,846.013,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|8|2|99,756.597,2.41014,523.327,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|433|sample|4|99,755.62,0.591969,0.00337286,154.814,0.0153211,755.62,0.640407,0.0041592,154.896,0.0153022,True,6.0|99,433
14|433|sample|3|99,755.62,0.991338,0.0143908,154.814,0.0153211,755.62,1.02777,0.0151937,154.896,0.0153022,True,6.0|99,433
14|433|sample|6|99,755.62,1.05879,0.565089,154.814,0.0153211,755.62,1.10102,0.604458,154.896,0.0153022,True,6.0|99,433
14|433|sample|5|99,755.62,0.982642,0.447922,154.814,0.0153211,755.62,0.957083,0.424063,154.896,0.0153022,True,6.0|99,433
14|433|sample|8|99,755.62,1.44984,0.0103885,154.814,0.0153211,755.62,1.46214,0.0102376,154.896,0.0153022,True,6.0|99,433
14|433|sample|7|99,755.62,1.59646,0.0115428,154.814,0.0153211,755.62,1.57679,0.0112407,154.896,0.0153022,True,6.0|99,433
14|433|sample|10|99,755.62,1.28595,0.0925123,154.814,0.0153211,755.62,1.27015,0.085517,154.896,0.0153022,True,6.0|99,433
14|433|sample|9|99,755.62,1.41402,0.0934361,154.814,0.0153211,755.62,1.28713,0.080809,154.896,0.0153022,True,6.0|99,433
14|433|sample|11|99,755.62,1.17936,0.313454,154.814,0.0153211,755.62,1.11189,0.275752,154.896,0.0153022,True,6.0|99,433
14|433|sample|12|99,755.62,0.883171,0.13711,154.814,0.0153211,755.62,0.912908,0.145242,154.896,0.0153022,True,6.0|99,433
14|433|cc|1|1|99,756.597,2.37358,826.171,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|2|1|99,756.597,2.33149,1047.23,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|3|1|99,756.597,2.36408,1920.56,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|4|1|99,756.597,2.38371,1309.99,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|5|1|99,756.597,2.38946,749.853,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|6|1|99,756.597,2.45408,632.579,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|7|1|99,756.597,2.4192,489.717,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|cc|8|1|99,756.597,2.48344,711.507,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|1|2|99,756.597,2.33669,588.834,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|2|2|99,756.597,2.38435,1874.73,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|3|2|99,756.597,2.35257,1404.05,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|4|2|99,756.597,2.4143,669.164,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|5|2|99,756.597,2.3501,776.515,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|6|2|99,756.597,2.31361,919.239,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
