rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|183|cc|4|1|233,0,-1.71462e-06,0,-1.2045e-06,-1.47049,0,0,False,69.0|233,183
1,14|183|cc|5|1|233,0,-2.23168e-06,0,-1.35186e-06,-1.60996,0,0,False,69.0|233,183
1,14|183|cc|6|1|233,0,-8.39295e-07,0,1.0138e-06,1.51205,0,0,False,69.0|233,183
1,14|183|cc|7|1|233,0,-9.19103e-07,0,2.40641e-06,-1.00236,0,0,False,69.0|233,183
1,14|183|cc|8|1|233,0,-3.3765e-06,0,-2.6388e-07,-0.00552639,0,0,False,69.0|233,183
1,14|183|vc|1|2|233,0,2.26881e-06,0,-4.35618e-07,0.916795,0,0,False,69.0|233,183
1,14|183|vc|2|2|233,0,4.73315e-07,0,-1.96141e-06,0.275482,0,0,False,69.0|233,183
1,14|183|vc|3|2|233,0,1.55712e-06,0,-7.18429e-07,-2.35871,0,0,False,69.0|233,183
1,14|183|vc|4|2|233,0,1.18949e-06,0,-4.1502e-06,-2.26878,0,0,False,69.0|233,183
1,14|183|vc|5|2|233,0,1.83867e-06,0,-9.54994e-07,-0.603315,0,0,False,69.0|233,183
1,14|183|vc|6|2|233,0,1.96424e-06,0,-2.44724e-06,1.97271,0,0,False,69.0|233,183
1,14|183|vc|7|2|233,0,1.89861e-06,0,1.63463e-06,-0.751786,0,0,False,69.0|233,183
1,14|183|vc|8|2|233,0,2.9306e-06,0,4.82791e-07,-0.307586,0,0,False,69.0|233,183
1,14|705|sample|3|233,0,4.66182e-07,0,1.73364e-06,-4.568,0,0,False,6.0|233,705
1,14|705|sample|4|233,0,4.04202e-07,0,1.93613e-07,-3.5699,0,0,False,6.0|233,705
1,14|705|sample|5|233,0,6.60372e-07,0,-8.80897e-07,-2.60896,0,0,False,6.0|233,705
1,14|705|sample|6|233,0,-6.96243e-07,0,-7.11107e-08,-3.55407,0,0,False,6.0|233,705
1,14|705|sample|7|233,0,-2.68878e-06,0,-1.76924e-06,-2.96446,0,0,False,6.0|233,705
1,14|705|sample|8|233,0,-2.42991e-06,0,1.45403e-06,-4.02878,0,0,False,6.0|233,705
1,14|705|sample|10|233,0,3.15762e-06,0,-1.58675e-08,0.864182,0,0,True,6.0|233,705
1,14|705|sample|9|233,0,-1.05744e-06,0,-4.20311e-07,0.432663,0,0,True,6.0|233,705
1,14|705|sample|12|233,0,1.71299e-06,0,1.88101e-06,1.17523,0,0,True,6.0|233,705
1,14|705|sample|11|233,0,-1.36737e-06,0,-3.06072e-06,0.15666,0,0,True,6.0|233,705
1,14|705|cc|1|1|233,0,-2.24354e-06,0,3.59431e-06,-0.351566,0,0,False,69.0|233,705
1,14|705|cc|2|1|233,0,9.97112e-07,0,1.34996e-06,-1.32894,0,0,False,69.0|233,705
1,14|705|cc|3|1|233,0,-2.48279e-06,0,2.66695e-06,-2.10069,0,0,False,69.0|233,705
1,14|705|cc|4|1|233,0,7.41133e-07,0,1.8948e-06,1.89008,0,0,False,69.0|233,705
1,14|705|cc|5|1|233,0,2.41963e-06,0,5.74938e-07,0.0713004,0,0,False,69.0|233,705
1,14|705|cc|6|1|233,0,-2.76227e-06,0,-3.90421e-06,0.270063,0,0,False,69.0|233,705
1,14|705|cc|7|1|233,0,2.7853e-06,0,-1.31786e-06,-0.663469,0,0,False,69.0|233,705
1,14|705|cc|8|1|233,0,1.72662e-06,0,-1.18176e-06,-1.17656,0,0,False,69.0|233,705
1,14|705|vc|1|2|233,0,9.46233e-07,0,-2.1269e-07,-0.288556,0,0,False,69.0|233,705
1,14|705|vc|2|2|233,0,-5.20336e-07,0,4.23298e-07,0.677226,0,0,False,69.0|233,705
1,14|705|vc|3|2|233,0,2.07153e-06,0,3.02526e-07,-0.549784,0,0,False,69.0|233,705
1,14|705|vc|4|2|233,0,2.42878e-06,0,2.09873e-06,0.90914,0,0,False,69.0|233,705
1,14|705|vc|5|2|233,0,-4.48474e-07,0,-5.14172e-06,2.59134,0,0,False,69.0|233,705
1,14|705|vc|6|2|233,0,1.03057e-06,0,4.81326e-06,2.34065,0,0,False,69.0|233,705
1,14|705|vc|7|2|233,0,-3.31053e-06,0,4.444e-06,1.18562,0,0,False,69.0|233,705
1,14|705|vc|8|2|233,0,-1.2595e-06,0,1.64412e-06,-0.664288,0,0,False,69.0|233,705
1,14|555|sample|4|233,0,-3.31042e-07,0,-3.14351e-07,-1.31382,0,0,True,6.0|233,555
1,14|555|sample|3|233,0,3.07128e-06,0,9.00643e-07,-1.41395,0,0,True,6.0|233,555
1,14|555|sample|5|233,0,-1.02026e-06,0,3.65065e-06,-1.46643,0,0,True,6.0|233,555
1,14|555|sample|6|233,0,-1.84105e-06,0,-7.08437e-07,-1.54842,0,0,True,6.0|233,555
1,14|555|sample|7|233,0,-1.48546e-06,0,-2.68183e-06,0.541659,0,0,True,6.0|233,555
1,14|555|sample|8|233,0,-2.53406e-06,0,3.28234e-06,0.724164,0,0,True,6.0|233,555
1,14|555|sample|9|233,0,7.1414e-08,0,1.52616e-06,-1.3733,0,0,True,6.0|233,555
1,14|555|sample|10|233,0,-3.6582e-06,0,6.14362e-07,-1.43346,0,0,True,6.0|233,555
1,14|555|sample|12|233,0,-2.85776e-07,0,-4.81175e-07,1.46553,0,0,True,6.0|233,555
1,14|555|sample|11|233,0,3.32453e-06,0,3.94514e-07,1.35525,0,0,True,6.0|233,555
