rep,id,U_offset,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,14|555|cc|5|1|233,0.0139281,835.275,0.838653,0.349418,1.69078,-10.702,316687,False,69.0|233,555
1,14|555|cc|6|1|233,0.0139281,835.275,0.838653,0.349419,0.629452,-10.702,316687,False,69.0|233,555
1,14|555|cc|7|1|233,0.0139281,835.275,0.838653,0.349419,0.151105,-10.702,316687,False,69.0|233,555
1,14|555|cc|8|1|233,0.0139281,835.275,0.838653,0.34942,8.09102,-10.702,316687,False,69.0|233,555
1,14|555|vc|1|2|233,0.0139281,835.275,0.838653,0.349419,0.545268,-10.702,316687,False,69.0|233,555
1,14|555|vc|2|2|233,0.0139281,835.275,0.838653,0.349417,1.02415,-10.702,316687,False,69.0|233,555
1,14|555|vc|3|2|233,0.0139281,835.275,0.838653,0.349418,0.0502697,-10.702,316687,False,69.0|233,555
1,14|555|vc|4|2|233,0.0139281,835.275,0.838653,0.349419,0.559274,-10.702,316687,False,69.0|233,555
1,14|555|vc|5|2|233,0.0139281,835.275,0.838653,0.34942,0.256692,-10.702,316687,False,69.0|233,555
1,14|555|vc|6|2|233,0.0139281,835.275,0.838653,0.349419,2.2024,-10.702,316687,False,69.0|233,555
1,14|555|vc|7|2|233,0.0139281,835.275,0.838653,0.349419,0.0127797,-10.702,316687,False,69.0|233,555
1,14|555|vc|8|2|233,0.0139281,835.275,0.838653,0.349419,0.117242,-10.702,316687,False,69.0|233,555
1,14|394|sample|5|42,0.0139281,832.107,0.547333,24.6122,0.483281,-10.702,316687,True,6.0|42,394
1,14|394|sample|6|42,0.0139281,832.107,0.547333,24.6121,0.53513,-10.702,316687,True,6.0|42,394
1,14|394|sample|7|42,0.0139281,832.107,0.547333,24.6121,0.135268,-10.702,316687,True,6.0|42,394
1,14|394|sample|8|42,0.0139281,832.107,0.547333,24.6121,0.163033,-10.702,316687,True,6.0|42,394
1,14|394|sample|10|42,0.0139281,832.107,0.547333,24.6121,0.863348,-10.702,316687,True,6.0|42,394
1,14|394|sample|9|42,0.0139281,832.107,0.547333,24.612,0.858976,-10.702,316687,True,6.0|42,394
1,14|394|sample|12|42,0.0139281,832.107,0.547333,24.612,0.534644,-10.702,316687,True,6.0|42,394
1,14|394|sample|11|42,0.0139281,832.107,0.547333,24.6121,0.445375,-10.702,316687,True,6.0|42,394
1,14|394|sample|3|42,0.0139281,832.269,0.837094,304.81,0.471432,-10.702,316687,True,63.0|42,394
1,14|394|sample|4|42,0.0139281,832.269,0.837094,304.811,0.393609,-10.702,316687,True,63.0|42,394
1,14|394|cc|1|1|42,0.0139281,834.631,0.838663,0.447833,0.0513134,-10.702,316687,False,69.0|42,394
1,14|394|cc|2|1|42,0.0139281,834.631,0.838663,0.447836,1.05019,-10.702,316687,False,69.0|42,394
1,14|394|cc|3|1|42,0.0139281,834.631,0.838663,0.447834,1.12722,-10.702,316687,False,69.0|42,394
1,14|394|cc|4|1|42,0.0139281,834.631,0.838663,0.447836,8.99209,-10.702,316687,False,69.0|42,394
1,14|394|cc|5|1|42,0.0139281,834.631,0.838663,0.447834,19.4168,-10.702,316687,False,69.0|42,394
1,14|394|cc|6|1|42,0.0139281,834.631,0.838663,0.447833,1.16394,-10.702,316687,False,69.0|42,394
1,14|394|cc|7|1|42,0.0139281,834.631,0.838663,0.447833,0.188537,-10.702,316687,False,69.0|42,394
1,14|394|cc|8|1|42,0.0139281,834.631,0.838663,0.447837,1.90588,-10.702,316687,False,69.0|42,394
1,14|394|vc|1|2|42,0.0139281,834.631,0.838663,0.447834,0.389874,-10.702,316687,False,69.0|42,394
1,14|394|vc|2|2|42,0.0139281,834.631,0.838663,0.447832,0.209263,-10.702,316687,False,69.0|42,394
1,14|394|vc|3|2|42,0.0139281,834.631,0.838663,0.447833,0.739071,-10.702,316687,False,69.0|42,394
1,14|394|vc|4|2|42,0.0139281,834.631,0.838663,0.447835,0.0952041,-10.702,316687,False,69.0|42,394
1,14|394|vc|5|2|42,0.0139281,834.631,0.838663,0.447835,15.4919,-10.702,316687,False,69.0|42,394
1,14|394|vc|6|2|42,0.0139281,834.631,0.838663,0.447833,0.0923348,-10.702,316687,False,69.0|42,394
1,14|394|vc|7|2|42,0.0139281,834.631,0.838663,0.447834,0.0965143,-10.702,316687,False,69.0|42,394
1,14|394|vc|8|2|42,0.0139281,834.631,0.838663,0.447833,6.13096,-10.702,316687,False,69.0|42,394
1,14|1099|sample|3|73,0.0139281,835.741,0.83856,4.63031,0.674797,-10.702,316687,True,6.0|73,1099
