rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|705|cc|3|1|233,4.27194,770.841,0.0697405,0.462739,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|4|1|233,4.27196,770.841,0.0697405,0.462741,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|5|1|233,4.27194,770.841,0.0697405,0.462737,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|6|1|233,4.27193,770.841,0.0697405,0.462739,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|7|1|233,4.27195,770.841,0.0697405,0.46274,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|8|1|233,4.27193,770.841,0.0697405,0.462737,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|1|2|233,4.27196,770.841,0.0697405,0.462737,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|2|2|233,4.27194,770.841,0.0697405,0.462741,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|3|2|233,4.27196,770.841,0.0697405,0.462739,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|4|2|233,4.27194,770.841,0.0697405,0.46274,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|5|2|233,4.27195,770.841,0.0697405,0.462739,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|6|2|233,4.27196,770.841,0.0697405,0.46274,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|7|2|233,4.27194,770.841,0.0697405,0.46274,37614.3,13.3659,False,69.0|233,705
1,14|705|vc|8|2|233,4.27194,770.841,0.0697405,0.462741,37614.3,13.3659,False,69.0|233,705
1,14|555|sample|4|233,2.28277,768.611,0.191983,2465.24,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|3|233,2.28277,768.611,0.191983,2465.25,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|5|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|6|233,2.28276,768.611,0.191983,2465.27,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|7|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|8|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|9|233,2.28278,768.611,0.191983,2465.23,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|10|233,2.28277,768.611,0.191983,2465.27,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|12|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,555
1,14|555|sample|11|233,2.28278,768.611,0.191983,2465.25,37614.3,13.3658,True,6.0|233,555
1,14|555|cc|1|1|233,4.27195,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|2|1|233,4.27194,770.841,0.0697405,0.46274,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|3|1|233,4.27196,770.841,0.0697405,0.462736,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|4|1|233,4.27194,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|5|1|233,4.27194,770.841,0.0697405,0.462737,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|6|1|233,4.27195,770.841,0.0697405,0.462739,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|7|1|233,4.27195,770.841,0.0697405,0.462741,37614.3,13.3658,False,69.0|233,555
1,14|555|cc|8|1|233,4.27193,770.841,0.0697405,0.462737,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|1|2|233,4.27192,770.841,0.0697405,0.462737,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|2|2|233,4.27192,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|3|2|233,4.27195,770.841,0.0697405,0.462741,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|4|2|233,4.27194,770.841,0.0697405,0.462733,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|5|2|233,4.27195,770.841,0.0697405,0.462736,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|6|2|233,4.27195,770.841,0.0697405,0.462742,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|7|2|233,4.27193,770.841,0.0697405,0.462735,37614.3,13.3658,False,69.0|233,555
1,14|555|vc|8|2|233,4.27194,770.841,0.0697405,0.462737,37614.3,13.3658,False,69.0|233,555
1,14|394|sample|5|42,0.533537,772.521,0.195694,352.398,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|6|42,0.533536,772.521,0.195694,352.399,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|7|42,0.533536,772.521,0.195694,352.397,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|8|42,0.533534,772.521,0.195694,352.397,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|10|42,0.533536,772.521,0.195694,352.4,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|9|42,0.533534,772.521,0.195694,352.398,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|12|42,0.533537,772.521,0.195694,352.4,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|11|42,0.533535,772.521,0.195694,352.398,37614.3,13.3659,True,6.0|42,394
1,14|394|sample|3|42,8.69302,770.775,0.250855,26492.4,37614.3,13.3659,True,63.0|42,394
1,14|394|sample|4|42,8.693,770.775,0.250855,26492.4,37614.3,13.3659,True,63.0|42,394
1,14|394|cc|1|1|42,7.33429,771.315,0.0697349,4.10649,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|2|1|42,7.33428,771.315,0.0697349,4.10652,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|3|1|42,7.3343,771.315,0.0697349,4.10652,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|4|1|42,7.33432,771.315,0.0697349,4.10648,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|5|1|42,7.33429,771.315,0.0697349,4.10652,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|6|1|42,7.33429,771.315,0.0697349,4.1065,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|7|1|42,7.33426,771.315,0.0697349,4.10646,37614.3,13.3659,False,69.0|42,394
1,14|394|cc|8|1|42,7.33432,771.315,0.0697349,4.10649,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|1|2|42,7.3343,771.315,0.0697349,4.10649,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|2|2|42,7.3343,771.315,0.0697349,4.10649,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|3|2|42,7.33432,771.315,0.0697349,4.1065,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|4|2|42,7.33432,771.315,0.0697349,4.10648,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|5|2|42,7.3343,771.315,0.0697349,4.10648,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|6|2|42,7.33429,771.315,0.0697349,4.10646,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|7|2|42,7.33428,771.315,0.0697349,4.10653,37614.3,13.3659,False,69.0|42,394
1,14|394|vc|8|2|42,7.33432,771.315,0.0697349,4.10651,37614.3,13.3659,False,69.0|42,394
1,14|1099|sample|3|73,5.99378,768.843,0.250866,63.4567,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|4|73,5.99377,768.843,0.250866,63.4571,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|5|73,5.9938,768.843,0.250866,63.457,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|6|73,5.99379,768.843,0.250866,63.4567,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|8|73,5.99376,768.843,0.250866,63.4573,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|7|73,5.99381,768.843,0.250866,63.4573,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|9|73,5.9938,768.843,0.250866,63.4568,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|10|73,5.99379,768.843,0.250866,63.4572,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|11|73,5.99377,768.843,0.250866,63.4566,37614.3,13.3659,True,6.0|73,1099
1,14|1099|sample|12|73,5.99381,768.843,0.250866,63.4572,37614.3,13.3659,True,6.0|73,1099
1,14|1099|cc|1|1|73,5.63851,772.049,0.069738,9.07647,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|2|1|73,5.63849,772.049,0.069738,9.07644,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|3|1|73,5.63847,772.049,0.069738,9.07633,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|4|1|73,5.63853,772.049,0.069738,9.07636,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|5|1|73,5.63852,772.049,0.069738,9.07634,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|6|1|73,5.63852,772.049,0.069738,9.07638,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|7|1|73,5.63847,772.049,0.069738,9.07637,37614.3,13.3659,False,69.0|73,1099
1,14|1099|cc|8|1|73,5.63845,772.049,0.069738,9.07644,37614.3,13.3659,False,69.0|73,1099
1,14|1099|vc|1|2|73,5.63849,772.049,0.069738,9.07641,37614.3,13.3659,False,69.0|73,1099
1,14|1099|vc|2|2|73,5.63849,772.049,0.069738,9.07642,37614.3,13.3659,False,69.0|73,1099
1,14|1099|vc|3|2|73,5.63848,772.049,0.069738,9.07637,37614.3,13.3659,False,69.0|73,1099
1,14|1099|vc|4|2|73,5.6385,772.049,0.069738,9.07638,37614.3,13.3659,False,69.0|73,1099
1,14|1099|vc|5|2|73,5.63848,772.049,0.069738,9.07636,37614.3,13.3659,False,69.0|73,1099
