id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|462|cc|1|1|292,273.108,9.54661,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|2|1|292,272.967,9.62662,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|3|1|292,272.802,9.36137,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|4|1|292,272.768,9.24895,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|5|1|292,272.98,9.28353,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|6|1|292,272.867,9.56416,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|7|1|292,272.903,9.33216,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|cc|8|1|292,272.872,9.11785,6.96569,50304.6,13.4668,272.916,9.39302,6.97851,50066.6,13.4594,False,69.0|292,462
8|462|sample|10|292,274.484,7.65462,6.9657,50304.6,13.4668,274.427,8.13231,6.97852,50066.6,13.4594,True,32.0|292,462
8|462|sample|11|292,274.849,1.23493,6.9657,50304.6,13.4668,274.422,1.26064,6.97852,50066.6,13.4594,True,22.0|292,462
8|462|sample|12|292,274.617,1.28924,6.9657,50304.6,13.4668,274.424,1.2795,6.97852,50066.6,13.4594,True,22.0|292,462
8|462|sample|3|292,274.498,0.374631,6.9657,50304.6,13.4668,274.427,0.358121,6.97852,50066.6,13.4594,True,55.0|292,462
8|462|sample|4|292,274.198,0.38749,6.9657,50304.6,13.4668,274.427,0.372625,6.97852,50066.6,13.4594,True,55.0|292,462
