rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,1.34042,0,0,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,-0.909148,0,0,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,-0.864519,0,0,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,-0.697873,0,0,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.351465,0,0,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,2.70371,0,0,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,1.16191,0,0,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0.317377,0,0,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,-0.386528,0,0,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0.521731,0,0,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,-0.676881,0,0,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,-2.62214,0,0,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,-0.466902,0,0,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0.458866,0,0,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,-0.0540658,0,0,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,-0.237732,0,0,69.0|103,1197
