id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|719|vc|7|2|274,445.218,9.99624,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|8|2|274,445.218,9.68542,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|488|cc|1|1|322,445.218,10.0801,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|2|1|322,445.218,9.85726,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|3|1|322,445.218,10.3755,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|4|1|322,445.218,10.3604,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|5|1|322,445.218,10.0366,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|6|1|322,445.218,9.71701,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|7|1|322,445.218,9.76779,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|cc|8|1|322,445.218,10.1393,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|sample|10|322,445.218,0.595252,6.88014,49944.2,14.7552,447.039,0.599584,6.8799,50189.4,14.6284,True,32.0|322,488
8|488|sample|11|322,445.217,1.2172,6.88014,49944.2,14.7552,447.038,1.19451,6.8799,50189.4,14.6284,True,22.0|322,488
8|488|sample|12|322,445.217,1.30561,6.88014,49944.2,14.7552,447.038,1.30394,6.8799,50189.4,14.6284,True,22.0|322,488
8|488|sample|3|322,445.219,0.215046,6.88014,49944.2,14.7552,447.04,0.230296,6.8799,50189.4,14.6284,True,55.0|322,488
8|488|sample|4|322,445.219,0.223401,6.88014,49944.2,14.7552,447.04,0.216359,6.8799,50189.4,14.6284,True,55.0|322,488
8|488|sample|5|322,445.219,0.234399,6.88014,49944.2,14.7552,447.04,0.258115,6.8799,50189.4,14.6284,True,55.0|322,488
8|488|sample|6|322,445.219,0.270927,6.88014,49944.2,14.7552,447.04,0.258999,6.8799,50189.4,14.6284,True,55.0|322,488
8|488|sample|7|322,445.218,0.572843,6.88014,49944.2,14.7552,447.039,0.626464,6.8799,50189.4,14.6284,True,32.0|322,488
8|488|sample|8|322,445.218,0.647395,6.88014,49944.2,14.7552,447.039,0.633401,6.8799,50189.4,14.6284,True,32.0|322,488
8|488|sample|9|322,445.218,0.585704,6.88014,49944.2,14.7552,447.039,0.592657,6.8799,50189.4,14.6284,True,32.0|322,488
8|488|vc|1|2|322,445.218,9.92835,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|2|2|322,445.218,9.94233,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|3|2|322,445.218,10.1358,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|4|2|322,445.218,10.2862,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|5|2|322,445.218,9.82208,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|6|2|322,445.218,10.0605,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|7|2|322,445.218,9.97508,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|488|vc|8|2|322,445.218,9.88898,6.87999,49944.2,14.7552,447.039,10.0523,6.87976,50189.4,14.6284,False,69.0|322,488
8|847|cc|1|1|69,445.218,10.3271,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|2|1|69,445.218,9.86883,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|3|1|69,445.218,10.0222,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|4|1|69,445.218,10.0182,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|5|1|69,445.218,9.72337,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|6|1|69,445.218,10.1088,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|7|1|69,445.218,9.69069,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|cc|8|1|69,445.218,9.26256,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|sample|10|69,445.218,4.66127,6.88014,49944.2,13.4012,447.039,5.01953,6.8799,50189.4,13.3988,True,32.0|69,847
8|847|sample|11|69,445.218,1.08908,6.88014,49944.2,13.4012,447.039,1.12615,6.8799,50189.4,13.3988,True,22.0|69,847
8|847|sample|12|69,445.218,1.01613,6.88014,49944.2,13.4012,447.039,1.06152,6.8799,50189.4,13.3988,True,22.0|69,847
8|847|sample|3|69,445.218,0.583884,6.88014,49944.2,13.4012,447.039,0.548618,6.8799,50189.4,13.3988,True,55.0|69,847
8|847|sample|4|69,445.218,0.51311,6.88014,49944.2,13.4012,447.039,0.544757,6.8799,50189.4,13.3988,True,55.0|69,847
8|847|sample|5|69,445.218,0.468308,6.88014,49944.2,13.4012,447.039,0.468776,6.8799,50189.4,13.3988,True,55.0|69,847
8|847|sample|6|69,445.218,0.457423,6.88014,49944.2,13.4012,447.039,0.480248,6.8799,50189.4,13.3988,True,55.0|69,847
8|847|sample|7|69,445.218,3.61741,6.88014,49944.2,13.4012,447.039,3.80985,6.8799,50189.4,13.3988,True,32.0|69,847
8|847|sample|8|69,445.218,3.67011,6.88014,49944.2,13.4012,447.039,4.01016,6.8799,50189.4,13.3988,True,32.0|69,847
8|847|sample|9|69,445.218,4.47659,6.88014,49944.2,13.4012,447.039,4.75003,6.8799,50189.4,13.3988,True,32.0|69,847
8|847|vc|1|2|69,445.218,10.1428,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|2|2|69,445.218,10.3286,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|3|2|69,445.218,10.1856,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|4|2|69,445.218,10.0047,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|5|2|69,445.218,9.91788,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|6|2|69,445.218,9.91911,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|847|vc|7|2|69,445.218,9.7955,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
