id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
8|1159|8|1159|sample|8|292|8|292|65.0,0.268154,1.14396,1.51188,-8.19228,0.268155,1.14396,1.51188,-8.20341,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,0.268154,1.14396,1.51188,-8.20963,0.268155,1.14396,1.51188,-8.20341,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,0.268154,1.14396,1.51188,-8.19084,0.268155,1.14396,1.51188,-8.20341,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,0.268154,1.14396,1.51188,-8.197,0.268155,1.14396,1.51188,-8.20341,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,0.268154,1.14396,3.17058,-8.24953,0.268155,1.14396,3.1706,-8.20341,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,0.268154,1.14396,3.17058,-8.23339,0.268155,1.14396,3.1706,-8.20341,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,0.268154,1.14396,3.17058,-8.24613,0.268155,1.14396,3.1706,-8.20341,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,0.268154,1.14396,3.17058,-8.22406,0.268155,1.14396,3.1706,-8.20341,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,0.423236,1.97154,1.19595,-8.21968,0.423237,1.97154,1.19595,-8.20341,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,0.423236,1.97154,1.19595,-8.20215,0.423237,1.97154,1.19595,-8.20341,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.22561,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.22416,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.21087,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.2257,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.22354,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.22585,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.22281,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,0.268154,1.14396,1.19592,-8.2096,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.24299,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.2281,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|3|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.2263,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.20851,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.21335,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.21252,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.20635,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,0.268154,1.14396,1.19592,-8.22832,0.268155,1.14396,1.19592,-8.20341,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,0.268154,239.252,1.19595,-7.8426,0.268155,239.32,1.19595,-7.79889,65.0|103,1197
8|1197|8|1197|sample|8|103|8|103|65.0,0.268154,239.252,1.19595,-7.7979,0.268155,239.32,1.19595,-7.79889,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,0.268154,239.252,1.19595,-7.81631,0.268155,239.32,1.19595,-7.79889,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,0.268154,239.252,1.19595,-7.83423,0.268155,239.32,1.19595,-7.79889,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,0.268154,92.2232,1.19595,-7.8004,0.268155,92.2324,1.19595,-7.79889,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,0.268154,92.2232,1.19595,-7.78189,0.268155,92.2324,1.19595,-7.79889,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,0.268154,92.2232,1.19595,-7.80462,0.268155,92.2324,1.19595,-7.79889,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,0.268154,1.14396,1.19595,-7.83212,0.268155,1.14396,1.19595,-7.79889,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,0.268154,1.14396,1.19595,-7.82145,0.268155,1.14396,1.19595,-7.79889,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,0.268154,92.2232,1.19595,-7.81353,0.268155,92.2324,1.19595,-7.79889,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.7585,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.80862,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.81215,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.78489,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.78177,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.79729,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.77967,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,0.268154,1.14396,1.19595,-7.81772,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.82035,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.78894,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.82304,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.80583,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.84389,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.82768,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.80218,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,0.268154,1.14396,1.19595,-7.80412,0.268155,1.14396,1.19595,-7.79889,69.0|103,1197
