id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_s_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_s_sd,eta_L_gap_sd,mab_virus,run_id
8|152|8|152|cc|4|1|322|1|322|69.0,-0.0439917,-4.95904e-09,-7.10834e-10,5.43675e-09,-0.244329,-6.45073e-09,2.45694e-09,2.96885e-10,3.62764e-07,3.64153e-14,4.66294e-15,-2.15383e-14,0.797586,3.46424e-08,4.30143e-08,5.69443e-08,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-0.0763014,9.05213e-09,-2.70777e-09,5.34196e-09,-0.0348294,-2.82781e-09,-1.92374e-09,-8.65068e-09,1.93344e-08,2.66454e-14,1.28786e-14,-2.93099e-14,0.768259,4.39487e-08,4.01496e-08,5.3278e-08,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-0.0818283,-2.7422e-09,-4.83176e-09,-1.55918e-10,0.0927594,4.45425e-09,6.68957e-09,1.61056e-10,-7.50465e-08,2.22045e-14,-1.86517e-14,3.84137e-14,0.87426,4.16666e-08,3.86608e-08,5.53506e-08,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0.0650058,1.73756e-09,1.51985e-09,-4.17581e-09,0.122789,-3.0987e-09,-1.24664e-09,-6.07993e-09,8.43037e-08,1.37668e-14,3.9968e-15,3.9746e-14,0.88101,3.65629e-08,4.36751e-08,4.29887e-08,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,-0.0184665,5.48203e-09,-3.25665e-09,1.38841e-09,-0.0511284,4.79334e-09,6.70748e-09,-7.03308e-09,4.34559e-08,-1.33227e-15,-3.30846e-14,-3.70814e-14,0.79838,3.81628e-08,3.86328e-08,5.00034e-08,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,-0.183778,1.70391e-09,-6.05723e-11,-6.76764e-09,0.0844872,2.19819e-09,3.38345e-09,2.31997e-10,1.12378e-07,3.21965e-14,2.18714e-14,2.5091e-14,0.713879,3.86771e-08,3.7574e-08,5.77181e-08,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-0.00184206,-3.8753e-09,3.55864e-10,1.52784e-09,-0.0839022,-6.59185e-09,8.17441e-09,1.12918e-09,8.35745e-08,3.55271e-14,1.79856e-14,4.44089e-15,0.89962,3.90604e-08,4.46542e-08,4.99342e-08,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0.00377848,2.63101e-09,-2.8949e-09,-3.57395e-09,0.00282843,9.42294e-09,-1.86964e-09,-4.99072e-09,0.00288416,-2.96168e-11,-3.78653e-12,-2.05236e-12,0.747989,3.86031e-08,4.30928e-08,4.83393e-08,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,-0.080178,3.06091e-09,-3.69642e-09,-6.27769e-10,-0.146442,2.07995e-09,3.67865e-09,-6.82057e-09,-2.28567e-07,1.55431e-14,-1.02141e-14,1.24345e-14,1.04813,3.85838e-08,4.97286e-08,5.2561e-08,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0.0883497,-2.16964e-09,4.11295e-09,1.25933e-09,0.127013,5.16677e-09,-4.36186e-09,3.4077e-09,2.53825e-08,-3.33067e-14,3.55271e-15,-1.24345e-14,1.04208,4.04007e-08,4.4855e-08,5.68533e-08,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,-0.0810728,9.95033e-10,1.97905e-09,-1.0177e-09,-0.045256,-5.73688e-09,5.05345e-09,1.10182e-09,-2.92093e-07,-7.54952e-15,1.28786e-14,-2.53131e-14,0.883651,3.59584e-08,3.96362e-08,4.49229e-08,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,0.0543181,3.69186e-09,1.0064e-09,8.62705e-09,-0.0333593,-1.20031e-08,8.23608e-09,-3.67543e-09,3.12657e-07,-1.55431e-15,7.54952e-15,-2.9976e-14,0.792478,4.26172e-08,3.48674e-08,5.45047e-08,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,0.0532671,9.27553e-10,-2.44121e-10,-8.45153e-11,-0.00647352,7.19279e-09,4.21494e-09,3.26452e-10,-0.00655423,-1.60449e-12,4.13358e-12,3.28337e-12,0.91355,3.99239e-08,4.28722e-08,4.80787e-08,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,-0.681162,-1.80493e-09,-2.01646e-09,-1.18255e-08,-0.677288,-3.66705e-09,1.04011e-08,4.88451e-09,-0.668843,-5.72875e-14,2.64233e-13,2.83329e-13,0.042439,3.77509e-08,3.76249e-08,4.85406e-08,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,-0.692198,1.16465e-09,1.20753e-08,-7.62867e-09,-0.679042,6.19758e-09,-3.24817e-09,-7.56358e-10,-0.690213,3.606e-13,-5.91971e-13,-1.14575e-13,0.0422264,3.61005e-08,3.87308e-08,5.21166e-08,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,-0.656583,1.56737e-08,-3.39021e-09,-1.31441e-09,-0.669014,3.24998e-09,-2.89453e-09,6.80902e-09,-0.661207,-2.66454e-15,1.55431e-15,-1.33227e-13,0.0397964,3.41335e-08,2.98804e-08,5.78551e-08,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,-0.723481,-1.69862e-08,-3.88945e-09,1.47473e-08,-0.709118,1.8479e-09,5.81968e-10,-2.63771e-09,-0.71529,6.34381e-13,-9.51017e-13,1.23901e-12,0.0600024,4.08816e-08,3.71542e-08,5.87623e-08,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,-0.585698,2.88213e-09,1.1317e-08,-1.29585e-08,-0.598481,8.49304e-09,8.72613e-09,-3.7611e-09,-0.589739,-4.82836e-13,-3.52607e-13,7.48734e-13,0.0260846,5.24142e-08,4.26942e-08,5.44726e-08,28.0|276,1056
8|1056|8|1056|sample|11|276|11|276|28.0,-0.417663,8.7148e-10,-1.28007e-09,1.45783e-08,-0.399719,-8.09682e-09,1.62033e-10,-1.21837e-09,-0.419082,-2.78222e-13,1.95399e-14,1.00897e-12,0.0480342,4.70575e-08,3.65736e-08,5.9381e-08,28.0|276,1056
