id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_L_gap_sd,mab_virus,run_id
8|1056|8|1056|sample|11|276|11|276|28.0,-3.28299,3.38122e-10,5.41391e-09,-3.26794,1.72409e-09,3.97491e-09,-3.30313,-4.6807e-13,1.34059e-13,0.068034,2.59911e-08,3.1702e-08,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,-2.84954,1.33345e-09,1.56129e-09,-2.89079,-2.40043e-09,-1.13248e-09,-2.88267,1.96732e-13,-1.53794e-13,0.0696251,2.49973e-08,3.00958e-08,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,-2.77843,-4.04494e-09,-5.9995e-09,-2.75347,-1.48291e-09,-5.23066e-09,-2.80344,-4.84057e-14,-1.10356e-13,0.0926419,2.85818e-08,3.54289e-08,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,-2.13797,4.30377e-09,-1.58605e-09,-2.10751,-1.09672e-09,2.27522e-09,-2.13491,2.73115e-14,-2.61569e-13,0.0711397,2.74606e-08,2.98383e-08,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,-2.22509,-3.39663e-10,-1.60377e-09,-2.23571,-1.99514e-09,3.00778e-09,-2.23831,-2.10054e-13,-4.76064e-13,0.0629572,2.50371e-08,3.18162e-08,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,-0.300718,2.19084e-09,6.81685e-09,-0.0132535,1.0739e-09,2.40603e-09,-0.0135535,1.7355e-12,1.13154e-12,2.63194,2.84089e-08,3.07545e-08,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0.0516981,-3.44076e-09,4.22015e-09,0.0248745,2.18225e-09,-6.5484e-10,-1.7674e-07,7.10543e-15,1.77636e-15,2.38314,2.82521e-08,3.04204e-08,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,-0.249229,-3.41234e-09,2.16113e-11,0.113763,1.19165e-09,3.36673e-09,-2.79721e-07,-8.88178e-16,3.55271e-15,2.22694,2.68844e-08,3.2121e-08,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0.163878,5.35061e-09,3.02948e-09,-0.0224101,1.7547e-09,4.10231e-09,-3.39004e-07,-2.44249e-15,1.77636e-15,2.34048,2.64292e-08,3.51519e-08,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0.261842,-3.01315e-09,-3.08812e-09,0.229463,-4.39827e-09,3.52111e-10,5.79166e-08,3.9968e-15,-4.44089e-15,2.80361,2.50899e-08,3.04061e-08,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,0.495023,-1.16417e-09,-1.32107e-09,0.201475,-2.55038e-10,-3.97956e-10,8.08194e-07,2.22045e-15,-8.88178e-16,2.38394,2.83208e-08,3.32096e-08,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,-0.297873,3.9598e-09,1.9714e-09,-0.0203655,-8.02247e-10,-5.45835e-09,2.09138e-08,-5.32907e-15,-2.66454e-15,2.30157,2.62432e-08,3.18513e-08,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,-0.0674378,-2.56429e-09,4.65193e-09,0.147091,-2.40229e-10,1.40804e-09,-9.45822e-08,4.88498e-15,8.88178e-16,2.38062,2.41123e-08,3.34457e-08,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.112583,-2.36877e-09,-3.80813e-09,0.214581,-9.3666e-10,-1.27821e-09,3.88757e-07,2.22045e-16,7.10543e-15,2.36721,2.81668e-08,2.9959e-08,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.107322,-3.4158e-09,7.76705e-09,0.00250691,-1.30574e-09,4.84644e-10,2.1642e-07,-1.33227e-15,-7.10543e-15,2.64868,2.65922e-08,3.0877e-08,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,-0.361795,-1.70731e-09,4.93932e-09,0.242212,4.15005e-09,7.91915e-10,4.81354e-07,2.66454e-15,3.55271e-15,2.53098,2.98878e-08,3.44571e-08,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,0.317381,-4.14841e-09,-5.71691e-09,0.0601879,-2.96575e-09,-2.63221e-09,2.85908e-07,1.11022e-15,-1.77636e-15,2.56747,2.92946e-08,3.39967e-08,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,-0.216253,-6.24688e-09,9.09738e-09,0.460287,3.17818e-09,1.23162e-09,3.81667e-07,-3.9968e-15,5.32907e-15,2.3602,2.69523e-08,3.07107e-08,69.0|276,1056
