id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|394|14|394|vc|5|2|42|2|42|69.0,0.999998,788.309,5.47083,3.99494e+11,6.40999e-11,0.457765,0.999998,788.309,5.47083,1.00001,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|6|2|42|2|42|69.0,0.999998,788.309,5.47083,5.88029e+13,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999999,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|7|2|42|2|42|69.0,0.999998,788.309,5.47083,4.47844e+12,6.40999e-11,0.457765,0.999998,788.309,5.47083,1.00001,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|8|2|42|2|42|69.0,0.999998,788.309,5.47083,3.48686e+15,6.40999e-11,0.457765,0.999998,788.309,5.47083,1.00002,6.43712e-11,0.456929,False,69.0|42,394
14|1099|14|1099|sample|3|73|3|73|6.0,0.999999,795.007,-0.975526,0.0588245,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.06362e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|4|73|4|73|6.0,0.999999,795.007,-0.975526,34025.1,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.07925e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|5|73|5|73|6.0,0.999999,795.007,-0.975526,0.00520239,6.40339e-11,0.457862,0.999999,795.007,-0.975526,5.67531e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|6|73|6|73|6.0,0.999999,795.007,-0.975526,3.9789,6.40339e-11,0.457862,0.999999,795.007,-0.975526,5.67975e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|8|73|8|73|6.0,0.999999,795.007,-0.975526,4.43275e+07,6.40339e-11,0.457862,0.999999,795.007,-0.975526,5.82225e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|7|73|7|73|6.0,0.999999,795.007,-0.975526,5.32804e+09,6.40339e-11,0.457862,0.999999,795.007,-0.975526,5.81621e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|9|73|9|73|6.0,0.999999,795.007,-0.975526,940726,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.04382e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|10|73|10|73|6.0,0.999999,795.007,-0.975526,201790,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.02622e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|11|73|11|73|6.0,0.999999,795.007,-0.975526,0.0211499,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.12495e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|sample|12|73|12|73|6.0,0.999999,795.007,-0.975526,1.13544,6.40339e-11,0.457862,0.999999,795.007,-0.975526,6.18949e-05,6.43053e-11,0.457025,True,6.0|73,1099
14|1099|14|1099|cc|1|1|73|1|73|69.0,0.999999,790.068,1.43561,2.42505e+13,6.40339e-11,0.457862,0.999999,790.068,1.43561,0.999991,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|2|1|73|1|73|69.0,0.999999,790.068,1.43561,1.43808e+15,6.40339e-11,0.457862,0.999999,790.068,1.43561,0.999996,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|3|1|73|1|73|69.0,0.999999,790.068,1.43561,6.09653e+12,6.40339e-11,0.457862,0.999999,790.068,1.43561,0.999997,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|4|1|73|1|73|69.0,0.999999,790.068,1.43561,4.4002e+13,6.40339e-11,0.457862,0.999999,790.068,1.43561,0.999992,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|5|1|73|1|73|69.0,0.999999,790.068,1.43561,1.2315e+14,6.40339e-11,0.457862,0.999999,790.068,1.43561,1,6.43053e-11,0.457025,False,69.0|73,1099
