rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|77|vc|4|2|218,474.605,1.37464,50.9531,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|5|2|218,474.605,1.37464,165.043,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|6|2|218,474.605,1.37464,15.6142,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|7|2|218,474.605,1.37464,4.71323,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|8|2|218,474.605,1.37464,4.75853,67107.4,14.4742,False,69.0|218,77
1,8|322|cc|1|1|174,474.605,1.3747,14.4994,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|2|1|174,474.605,1.3747,43.0506,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|3|1|174,474.605,1.3747,7.04623,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|4|1|174,474.605,1.3747,360.493,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|5|1|174,474.605,1.3747,5.2429,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|6|1|174,474.605,1.3747,0.680133,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|7|1|174,474.605,1.3747,132.015,67107.4,14.4745,False,69.0|174,322
1,8|322|cc|8|1|174,474.605,1.3747,0.773231,67107.4,14.4745,False,69.0|174,322
1,8|322|sample|10|174,474.605,1.37469,109.532,67107.4,14.4745,True,32.0|174,322
1,8|322|sample|11|174,474.605,1.37468,43.5371,67107.4,14.4745,True,22.0|174,322
1,8|322|sample|12|174,474.605,1.37468,81.6653,67107.4,14.4745,True,22.0|174,322
1,8|322|sample|3|174,474.605,1.3747,139.492,67107.4,14.4745,True,55.0|174,322
1,8|322|sample|4|174,474.605,1.3747,67.4612,67107.4,14.4745,True,55.0|174,322
1,8|322|sample|5|174,474.605,1.3747,127.37,67107.4,14.4745,True,55.0|174,322
1,8|322|sample|6|174,474.605,1.3747,132.17,67107.4,14.4745,True,55.0|174,322
1,8|322|sample|7|174,474.605,1.37469,79.6622,67107.4,14.4745,True,32.0|174,322
1,8|322|sample|8|174,474.605,1.37469,82.4821,67107.4,14.4745,True,32.0|174,322
1,8|322|sample|9|174,474.605,1.37469,71.7742,67107.4,14.4745,True,32.0|174,322
1,8|322|vc|1|2|174,474.605,1.3747,21.5829,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|2|2|174,474.605,1.3747,24.8296,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|3|2|174,474.605,1.3747,147.699,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|4|2|174,474.605,1.3747,13.8429,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|5|2|174,474.605,1.3747,22.636,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|6|2|174,474.605,1.3747,1749.12,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|7|2|174,474.605,1.3747,47.9139,67107.4,14.4745,False,69.0|174,322
1,8|322|vc|8|2|174,474.605,1.3747,7.61048,67107.4,14.4745,False,69.0|174,322
1,8|963|cc|1|1|319,474.605,1.37464,2725.45,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|2|1|319,474.605,1.37464,17.346,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|3|1|319,474.605,1.37464,20.673,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|4|1|319,474.605,1.37464,0.796664,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|5|1|319,474.605,1.37464,84.3853,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|6|1|319,474.605,1.37464,7.8299,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|7|1|319,474.605,1.37464,1.87377,67107.4,14.4742,False,69.0|319,963
1,8|963|cc|8|1|319,474.605,1.37464,3.69181,67107.4,14.4742,False,69.0|319,963
1,8|963|sample|10|319,474.604,1.37467,70.1803,67107.4,14.4742,True,32.0|319,963
1,8|963|sample|11|319,474.605,1.37455,11.5504,67107.4,14.4742,True,22.0|319,963
1,8|963|sample|12|319,474.605,1.37455,15.2428,67107.4,14.4742,True,22.0|319,963
1,8|963|sample|3|319,474.605,1.3747,566.046,67107.4,14.4742,True,55.0|319,963
1,8|963|sample|4|319,474.605,1.3747,548.259,67107.4,14.4742,True,55.0|319,963
1,8|963|sample|5|319,474.605,1.3747,692.434,67107.4,14.4742,True,55.0|319,963
1,8|963|sample|6|319,474.605,1.3747,991.907,67107.4,14.4742,True,55.0|319,963
1,8|963|sample|7|319,474.604,1.37467,101.657,67107.4,14.4742,True,32.0|319,963
1,8|963|sample|8|319,474.604,1.37467,64.9439,67107.4,14.4742,True,32.0|319,963
1,8|963|sample|9|319,474.604,1.37467,86.4617,67107.4,14.4742,True,32.0|319,963
