id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|433|14|433|vc|1|2|99|2|99|69.0,0,-0.111068,0,0,0,0,3.82044e-07,0,0,0,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,0,0.0123331,0,0,0,0,-7.78188e-08,0,0,0,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,0,0.0903559,0,0,0,0,1.96684e-07,0,0,0,False,69.0|99,433
14|433|14|433|vc|4|2|99|2|99|69.0,0,-0.304372,0,0,0,0,-2.44588e-07,0,0,0,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,0,0.324857,0,0,0,0,3.58214e-07,0,0,0,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,0,0.165964,0,0,0,0,1.36911e-07,0,0,0,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,0,0.296305,0,0,0,0,4.49443e-08,0,0,0,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,0,0.0162686,0,0,0,0,1.72454e-07,0,0,0,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,0,-1.89482,0,0,0,0,-1.91481,0,0,0,True,6.0|71,297
14|297|14|297|sample|4|71|4|71|6.0,0,-1.95013,0,0,0,0,-1.93396,0,0,0,True,6.0|71,297
14|297|14|297|sample|5|71|5|71|6.0,0,3.22638,0,0,0,0,3.73899,0,0,0,True,6.0|71,297
14|297|14|297|sample|6|71|6|71|6.0,0,3.03252,0,0,0,0,3.52953,0,0,0,True,6.0|71,297
14|297|14|297|sample|8|71|8|71|6.0,0,0.564515,0,0,0,0,0.646877,0,0,0,True,6.0|71,297
14|297|14|297|sample|7|71|7|71|6.0,0,0.938342,0,0,0,0,1.05773,0,0,0,True,6.0|71,297
14|297|14|297|sample|9|71|9|71|6.0,0,3.35907,0,0,0,0,3.54748,0,0,0,True,6.0|71,297
14|297|14|297|sample|10|71|10|71|6.0,0,3.15126,0,0,0,0,3.36916,0,0,0,True,6.0|71,297
14|297|14|297|sample|12|71|12|71|6.0,0,-2.31527,0,0,0,0,-2.25903,0,0,0,True,6.0|71,297
14|297|14|297|sample|11|71|11|71|6.0,0,-2.38492,0,0,0,0,-2.33976,0,0,0,True,6.0|71,297
14|297|14|297|cc|1|1|71|1|71|69.0,0,0.0981775,0,0,0,0,7.90665e-08,0,0,0,False,69.0|71,297
14|297|14|297|cc|2|1|71|1|71|69.0,0,-0.159397,0,0,0,0,-2.89557e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|3|1|71|1|71|69.0,0,0.268468,0,0,0,0,3.4378e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|4|1|71|1|71|69.0,0,0.0947989,0,0,0,0,-2.19382e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|5|1|71|1|71|69.0,0,0.0434946,0,0,0,0,1.02002e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|6|1|71|1|71|69.0,0,0.190171,0,0,0,0,-2.11134e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|7|1|71|1|71|69.0,0,0.209129,0,0,0,0,3.49461e-07,0,0,0,False,69.0|71,297
14|297|14|297|cc|8|1|71|1|71|69.0,0,0.136041,0,0,0,0,2.55671e-08,0,0,0,False,69.0|71,297
14|297|14|297|vc|1|2|71|2|71|69.0,0,0.249012,0,0,0,0,-2.16697e-07,0,0,0,False,69.0|71,297
